POA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
POA2000,238,298,307,1137,9,1994,17,9,3,56,6,86,8360,34,130,36,35,8603,49,10,4,12,0,76,80,18,11,26,0,142,1891,269,221,1393,19,3790,411,4,19,5,6,444,207,13,13,19,4,249,261,34,21,153,0,462,112,33,12,48,0,216,50,3,0,4,0,60,881,5,6,6,5,898,371,65,73,650,5,1166,454,54,22,122,6,658,832,0,6,4,4,848,103,18,9,31,0,162,23,0,0,0,0,33,22,10,9,13,0,48,32,5,0,0,0,40,67,9,4,0,0,88,110,5,13,15,0,146,193,3,12,13,0,222,23,0,0,0,0,28,246,73,58,448,3,831,41,0,0,0,0,46,43,3,3,0,0,52,245,6,3,8,0,266,49,0,0,4,0,53,554,5,28,3,0,587,29,0,3,28,0,61,8561,110,134,98,40,8946,343,3,6,15,2073,2447,21551,652,651,2879,2203,27936
POA2007,60,101,127,384,5,675,3,6,0,63,0,74,2243,16,38,21,14,2328,14,3,0,0,0,22,23,8,3,15,0,50,416,88,87,394,15,998,140,3,15,0,0,159,56,0,0,4,0,69,79,12,6,48,5,152,10,9,0,8,0,26,17,0,0,0,0,16,331,0,0,0,3,338,90,25,22,197,0,343,130,12,7,41,0,188,137,0,0,0,0,144,12,0,0,3,0,28,6,0,0,0,0,10,10,3,0,8,0,27,11,4,0,0,0,15,19,7,5,3,0,34,45,0,3,9,0,53,48,5,0,0,0,50,5,0,0,0,0,4,74,31,14,128,0,246,21,0,5,0,0,25,16,0,5,0,0,19,85,0,0,5,0,89,19,0,0,0,0,22,151,8,7,3,0,159,7,0,3,5,0,16,1862,55,77,37,13,2038,76,0,0,7,521,612,5470,231,253,884,566,7410
POA2008,73,252,245,917,3,1492,5,0,0,81,6,98,3113,21,49,29,16,3225,20,4,3,12,0,42,54,13,9,24,0,104,662,213,181,871,5,1935,158,0,20,0,0,175,79,10,7,15,0,116,95,28,24,109,0,262,39,17,15,45,0,115,13,4,0,9,0,29,306,3,0,4,0,315,183,69,58,490,4,799,141,44,19,112,0,319,190,0,5,5,0,196,25,8,8,20,0,55,3,3,0,4,0,11,11,6,6,12,0,36,27,0,3,3,0,43,56,8,11,4,0,77,39,12,3,21,0,80,64,0,3,7,0,76,10,0,0,0,0,10,152,48,61,320,3,589,13,0,0,0,0,15,24,3,0,0,0,30,100,3,4,9,0,119,34,0,3,0,0,37,189,4,4,3,0,200,23,5,6,27,0,61,1739,108,96,91,7,2043,61,0,3,9,775,852,6573,512,474,2029,822,10400
POA2009,142,293,251,1059,12,1761,11,10,4,116,0,144,2085,35,80,38,6,2250,47,9,4,9,0,69,74,15,8,22,0,117,960,241,181,1193,7,2590,237,7,14,4,0,265,129,8,5,10,0,155,183,22,27,105,0,349,89,27,15,42,0,178,24,5,0,5,0,43,581,9,13,4,0,611,317,78,58,568,4,1020,410,77,37,97,0,612,238,10,8,5,0,264,70,22,6,21,0,118,34,3,0,7,0,42,25,12,6,12,0,53,33,3,0,0,0,44,60,3,3,3,0,72,108,10,15,25,0,153,142,4,10,4,0,163,24,0,0,0,0,26,265,60,41,396,3,762,75,6,7,4,0,92,45,3,8,0,0,60,185,4,3,3,0,201,30,0,0,0,0,37,226,6,19,6,6,260,43,3,7,15,0,64,2455,113,124,126,15,2830,112,4,4,12,901,1033,7947,638,541,2574,953,12658
POA2010,237,836,671,3307,58,5095,14,10,5,199,12,240,1867,73,87,80,11,2123,109,13,12,35,0,173,236,62,41,70,0,409,2911,815,632,3837,55,8256,354,5,40,0,5,399,425,37,19,63,5,542,469,87,73,428,12,1067,247,82,27,170,0,526,77,29,15,33,0,154,444,17,17,12,4,486,971,262,211,1970,18,3432,641,164,74,373,6,1266,201,5,6,0,0,218,122,23,17,71,0,229,43,4,0,10,0,56,69,20,11,54,0,148,101,18,9,9,0,131,188,26,31,13,4,258,264,34,21,70,0,389,209,16,18,47,4,293,18,3,0,0,0,25,742,223,168,1364,4,2494,67,4,4,16,0,99,138,19,5,3,0,171,357,10,3,14,0,387,70,11,3,0,0,82,287,9,14,3,4,315,121,19,12,77,0,234,4118,282,292,335,41,5066,144,9,5,38,1903,2110,13019,1819,1414,8087,2105,26443
POA2011,145,616,428,2284,28,3497,4,19,10,185,0,216,742,32,33,42,3,856,72,13,7,32,0,128,125,35,23,53,0,231,1868,587,458,3083,45,6043,192,10,27,0,0,230,303,28,16,64,6,421,379,67,44,368,3,871,159,53,21,111,0,345,80,19,5,20,0,127,283,17,12,3,0,317,638,196,137,1685,17,2663,491,104,37,270,5,905,89,0,8,3,0,105,78,22,10,47,0,158,36,9,3,3,0,49,37,14,12,38,0,98,85,13,3,0,0,102,133,16,18,15,0,184,181,35,18,58,0,294,127,17,11,32,4,181,12,0,0,3,0,17,588,171,140,1141,3,2046,63,7,5,8,0,84,70,17,0,6,0,95,232,15,5,16,0,265,29,6,3,0,0,40,126,5,3,0,5,137,64,20,10,57,0,149,2432,245,188,266,23,3147,72,3,5,34,1677,1788,7767,1354,970,6311,1782,18187
POA2015,112,528,373,1737,11,2759,0,23,5,194,6,232,989,47,76,72,6,1187,38,6,5,33,3,85,66,31,14,65,0,174,1073,426,285,1703,16,3506,168,13,23,8,0,216,119,12,13,18,0,159,151,43,26,174,3,399,86,27,9,72,0,200,33,12,4,26,0,77,203,11,4,8,0,229,432,132,84,840,11,1499,223,66,31,189,0,513,79,0,4,0,0,87,58,11,9,35,0,107,37,3,5,3,0,52,21,12,16,36,0,83,48,6,6,7,0,66,74,30,22,5,0,136,79,18,7,42,0,147,69,5,7,15,0,108,14,3,0,0,0,15,306,111,92,602,7,1116,43,3,3,3,0,53,62,12,5,3,0,86,106,8,4,20,0,136,34,3,8,0,0,43,168,5,9,14,0,194,42,11,3,36,0,97,1554,181,139,179,13,2071,73,0,8,28,531,639,5216,1002,723,3887,597,11422
POA2016,127,443,367,1691,21,2640,5,25,20,348,11,404,1044,28,52,34,12,1165,54,11,7,19,0,86,93,35,17,41,0,187,1142,484,311,1742,44,3720,150,10,19,0,3,181,168,19,15,37,0,243,218,39,41,207,3,509,206,33,25,83,5,344,46,13,8,7,0,76,270,13,8,9,0,297,400,151,99,874,6,1530,248,69,26,143,6,489,118,0,3,0,0,129,132,13,9,42,0,200,20,3,3,4,0,24,24,9,5,22,0,62,67,14,4,5,0,85,88,20,6,5,0,115,92,15,11,24,0,143,116,10,8,14,0,151,11,0,3,0,0,19,332,104,74,621,7,1128,83,7,7,5,0,103,63,10,3,0,0,80,178,5,8,5,0,195,30,3,4,0,0,37,126,6,7,3,0,142,41,11,7,31,0,96,1898,168,123,191,18,2403,81,7,8,14,1016,1123,6196,999,719,4034,1128,13072
POA2017,269,577,486,2191,30,3554,17,41,4,481,9,550,7009,55,111,69,34,7277,81,20,9,21,0,119,147,28,16,61,0,246,2649,478,398,2233,48,5807,414,14,58,8,5,492,246,17,14,39,0,305,381,48,45,263,9,737,182,64,23,102,3,370,61,6,4,15,0,95,713,10,15,10,0,748,1460,140,101,992,15,2713,689,99,64,227,3,1082,424,0,13,11,3,451,130,23,13,45,4,213,43,7,7,6,0,65,37,22,12,38,0,116,112,11,3,3,0,136,148,20,9,6,0,187,226,22,15,52,3,320,428,14,12,22,9,482,42,7,0,0,0,47,567,124,81,692,14,1473,105,0,0,10,0,124,127,8,8,0,0,142,364,9,8,12,0,391,54,3,11,0,0,73,417,6,12,11,6,450,94,12,4,39,0,152,4982,250,211,276,37,5751,246,5,5,54,1926,2236,19468,1216,996,5202,2111,29003
POA2018,319,433,397,1546,20,2722,8,14,9,191,0,215,3135,42,79,43,8,3308,106,17,9,13,0,147,43,21,18,21,0,94,1187,293,265,1380,25,3149,484,10,48,0,6,538,89,6,15,12,0,119,158,35,21,134,3,353,1055,150,69,396,9,1676,58,12,17,7,0,90,462,18,6,0,0,489,804,112,73,634,15,1636,564,92,52,247,6,959,156,6,12,3,0,178,157,25,26,34,0,246,50,10,10,14,0,79,91,35,13,48,0,182,81,19,5,18,0,123,88,12,18,7,0,129,129,20,15,20,0,175,284,13,3,16,0,314,33,0,0,0,0,40,287,80,69,377,0,817,109,5,3,13,0,133,62,9,10,0,0,81,264,11,4,13,0,296,49,0,0,5,0,57,164,8,17,0,0,186,45,3,4,30,0,85,4547,261,200,221,31,5261,180,4,11,28,1026,1249,13176,1043,865,3645,1144,19878
