POA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA2000,111,376,955,460,242,162,97,60,19,2477,1418,4036,10684,5424,2398,1872,1310,625,165,27936
POA2007,44,141,191,119,43,42,29,13,12,630,485,1528,2654,1281,600,389,292,122,56,7410
POA2008,25,279,337,132,66,52,30,11,4,941,409,3142,3861,1384,686,504,295,97,25,10400
POA2009,122,79,295,243,130,111,106,28,10,1120,1298,1003,3197,2708,1489,1325,1087,447,98,12658
POA2010,112,213,713,458,365,278,152,106,39,2435,1434,2358,8431,5247,3422,2706,1653,863,330,26443
POA2011,80,271,594,325,248,196,149,94,78,2041,770,1238,5205,3462,2440,2119,1651,872,418,18187
POA2015,75,73,241,166,97,55,34,15,8,769,1305,959,3634,2464,1455,884,493,179,44,11422
POA2016,84,114,300,218,181,143,103,54,29,1227,1074,1327,3578,2286,1649,1391,978,569,211,13072
POA2017,182,321,843,408,222,205,130,100,41,2448,2294,4046,11184,5261,2272,1779,1293,634,233,29003
POA2018,188,196,363,235,138,131,106,66,37,1454,2634,2448,4905,3264,2238,1724,1359,959,339,19878
POA2019,179,114,210,201,140,104,64,39,9,1066,2540,1457,2296,2304,1907,1381,925,499,155,13467
POA2020,158,287,546,215,106,115,77,33,16,1547,2537,3579,7408,3256,1794,1394,917,522,190,21591
POA2021,83,112,203,170,118,87,84,63,87,1008,1948,1469,3288,2406,2051,1549,1195,772,267,14946
POA2022,96,118,307,182,118,93,97,73,39,1115,1958,1244,3211,2222,1628,1206,1046,688,306,13509
POA2023,97,93,120,85,78,66,62,33,12,643,1821,1246,1593,1449,1409,1257,1083,555,177,10590
POA2024,141,76,173,111,102,89,57,44,47,840,2055,1070,1909,1765,1630,1199,813,542,401,11380
POA2025,85,45,71,55,59,50,54,59,95,562,1101,645,1143,983,886,768,789,589,284,7189
POA2026,341,236,835,499,311,196,135,113,74,2740,4669,2661,9669,5951,3931,2496,1791,1079,449,32693
POA2027,71,51,107,100,86,73,69,63,27,635,852,615,1257,1048,882,954,1025,831,341,7810
POA2028,36,24,74,42,24,35,21,29,14,299,579,426,1005,663,509,488,532,365,144,4709
POA2029,87,82,92,100,87,74,61,64,64,724,1616,1011,1427,1452,1326,1063,936,710,361,9911
POA2030,168,127,108,111,160,104,69,64,30,930,2746,1954,1264,1698,2315,1825,1391,814,428,14434
POA2031,304,274,443,343,263,208,176,171,313,2481,5237,3498,7238,5497,4386,3218,2368,1502,890,33830
POA2032,93,190,235,129,98,95,71,43,30,991,1979,2456,2880,1925,1691,1407,1126,781,397,14643
POA2033,82,252,201,98,97,56,44,26,18,872,1438,2536,2503,1670,1228,1017,717,530,291,11927
POA2034,235,136,376,275,193,131,118,54,29,1544,3067,1914,4648,3337,2636,2058,1460,815,312,20249
POA2035,335,221,354,331,335,238,193,145,84,2245,5624,3787,5183,5192,4657,3922,3033,2167,1030,34602
POA2036,474,358,627,610,556,444,307,172,57,3600,5725,3918,4930,4941,4635,3948,3083,1861,728,33767
POA2037,122,185,300,193,163,169,111,52,16,1322,1765,2154,3813,2724,2005,1863,1468,678,180,16641
POA2038,100,76,128,124,111,81,66,17,8,712,1517,953,1648,1581,1444,1052,815,343,133,9487
POA2039,83,43,60,87,81,59,48,12,6,475,1474,665,1292,1604,1353,968,796,337,55,8553
POA2040,201,147,226,249,210,144,109,107,91,1490,4389,2145,3275,4035,3605,2386,1686,854,427,22803
POA2041,167,93,120,173,160,168,95,54,20,1046,2633,1262,1814,2465,2555,2104,1710,838,208,15584
POA2042,103,189,344,213,183,140,71,25,19,1278,1850,2379,5280,3257,2532,1810,1025,397,145,18673
POA2043,41,38,174,126,77,50,20,11,7,550,1052,693,3105,2225,1251,806,350,145,37,9657
POA2044,70,46,105,113,51,45,38,27,11,501,1251,728,1859,1668,1072,757,573,274,108,8278
POA2045,43,39,26,35,43,48,32,23,20,310,1068,836,506,658,1040,937,704,445,289,6480
POA2046,266,130,222,263,210,195,199,139,178,1808,4730,2472,3154,4146,4081,3417,2722,1675,885,27288
POA2047,117,65,121,103,109,91,69,75,103,846,1882,1083,1719,1798,1699,1488,1190,746,406,12011
POA2048,27,55,92,69,74,51,40,40,18,477,995,907,1657,1219,1160,749,479,324,130,7619
POA2049,106,118,266,161,125,118,69,40,57,1064,1587,1391,2918,2090,1669,1176,810,430,200,12258
