POA_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2000,110,1013,3510,1640,692,423,165,27,6,7594,180,585,1473,733,324,389,411,256,69,4406,21,150,450,201,84,51,32,30,8,1006,308,1745,5424,2570,1100,860,604,309,79,13005,6,600,3391,2136,1082,672,212,25,0,8125,125,812,2413,1055,362,306,206,70,6,5347,52,311,779,339,118,71,27,4,4,1698,0,71,161,79,15,15,5,4,0,351,180,1798,6747,3602,1579,1059,452,102,11,15520,3,74,230,139,75,43,10,0,0,581,32,157,292,89,31,24,0,0,0,620,37,226,527,229,101,65,12,6,0,1199,211,2028,7269,3833,1680,1123,460,98,11,16720,364,1094,2489,1165,517,617,771,472,143,7619,40,307,920,439,197,134,76,49,14,2177,610,3429,10684,5424,2398,1872,1310,625,165,26520
POA2007,58,360,896,437,177,93,20,0,0,2048,77,234,323,126,87,73,112,52,28,1099,16,47,85,37,20,24,12,8,10,254,149,642,1303,590,288,194,140,64,31,3400,10,176,886,524,266,120,24,0,0,2003,54,302,588,281,101,59,26,4,0,1416,29,104,176,88,24,19,3,0,0,452,0,15,37,16,7,5,0,0,0,92,91,599,1688,908,401,201,57,6,0,3957,4,28,84,41,18,10,4,0,0,197,11,80,93,26,5,8,0,0,0,231,19,114,181,66,30,16,3,0,0,433,114,714,1867,972,432,219,66,4,0,4387,124,455,614,221,135,127,212,101,41,2032,28,96,165,88,35,40,21,11,13,511,265,1261,2654,1281,600,389,292,122,56,6930
POA2008,113,764,1371,458,201,133,25,0,0,3062,133,580,378,84,72,75,74,48,12,1449,12,109,149,51,25,22,7,0,4,380,262,1449,1889,595,295,225,115,54,9,4895,3,374,1746,690,341,187,36,0,0,3390,82,530,649,248,95,82,33,3,0,1718,54,224,204,78,27,23,3,0,0,611,0,17,41,13,0,7,3,0,0,88,136,1148,2639,1031,467,299,79,5,0,5805,5,54,113,46,24,11,5,0,0,255,43,175,82,8,6,7,0,0,0,323,46,230,191,57,32,21,5,0,0,577,180,1375,2826,1090,497,322,82,5,0,6379,266,1074,727,180,135,145,184,91,16,2813,29,214,305,119,50,37,25,8,3,797,480,2662,3861,1384,686,504,295,97,25,9989
POA2009,46,234,1218,1026,531,389,130,12,0,3584,92,79,231,218,156,249,391,189,50,1652,0,27,128,103,51,39,35,15,4,394,142,342,1574,1343,736,675,552,218,51,5631,5,211,1498,1526,758,449,122,10,0,4584,48,157,592,396,234,240,164,28,0,1857,33,86,234,148,74,63,26,6,0,665,0,6,49,26,8,6,0,0,0,98,83,463,2370,2095,1068,764,313,49,0,7204,3,16,78,62,40,41,7,0,0,240,11,20,77,19,22,14,4,0,0,171,13,43,147,88,61,48,11,0,0,413,100,503,2518,2178,1132,817,327,46,0,7614,190,144,422,332,250,420,674,376,88,2893,5,63,261,201,104,84,85,29,11,847,296,708,3197,2708,1489,1325,1087,447,98,11362
POA2010,98,793,3151,1634,885,571,183,34,3,7347,88,160,379,255,188,306,453,327,156,2305,15,68,241,128,94,62,53,44,37,751,200,1027,3768,2019,1172,943,685,402,188,10404,17,736,5111,3124,1821,978,174,18,4,11977,66,480,1212,728,474,448,222,47,0,3673,52,209,406,276,142,115,39,6,3,1254,6,27,89,47,18,18,6,0,0,202,139,1442,6815,4174,2454,1557,445,63,4,17102,3,43,169,126,123,77,7,0,0,548,20,43,102,41,38,23,19,3,0,286,19,83,266,169,158,103,30,8,0,832,158,1528,7084,4338,2617,1661,474,74,4,17931,185,317,745,532,525,822,1033,663,269,5090,28,144,606,372,279,230,147,127,54,1988,369,1987,8431,5247,3422,2706,1653,863,330,25009
POA2011,33,346,2014,1191,786,591,254,32,4,5253,74,66,209,161,173,301,512,324,152,1960,39,83,225,112,66,68,56,75,111,820,141,492,2449,1458,1021,963,825,426,271,8044,13,376,3114,2113,1326,820,248,28,0,8048,27,188,678,458,318,351,253,64,13,2348,15,57,256,151,108,92,39,5,0,736,0,8,59,20,10,12,6,0,0,121,58,636,4111,2742,1762,1276,549,93,11,11250,0,22,119,91,94,60,15,0,0,396,8,25,55,35,32,40,13,3,0,202,8,42,173,121,126,99,33,4,0,597,72,680,4282,2866,1885,1369,579,99,11,11849,122,120,402,314,350,611,960,634,247,3758,53,194,520,281,199,134,119,139,160,1807,246,998,5205,3462,2440,2119,1651,872,418,17415
POA2015,61,304,1562,1024,571,288,75,5,0,3889,55,56,113,95,55,110,170,88,25,771,6,27,96,53,32,14,5,11,3,244,118,393,1774,1168,658,414,254,98,24,4902,10,302,2374,1590,900,386,71,4,0,5639,51,170,528,391,231,178,68,6,0,1612,26,63,203,133,77,42,13,0,0,556,4,8,31,18,9,0,0,0,0,77,91,537,3136,2123,1220,614,152,13,0,7880,0,14,58,39,43,19,5,0,0,183,6,14,20,22,11,3,6,0,0,84,6,39,77,58,58,21,16,0,0,269,99,573,3212,2180,1274,634,165,13,0,8146,130,105,220,165,124,215,307,154,43,1456,8,49,205,115,57,39,27,17,3,520,236,727,3634,2464,1455,884,493,179,44,10120
POA2016,56,396,1405,806,436,294,85,9,4,3495,58,118,164,134,128,209,312,240,95,1460,7,36,113,84,33,45,47,55,22,444,126,558,1679,1023,597,547,449,308,124,5404,9,278,2003,1293,775,425,91,4,0,4884,50,289,593,353,237,219,65,14,5,1828,21,126,213,124,63,44,25,5,0,621,5,10,46,11,13,10,3,0,0,96,91,704,2847,1782,1082,706,183,27,3,7428,0,24,90,42,56,43,8,0,0,267,11,34,54,23,35,31,8,0,0,194,10,54,148,64,91,76,15,0,0,457,101,764,2993,1847,1179,779,202,27,3,7891,136,233,330,256,326,503,674,451,163,3074,18,73,256,186,142,113,105,96,40,1036,257,1072,3578,2286,1649,1391,978,569,211,11997
POA2017,103,994,4351,1695,606,357,99,10,5,8226,166,647,744,388,254,407,474,245,98,3421,22,115,356,138,70,66,50,31,31,878,298,1754,5456,2223,931,826,628,292,132,12532,14,867,6014,3017,1043,471,81,10,0,11513,94,509,1678,749,334,223,105,12,0,3702,37,234,730,284,103,80,29,0,0,1500,0,41,142,42,11,8,0,4,0,257,151,1651,8565,4093,1488,786,220,19,4,16966,0,92,286,132,82,46,7,0,0,646,31,171,142,40,29,34,17,0,0,464,35,262,429,169,113,78,21,0,0,1103,181,1909,8989,4266,1598,867,238,19,3,18070,342,1340,1463,666,488,737,925,512,177,6651,42,226,739,332,182,175,129,108,49,1984,564,3481,11184,5261,2272,1779,1293,634,233,26706
POA2018,155,537,1915,1234,795,495,122,15,4,5277,203,240,365,296,226,345,563,481,178,2895,20,52,137,92,46,44,45,34,18,480,379,823,2422,1620,1068,887,731,525,194,8653,26,400,2535,1782,1071,578,129,5,0,6536,186,377,847,535,439,288,108,19,0,2808,65,158,279,186,99,93,42,10,0,932,3,25,85,39,20,13,6,0,0,178,276,962,3743,2542,1632,975,285,31,7,10450,4,36,108,58,47,37,11,0,0,298,27,54,68,30,17,17,8,0,0,229,35,91,175,88,63,53,14,0,0,521,309,1051,3924,2635,1695,1031,296,31,7,10980,426,501,669,447,429,606,993,859,301,5234,50,102,316,188,110,85,76,66,30,1027,789,1660,4905,3264,2238,1724,1359,959,339,17240
