POA_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
POA2000,24,0,0,0,24,9,0,26,246,33,13,0,292,4,0,4,297,38,4,333,163,100,15,0,270,4,0,9,278,13,0,289,67,17,33,4,118,0,0,0,121,4,0,118,9,6,0,0,9,0,0,0,9,0,0,13,477,155,51,0,692,13,0,15,705,51,4,765,9,0,0,0,16,0,0,0,16,0,0,16,14,6,0,0,19,0,0,0,19,0,0,18,22,4,4,0,32,0,0,0,32,0,0,31,499,158,61,0,719,13,0,15,735,51,4,792,200,82,19,6,304,7,8,14,322,111,0,429,0,0,0,0,0,0,0,0,0,0,3,3,704,244,77,7,1030,17,13,25,1057,164,10,1226
POA2007,7,0,0,0,10,6,0,16,84,16,6,0,104,7,0,7,113,3,0,118,60,25,7,0,94,0,0,0,94,11,0,107,11,6,10,0,34,0,0,0,34,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,162,50,23,0,238,7,0,7,242,13,0,261,4,4,0,0,4,0,0,0,10,0,0,9,5,0,0,0,4,0,0,0,7,0,0,7,9,3,0,0,9,0,0,0,11,0,0,14,173,56,23,0,248,9,0,9,258,19,0,276,56,21,10,0,88,9,0,9,92,30,0,124,0,0,0,0,0,0,0,0,0,0,0,0,224,70,37,0,331,19,0,19,350,48,0,397
POA2008,8,0,0,0,8,0,0,7,104,3,3,0,107,3,0,3,110,11,0,120,60,24,0,0,84,0,0,0,82,3,0,91,22,9,3,0,36,0,0,0,36,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,181,37,10,0,231,4,0,4,232,13,0,247,4,0,0,0,4,3,0,3,10,0,0,10,3,0,0,0,4,0,0,0,4,0,0,4,9,0,0,0,10,3,0,3,13,0,0,13,190,40,10,0,235,12,0,12,246,13,0,254,49,12,8,0,69,0,4,0,69,22,0,90,0,0,0,0,0,0,0,0,0,0,0,0,238,53,13,0,306,8,4,9,317,34,0,350
POA2009,14,0,0,0,15,7,0,23,314,32,6,0,356,12,3,10,369,29,0,401,179,42,15,0,232,6,0,6,237,30,0,268,57,15,22,0,96,0,0,0,96,0,0,96,0,0,0,3,8,0,0,0,3,0,0,3,556,90,38,9,690,17,3,21,707,56,3,769,11,0,0,0,11,4,0,4,13,0,0,13,19,4,0,0,20,0,0,0,20,0,0,20,27,4,0,0,32,4,0,4,35,0,0,35,584,88,38,9,719,23,3,24,744,56,3,804,159,41,5,4,213,0,5,4,213,76,0,299,0,0,0,0,0,0,0,0,0,0,9,12,743,129,47,12,928,27,7,32,961,136,9,1111
POA2010,24,0,0,0,24,3,0,21,385,55,18,0,457,13,0,13,472,24,0,498,204,71,9,0,278,7,0,9,286,20,0,311,119,9,15,0,142,5,0,6,146,3,0,150,0,4,0,0,6,0,0,0,6,0,0,6,709,133,37,0,885,22,8,26,908,51,0,961,10,0,0,0,8,0,0,0,9,0,0,13,3,3,0,0,10,0,0,0,10,0,5,9,16,3,0,0,19,0,0,0,16,0,5,23,725,137,37,7,903,22,6,27,932,55,5,990,102,29,7,3,143,6,0,6,144,38,0,178,0,0,0,5,6,0,0,0,6,0,6,13,825,164,47,11,1045,29,6,35,1081,90,10,1179
POA2011,5,0,0,0,5,0,0,9,149,22,0,0,180,6,0,6,178,27,0,209,96,23,4,0,121,0,5,5,124,12,0,133,55,3,5,0,67,0,0,0,67,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,299,50,9,7,363,0,5,10,370,36,0,407,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,0,4,0,0,0,4,0,0,3,4,0,0,0,9,0,0,0,8,0,0,12,304,52,9,7,372,3,5,7,378,35,0,413,82,21,0,0,102,6,0,6,108,38,0,141,0,0,0,0,0,0,0,0,0,0,4,4,383,72,12,7,474,13,5,16,487,74,4,565
POA2015,18,0,0,0,18,0,0,18,373,55,7,0,439,15,0,15,453,23,0,473,279,78,10,0,365,6,0,6,371,15,0,385,95,21,11,3,135,0,0,0,135,0,0,135,8,0,0,0,12,0,0,0,12,0,0,12,750,154,36,3,946,18,0,18,966,36,0,999,15,0,3,0,18,0,0,0,18,0,0,21,10,0,0,0,6,0,0,0,15,0,0,16,26,0,5,0,31,0,0,0,29,0,0,33,775,154,40,3,976,20,0,20,994,41,0,1030,76,24,0,0,103,3,5,8,114,20,0,132,4,3,0,0,8,0,0,0,8,0,0,6,856,178,41,8,1081,22,5,28,1114,63,0,1177
POA2016,15,0,0,0,15,0,0,14,230,62,5,4,292,0,9,14,308,39,0,345,226,54,5,0,278,5,0,5,286,3,0,298,69,4,8,0,89,0,0,0,89,5,0,90,0,0,0,4,4,0,0,0,4,0,0,4,521,125,19,6,664,13,9,18,681,46,0,731,12,0,4,0,12,0,0,0,12,0,0,12,8,0,0,0,9,0,0,0,9,4,0,12,22,0,4,0,24,0,0,0,24,4,0,26,543,124,20,6,690,13,9,18,707,47,0,754,84,24,8,0,114,0,4,4,120,35,0,155,0,0,0,0,6,0,0,0,6,0,0,6,624,142,24,7,799,13,13,21,825,86,0,915
POA2017,24,0,0,0,24,12,0,34,371,62,13,0,447,10,9,8,461,47,0,508,297,92,21,0,404,9,0,13,417,35,0,453,150,37,35,0,228,7,4,6,235,7,3,250,0,4,0,6,9,0,0,0,9,0,0,10,814,192,75,10,1091,22,8,34,1125,88,4,1219,18,4,0,0,25,8,0,8,29,5,0,31,12,3,0,0,15,0,0,6,18,4,0,21,30,7,4,0,39,7,0,7,48,7,0,54,844,203,77,6,1126,31,6,41,1169,100,4,1274,266,100,31,10,396,12,6,21,411,152,0,568,4,0,0,0,6,0,0,0,6,0,8,14,1112,303,103,14,1527,48,15,59,1590,252,13,1854
POA2018,88,0,0,5,92,15,0,110,639,144,35,0,825,18,7,21,840,65,0,906,477,155,30,9,667,11,0,13,686,32,3,723,171,47,24,0,249,3,0,3,252,18,0,269,7,0,5,9,20,0,0,0,26,0,0,28,1297,348,102,19,1762,34,5,45,1800,112,4,1923,30,0,0,0,35,4,3,3,37,0,0,39,30,6,0,0,36,6,0,6,43,3,0,48,57,9,5,0,68,9,3,10,78,6,0,82,1352,358,104,19,1835,43,8,48,1883,118,4,2002,351,100,38,10,491,16,4,14,510,179,3,695,9,7,0,10,19,0,0,0,19,0,9,29,1706,470,137,34,2347,54,15,68,2409,297,14,2719
