POA_CODE_2021,M_LPLFS_EFT_DC_0_4,M_LPLFS_EFT_DC_5_9,M_LPLFS_EFT_DC_10_12,M_LPLFS_EFT_DC_13_14,M_LPLFS_EFT_DC_15_17,M_LPLFS_EFT_DC_18_20,M_LPLFS_EFT_DC_21_24,M_LPLFS_EFT_T,M_LPLFS_EPT_DC_0_4,M_LPLFS_EPT_DC_5_9,M_LPLFS_EPT_DC_10_12,M_LPLFS_EPT_DC_13_14,M_LPLFS_EPT_DC_15_17,M_LPLFS_EPT_DC_18_20,M_LPLFS_EPT_DC_21_24,M_LPLFS_EPT_T,M_LPLFS_EAW_DC_0_4,M_LPLFS_EAW_DC_5_9,M_LPLFS_EAW_DC_10_12,M_LPLFS_EAW_DC_13_14,M_LPLFS_EAW_DC_15_17,M_LPLFS_EAW_DC_18_20,M_LPLFS_EAW_DC_21_24,M_LPLFS_EAW_T,M_LPLFS_HNS_DC_0_4,M_LPLFS_HNS_DC_5_9,M_LPLFS_HNS_DC_10_12,M_LPLFS_HNS_DC_13_14,M_LPLFS_HNS_DC_15_17,M_LPLFS_HNS_DC_18_20,M_LPLFS_HNS_DC_21_24,M_LPLFS_HNS_T,M_LPLFS_EW_T_DC_0_4,M_LPLFS_EW_T_DC_5_9,M_LPLFS_EW_T_DC_10_12,M_LPLFS_EW_T_DC_13_14,M_LPLFS_EW_T_DC_15_17,M_LPLFS_EW_T_DC_18_20,M_LPLFS_EW_T_DC_21_24,M_LPLFS_EW_T_T,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULFTW_DC_5_9,M_LPLFS_ULFTW_DC_10_12,M_LPLFS_ULFTW_DC_13_14,M_LPLFS_ULFTW_DC_15_17,M_LPLFS_ULFTW_DC_18_20,M_LPLFS_ULFTW_DC_21_24,M_LPLFS_ULFTW_T,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_ULPTW_DC_5_9,M_LPLFS_ULPTW_DC_10_12,M_LPLFS_ULPTW_DC_13_14,M_LPLFS_ULPTW_DC_15_17,M_LPLFS_ULPTW_DC_18_20,M_LPLFS_ULPTW_DC_21_24,M_LPLFS_ULPTW_T,M_LPLFS_U_T_DC_0_4,M_LPLFS_U_T_DC_5_9,M_LPLFS_U_T_DC_10_12,M_LPLFS_U_T_DC_13_14,M_LPLFS_U_T_DC_15_17,M_LPLFS_U_T_DC_18_20,M_LPLFS_U_T_DC_21_24,M_LPLFS_U_T_T,M_LPLFS_T_LF_DC_0_4,M_LPLFS_T_LF_DC_5_9,M_LPLFS_T_LF_DC_10_12,M_LPLFS_T_LF_DC_13_14,M_LPLFS_T_LF_DC_15_17,M_LPLFS_T_LF_DC_18_20,M_LPLFS_T_LF_DC_21_24,M_LPLFS_T_LF_T,M_LPLFS_NLF_DC_0_4,M_LPLFS_NLF_DC_5_9,M_LPLFS_NLF_DC_10_12,M_LPLFS_NLF_DC_13_14,M_LPLFS_NLF_DC_15_17,M_LPLFS_NLF_DC_18_20,M_LPLFS_NLF_DC_21_24,M_LPLFS_NLF_T,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_LFSNS_DC_5_9,M_LPLFS_LFSNS_DC_10_12,M_LPLFS_LFSNS_DC_13_14,M_LPLFS_LFSNS_DC_15_17,M_LPLFS_LFSNS_DC_18_20,M_LPLFS_LFSNS_DC_21_24,M_LPLFS_LFSNS_T,M_LPLFS_T_DC_0_4,M_LPLFS_T_DC_5_9,M_LPLFS_T_DC_10_12,M_LPLFS_T_DC_13_14,M_LPLFS_T_DC_15_17,M_LPLFS_T_DC_18_20,M_LPLFS_T_DC_21_24,M_LPLFS_T_T,F_LPLFS_EFT_DC_0_4,F_LPLFS_EFT_DC_5_9,F_LPLFS_EFT_DC_10_12,F_LPLFS_EFT_DC_13_14,F_LPLFS_EFT_DC_15_17,F_LPLFS_EFT_DC_18_20,F_LPLFS_EFT_DC_21_24,F_LPLFS_EFT_T,F_LPLFS_EPT_DC_0_4,F_LPLFS_EPT_DC_5_9,F_LPLFS_EPT_DC_10_12,F_LPLFS_EPT_DC_13_14,F_LPLFS_EPT_DC_15_17,F_LPLFS_EPT_DC_18_20,F_LPLFS_EPT_DC_21_24,F_LPLFS_EPT_T,F_LPLFS_EAW_DC_0_4,F_LPLFS_EAW_DC_5_9,F_LPLFS_EAW_DC_10_12,F_LPLFS_EAW_DC_13_14,F_LPLFS_EAW_DC_15_17,F_LPLFS_EAW_DC_18_20,F_LPLFS_EAW_DC_21_24,F_LPLFS_EAW_T,F_LPLFS_HNS_DC_0_4,F_LPLFS_HNS_DC_5_9,F_LPLFS_HNS_DC_10_12,F_LPLFS_HNS_DC_13_14,F_LPLFS_HNS_DC_15_17,F_LPLFS_HNS_DC_18_20,F_LPLFS_HNS_DC_21_24,F_LPLFS_HNS_T,F_LPLFS_EW_T_DC_0_4,F_LPLFS_EW_T_DC_5_9,F_LPLFS_EW_T_DC_10_12,F_LPLFS_EW_T_DC_13_14,F_LPLFS_EW_T_DC_15_17,F_LPLFS_EW_T_DC_18_20,F_LPLFS_EW_T_DC_21_24,F_LPLFS_EW_T_T,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULFTW_DC_5_9,F_LPLFS_ULFTW_DC_10_12,F_LPLFS_ULFTW_DC_13_14,F_LPLFS_ULFTW_DC_15_17,F_LPLFS_ULFTW_DC_18_20,F_LPLFS_ULFTW_DC_21_24,F_LPLFS_ULFTW_T,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_ULPTW_DC_5_9,F_LPLFS_ULPTW_DC_10_12,F_LPLFS_ULPTW_DC_13_14,F_LPLFS_ULPTW_DC_15_17,F_LPLFS_ULPTW_DC_18_20,F_LPLFS_ULPTW_DC_21_24,F_LPLFS_ULPTW_T,F_LPLFS_U_T_DC_0_4,F_LPLFS_U_T_DC_5_9,F_LPLFS_U_T_DC_10_12,F_LPLFS_U_T_DC_13_14,F_LPLFS_U_T_DC_15_17,F_LPLFS_U_T_DC_18_20,F_LPLFS_U_T_DC_21_24,F_LPLFS_U_T_T,F_LPLFS_T_LF_DC_0_4,F_LPLFS_T_LF_DC_5_9,F_LPLFS_T_LF_DC_10_12,F_LPLFS_T_LF_DC_13_14,F_LPLFS_T_LF_DC_15_17,F_LPLFS_T_LF_DC_18_20,F_LPLFS_T_LF_DC_21_24,F_LPLFS_T_LF_T,F_LPLFS_NLF_DC_0_4,F_LPLFS_NLF_DC_5_9,F_LPLFS_NLF_DC_10_12,F_LPLFS_NLF_DC_13_14,F_LPLFS_NLF_DC_15_17,F_LPLFS_NLF_DC_18_20,F_LPLFS_NLF_DC_21_24,F_LPLFS_NLF_T,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_LFSNS_DC_5_9,F_LPLFS_LFSNS_DC_10_12,F_LPLFS_LFSNS_DC_13_14,F_LPLFS_LFSNS_DC_15_17,F_LPLFS_LFSNS_DC_18_20,F_LPLFS_LFSNS_DC_21_24,F_LPLFS_LFSNS_T,F_LPLFS_T_DC_0_4,F_LPLFS_T_DC_5_9,F_LPLFS_T_DC_10_12,F_LPLFS_T_DC_13_14,F_LPLFS_T_DC_15_17,F_LPLFS_T_DC_18_20,F_LPLFS_T_DC_21_24,F_LPLFS_T_T,T_LPLFS_EFT_DC_0_4,T_LPLFS_EFT_DC_5_9,T_LPLFS_EFT_DC_10_12,T_LPLFS_EFT_DC_13_14,T_LPLFS_EFT_DC_15_17,T_LPLFS_EFT_DC_18_20,T_LPLFS_EFT_DC_21_24,T_LPLFS_EFT_T
POA2000,3,13,0,0,7,7,3,27,3,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,4,3,7,7,3,39,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,4,3,9,4,3,43,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,13,0,3,13,4,3,47,8,15,10,15,7,5,9,71,14,13,8,7,14,7,0,63,3,9,3,0,3,3,0,20,0,0,0,0,0,0,0,3,30,38,19,22,26,16,13,157,0,0,0,0,0,0,0,4,3,3,0,0,4,0,0,15,3,3,0,0,3,0,0,17,33,42,19,22,27,15,12,172,19,23,17,14,25,30,13,138,0,0,0,0,0,0,0,0,50,59,33,30,53,52,26,310,9,29,11,12,11,12,14,98
POA2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,7,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,4,0,0,5,3,0,14,3,7,0,4,3,6,0,20,7,11,0,0,3,0,0,22,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,15,5,6,10,6,0,50,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,7,10,18,8,6,10,6,3,58,16,5,4,3,7,3,6,49,3,0,0,0,0,0,0,4,27,31,7,12,15,11,4,105,3,7,0,4,3,6,0,24
POA2008,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,4,0,3,3,0,18,8,11,4,0,11,5,0,45,3,5,0,6,0,6,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,5,5,10,7,6,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,5,10,13,7,6,65,5,9,5,5,5,13,3,39,0,0,0,0,0,0,0,0,10,23,10,9,22,18,11,100,8,11,4,0,13,11,3,48
POA2009,4,4,3,0,3,8,4,24,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,4,0,13,8,4,35,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,8,4,0,13,8,4,37,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,11,5,5,0,12,4,7,48,14,19,12,8,11,10,4,73,10,20,10,5,18,11,10,81,0,3,8,3,0,0,0,12,0,0,0,0,0,0,0,0,20,44,23,17,26,23,10,168,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,3,0,4,10,20,44,23,14,29,25,16,174,31,23,16,9,18,6,9,104,0,0,0,0,0,0,0,0,55,66,39,24,43,34,20,279,13,23,12,7,15,13,6,99
POA2010,11,9,5,0,9,7,4,42,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,11,9,9,0,9,9,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,9,0,9,9,3,46,0,5,0,0,0,0,5,14,0,0,0,0,0,0,0,0,11,13,9,0,10,6,5,57,15,30,25,17,20,12,4,115,0,14,8,7,8,0,5,43,0,0,4,0,0,4,0,13,0,0,0,0,0,0,0,0,13,47,41,20,28,19,8,175,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,6,13,50,40,21,24,19,8,178,18,19,13,7,5,3,7,72,0,0,0,0,0,0,0,0,28,68,55,26,36,23,15,247,25,39,30,17,26,16,11,158
POA2011,0,0,0,0,3,5,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,5,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,5,3,15,0,0,4,3,4,0,0,12,0,0,0,0,0,0,0,0,0,6,3,3,6,5,3,28,7,6,12,7,4,0,0,37,5,4,11,5,9,8,4,44,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,17,15,29,12,9,10,3,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,17,15,25,13,14,10,3,98,14,16,13,11,9,8,5,70,0,0,0,0,0,0,0,0,37,28,36,23,28,13,11,172,7,11,13,10,7,0,7,53
POA2015,0,10,3,0,3,0,4,20,0,4,0,3,0,0,0,7,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,4,0,21,3,4,8,0,4,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,4,3,0,4,35,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,21,3,4,8,3,3,45,6,18,20,13,15,8,5,77,4,13,4,0,5,4,4,35,3,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,16,26,25,13,22,16,14,126,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,16,28,20,13,22,17,17,139,12,9,6,5,6,3,0,44,0,0,0,0,0,0,0,0,32,38,30,23,30,20,13,183,6,29,20,13,13,7,6,102
POA2016,0,3,0,0,7,0,0,19,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,6,0,0,7,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,7,0,0,25,0,0,0,3,3,3,0,15,0,0,0,0,0,0,0,0,4,9,7,7,7,0,3,37,4,9,10,3,11,0,0,48,8,11,9,7,7,0,3,43,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,17,17,19,15,12,3,10,94,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,5,0,3,0,0,7,14,19,22,12,17,3,10,103,19,22,9,8,0,7,0,68,0,0,0,0,0,0,0,0,39,40,28,19,23,9,9,169,10,17,13,3,14,3,5,64
POA2017,3,16,6,0,0,3,4,34,0,3,0,0,4,0,0,12,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,3,6,21,9,3,4,4,3,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,6,19,10,3,4,7,3,58,0,4,0,0,4,0,0,12,0,0,0,0,0,0,0,0,9,26,10,3,5,7,3,71,31,30,15,12,17,4,9,116,20,25,17,12,8,4,11,89,7,0,0,3,3,0,0,23,0,4,3,0,0,0,0,6,58,61,36,28,33,12,17,237,0,0,5,0,3,3,3,12,7,5,0,3,4,0,5,17,6,5,5,3,4,6,10,29,64,59,41,31,34,17,24,267,45,47,38,32,15,25,18,229,0,0,0,0,0,0,0,6,120,109,79,63,52,41,40,503,37,41,18,14,19,8,12,144
POA2018,4,6,0,3,7,3,5,32,0,4,4,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,8,10,3,15,3,5,49,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,8,5,3,15,5,5,49,0,4,0,0,7,0,0,8,0,0,0,0,0,0,0,0,9,12,5,3,17,5,7,62,23,31,21,9,24,28,12,160,15,25,19,13,19,7,9,108,5,11,5,3,0,0,0,23,0,4,0,0,0,0,0,4,45,65,41,22,50,38,23,292,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,7,0,10,0,0,3,0,0,12,46,69,44,22,55,39,29,307,34,23,19,6,21,17,6,123,0,0,3,0,0,0,0,6,81,94,61,32,72,60,29,436,29,36,27,15,36,33,19,193
