POA_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
POA2000,14,12,8,5,15,7,7,72,3,9,5,0,3,3,0,19,0,0,0,0,0,0,0,3,35,43,23,21,31,17,19,195,0,0,0,0,0,0,0,6,3,3,0,0,4,0,0,15,3,3,0,0,3,0,0,20,44,51,25,23,34,22,22,213,20,25,17,12,24,30,13,141,0,0,0,0,0,0,0,0,65,72,36,39,63,54,32,362
POA2007,11,9,0,0,3,0,0,26,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,19,5,6,7,6,0,58,0,0,3,0,0,0,0,5,0,0,0,0,5,0,0,3,0,4,3,0,5,0,0,8,8,22,8,6,13,9,3,66,16,5,6,3,14,7,4,54,3,0,0,0,0,0,0,4,27,33,7,12,17,15,6,125
POA2008,5,4,0,6,0,6,5,19,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,15,16,8,8,15,11,6,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,8,6,12,11,6,73,3,8,7,5,8,13,3,41,0,0,0,0,0,0,0,0,18,23,11,13,23,17,11,118
POA2009,10,20,15,5,17,11,10,89,0,3,8,3,5,0,0,17,0,0,0,0,0,0,0,0,25,49,27,18,34,28,13,203,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,3,0,4,13,27,54,27,14,35,29,16,211,33,25,12,9,17,10,8,116,3,0,0,0,0,0,0,3,63,76,44,32,59,39,28,330
POA2010,0,14,8,7,8,4,4,40,0,0,9,0,0,4,0,19,0,0,0,0,0,0,0,0,22,51,43,19,33,21,14,215,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,6,22,56,54,21,33,21,14,224,18,21,13,7,7,7,10,83,0,0,0,0,0,0,0,0,38,76,63,30,42,29,25,307
POA2011,5,4,11,5,9,8,7,45,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,22,21,29,14,15,9,9,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,21,30,14,18,9,9,116,14,17,12,11,17,8,8,87,0,0,0,0,0,0,0,0,34,34,42,31,31,18,18,207
POA2015,4,17,4,4,5,4,4,41,3,4,0,0,4,0,0,14,0,0,0,0,0,0,0,4,16,50,26,16,22,14,18,161,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,11,16,49,27,19,28,20,14,174,12,9,9,5,10,3,3,53,0,0,0,0,0,0,0,0,32,57,37,23,38,22,21,227
POA2016,9,8,9,7,7,0,3,49,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,24,24,25,16,19,5,12,123,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,5,0,3,0,0,7,22,28,28,19,22,5,12,127,19,22,10,7,9,6,7,77,0,0,0,0,0,0,0,0,44,54,34,26,27,11,12,211
POA2017,20,29,25,13,12,4,9,103,8,4,0,0,3,0,0,26,0,4,4,3,0,0,0,12,67,76,43,31,34,17,23,288,0,0,5,0,3,3,3,11,7,5,0,3,4,0,5,16,6,5,5,3,4,4,10,30,74,82,48,31,40,23,24,325,51,57,38,34,22,25,23,239,0,0,0,0,0,0,0,6,124,136,84,68,64,46,48,571
POA2018,21,30,25,12,26,7,9,124,5,10,5,3,0,0,0,26,0,3,0,0,6,0,0,9,51,75,52,33,68,45,25,340,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,7,5,10,0,0,3,4,0,20,52,80,56,33,68,47,31,362,34,30,19,6,27,17,8,130,0,0,3,0,0,0,0,6,86,106,74,36,89,59,36,498
