POA_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
POA2000,1060,461,313,185,84,21,3813,20,175,119,72,58,32,17,3,489,881,3923,1888,740,558,348,143,38,8530,596,1706,773,300,215,132,78,13,3814,190,456,215,106,91,55,18,7,1137,16,66,22,5,10,11,3,0,138,45,107,47,49,32,41,17,4,343,257,623,287,160,135,105,36,13,1615,51,107,54,32,15,33,12,4,306,432,1124,527,227,159,105,73,21,2670,2336,9244,4723,1987,1449,940,440,110,21229
POA2007,297,111,57,29,6,0,1134,0,53,32,20,15,9,0,0,134,388,1023,452,142,81,55,22,5,2165,145,276,154,68,44,28,6,0,722,52,122,63,55,30,10,5,4,347,17,10,4,6,6,3,0,0,47,10,23,5,19,11,4,3,0,69,77,158,81,81,39,22,8,4,454,11,26,15,5,0,5,0,0,73,166,216,109,43,42,28,12,13,632,843,2329,1142,469,281,166,54,22,5310
POA2008,328,162,96,52,16,0,1731,11,106,48,20,33,11,0,0,228,872,1655,516,209,109,66,13,3,3450,185,257,137,81,62,28,9,0,752,99,126,69,42,36,27,7,3,404,20,8,11,0,3,4,0,0,48,11,14,12,7,12,5,0,0,65,123,149,92,50,51,29,10,3,516,31,16,3,3,3,4,0,0,62,294,337,126,63,43,31,3,0,911,1625,3494,1251,581,402,224,57,13,7638
POA2009,597,244,201,181,50,6,1872,4,83,73,60,62,49,12,0,346,231,1278,1021,449,324,256,102,17,3673,68,313,282,181,143,113,47,14,1162,52,195,146,112,105,76,19,0,712,6,17,17,11,16,9,0,0,77,3,22,26,33,28,31,12,4,157,68,238,190,150,149,115,34,7,954,4,38,34,22,9,15,7,5,126,81,308,242,127,105,109,43,11,1019,476,2826,2431,1226,998,825,301,65,9146
POA2010,1186,626,400,226,89,8,4003,19,269,179,131,120,55,26,0,796,785,4032,1983,1035,709,367,128,36,9068,137,654,494,389,271,143,72,21,2185,107,381,304,217,204,114,49,17,1402,19,31,33,27,8,14,0,0,135,11,51,53,54,72,33,12,3,294,135,467,391,291,287,162,59,21,1826,18,63,39,20,22,22,19,9,214,198,678,432,315,267,189,142,64,2289,1336,7579,4706,2824,2073,1164,532,162,20378
POA2011,751,428,374,256,87,24,2753,7,174,117,97,96,79,25,6,594,286,2280,1278,776,578,405,166,80,5856,84,420,347,273,220,176,89,48,1643,78,323,207,174,155,83,54,20,1088,14,18,18,10,15,12,5,0,93,8,34,54,57,60,48,29,23,310,100,373,276,237,225,143,89,42,1495,7,41,32,16,34,19,11,6,174,253,574,320,232,168,151,121,94,1920,759,4695,3117,2056,1688,1231,588,299,14443
POA2015,544,261,124,55,14,0,1623,0,100,113,62,50,28,4,0,355,245,1715,964,445,212,88,25,0,3689,55,303,242,192,96,49,11,4,947,66,240,150,128,84,42,19,4,739,6,14,19,15,3,5,0,0,71,15,24,18,31,20,18,0,0,123,83,277,185,181,106,67,25,4,928,3,11,12,8,7,0,0,0,52,58,241,140,73,57,34,18,8,644,462,3254,2204,1227,658,319,90,22,8238
POA2016,473,255,182,91,29,4,1715,9,102,92,62,54,27,14,0,352,352,1648,852,429,291,161,72,21,3823,91,259,200,196,136,87,41,15,1016,66,208,132,136,120,73,34,10,774,15,12,11,16,19,10,0,0,86,13,24,22,33,33,21,11,3,167,84,245,170,185,170,107,50,10,1028,8,24,11,11,14,15,7,4,93,100,297,210,171,152,128,85,37,1181,672,3229,2001,1301,999,623,294,94,9211
POA2017,1177,328,128,81,34,6,4296,27,262,170,94,36,36,3,0,633,1224,4482,1888,557,317,192,73,21,8758,251,877,535,298,195,129,42,23,2357,182,815,372,206,181,92,49,9,1914,20,44,24,21,19,11,3,0,154,24,99,60,36,50,30,9,4,313,231,957,452,265,254,134,63,16,2374,42,92,51,22,18,13,13,3,255,325,847,411,215,216,193,120,70,2405,2239,9926,4693,1786,1162,776,355,140,21080
POA2018,608,241,130,68,14,0,2110,8,86,85,66,44,23,3,0,316,458,1836,1071,541,307,159,62,15,4447,129,424,399,299,186,106,49,10,1602,141,450,326,297,214,126,84,23,1646,21,26,16,26,17,6,0,0,112,17,53,48,69,63,38,16,0,309,179,530,392,393,296,164,106,23,2073,3,34,29,25,18,26,3,7,147,191,357,226,134,130,105,91,39,1270,1016,4270,2812,1700,1105,653,322,94,11962
