POA_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
POA2000,98,12,347,152,64,61,27,87,8,842,4,4,5,3,0,6,0,10,0,29,40,45,13,25,17,11,5,9,9,179,33,37,47,41,22,19,10,56,96,361,2181,4627,1232,1258,1226,863,304,1048,305,13053
POA2007,16,5,62,36,12,9,4,13,3,151,0,0,0,0,0,0,0,0,0,6,12,22,0,10,5,3,4,8,0,54,8,10,5,4,3,4,3,3,21,70,425,1268,285,360,317,203,99,240,64,3248
POA2008,30,7,59,33,12,7,3,16,0,164,0,0,0,0,0,3,0,0,0,7,12,31,7,10,7,8,0,3,0,81,0,12,7,10,9,4,3,0,21,75,710,2343,318,380,476,266,76,153,65,4788
POA2009,53,13,99,50,19,14,8,13,3,264,0,6,0,0,0,0,0,0,0,5,26,15,3,10,11,3,0,3,3,86,20,16,14,12,10,5,0,14,20,109,1382,2525,400,459,617,317,106,216,121,6148
POA2010,76,23,198,75,48,29,8,33,9,501,0,4,4,0,0,0,0,0,0,15,73,124,23,19,34,23,8,7,11,310,39,46,21,23,24,21,6,23,54,256,3087,7317,759,813,1287,710,149,383,241,14745
POA2011,70,20,121,37,41,27,6,21,5,348,0,0,0,0,0,0,0,0,0,4,63,79,6,6,32,13,0,3,4,218,24,36,8,12,12,13,0,8,24,129,2194,4568,542,572,978,474,88,200,150,9768
POA2015,36,12,65,22,24,17,6,10,0,197,3,0,0,0,0,0,0,0,0,7,40,41,7,7,11,10,0,4,0,129,20,32,12,6,10,9,7,0,25,117,1459,3182,439,349,654,341,94,124,88,6724
POA2016,40,14,92,14,21,22,4,11,0,211,0,0,0,0,0,0,0,0,0,0,23,60,10,11,15,3,0,3,0,130,10,26,3,9,6,6,0,10,25,104,1111,3104,394,376,612,287,92,198,122,6293
POA2017,115,43,207,78,64,39,9,34,0,592,4,0,0,5,0,7,0,0,0,19,45,73,27,12,28,16,8,5,5,217,30,54,29,24,24,16,14,20,64,279,2570,6537,1217,864,1530,838,245,469,223,14496
POA2018,47,10,116,45,34,25,15,30,0,333,0,3,3,0,0,0,0,0,0,13,13,39,12,11,15,11,7,6,5,115,21,28,20,15,11,11,9,22,42,182,1390,3102,877,678,1068,489,263,308,134,8307
