POA_CODE_2021,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
POA2000,18,64,0,15,18,5,0,0,0,118,7,20,0,0,0,0,0,0,0,35,425,1017,145,386,333,219,34,209,56,2828,0,0,0,4,0,0,0,0,0,4,41,32,67,123,48,64,6,90,7,468,52,51,62,163,63,66,11,105,13,577,28,15,28,67,41,36,5,41,3,269,3,4,3,5,3,11,0,4,0,32,11,6,4,14,23,11,4,9,0,78,0,11,5,11,13,3,5,9,0,52,11,23,8,16,8,12,0,20,38,133,857,1976,359,874,751,503,61,503,143,6029,7,13,0,4,0,0,0,0,4,23,49,229,3,0,9,4,0,0,7,302,593,1331,74,96,293,145,17,45,44,2639,14,27,4,3,10,0,0,9,3,66,53,124,7,18,28,5,0,4,3,240,19,38,0,0,0,0,0,0,0,66,1003,2528,386,537,574,356,155,409,119,6061,0,0,0,4,0,0,0,13,0,14
POA2007,6,13,0,9,4,3,0,4,0,41,0,6,0,0,0,0,0,0,0,13,91,272,30,105,99,56,8,57,13,729,0,0,0,0,0,0,0,0,0,0,11,12,11,17,7,3,0,10,3,81,15,21,12,50,19,16,4,12,0,143,11,4,7,24,13,5,0,13,0,85,0,0,0,0,6,0,0,4,0,15,0,3,0,4,5,0,0,4,0,18,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,3,15,192,579,75,240,199,104,19,118,37,1561,0,5,0,0,0,0,0,0,0,5,10,100,0,0,0,0,0,0,0,119,115,374,21,38,75,41,15,18,10,725,0,0,0,0,0,0,0,0,0,10,9,32,0,9,3,5,4,4,3,66,0,16,0,0,0,0,0,0,0,18,188,605,105,160,160,94,47,120,24,1504,0,0,3,0,0,0,0,0,0,0
POA2008,7,32,4,3,9,0,0,0,0,58,8,25,0,0,0,0,0,0,0,30,148,572,49,115,173,76,5,27,18,1184,0,0,0,0,0,0,0,0,0,3,10,19,11,9,3,4,0,7,0,68,16,19,5,33,24,14,3,18,3,138,8,16,17,27,23,11,0,8,0,110,0,0,3,3,3,0,0,0,0,14,4,3,0,0,4,6,0,0,0,15,0,6,0,3,3,0,0,0,0,9,0,6,0,0,0,4,0,0,12,29,314,1109,102,221,309,137,11,64,41,2318,0,14,0,0,0,0,0,0,0,20,14,168,0,3,3,0,0,0,0,189,195,668,36,36,101,44,8,11,14,1109,5,13,0,3,0,0,0,0,0,23,19,66,4,3,14,4,0,4,0,114,6,31,0,0,5,0,0,0,0,51,344,1215,120,189,256,140,39,59,27,2380,0,0,0,0,5,0,0,0,0,8
POA2009,18,55,0,8,7,0,0,3,5,94,4,10,0,0,3,0,0,3,0,23,270,574,52,132,178,71,6,51,17,1356,0,5,0,0,0,0,0,0,0,4,31,25,9,24,31,12,0,0,7,137,58,29,19,32,41,20,0,7,7,211,34,21,13,46,43,20,7,13,5,192,8,0,0,0,6,3,0,5,0,27,5,4,8,12,9,9,0,4,0,47,6,12,3,7,5,3,0,4,3,34,7,10,0,6,10,6,0,5,14,54,618,1116,110,295,420,173,9,97,59,2905,9,8,0,0,0,0,0,0,0,12,35,132,0,0,6,3,0,0,0,175,345,665,27,41,129,49,12,17,16,1305,9,20,0,0,3,3,0,0,0,33,41,104,7,8,12,0,0,0,5,174,13,17,0,0,3,0,3,3,0,39,599,1316,131,200,272,136,41,99,48,2840,0,5,0,0,0,0,0,0,0,8
POA2010,33,126,5,9,20,4,0,0,6,206,18,39,0,6,10,0,0,0,0,80,638,1723,78,165,337,182,14,65,42,3255,0,0,0,4,3,0,0,0,0,9,42,88,15,41,37,18,0,15,6,270,69,96,19,70,61,21,0,20,0,352,35,31,33,52,58,26,3,16,0,254,10,3,0,3,11,3,0,3,0,38,13,16,8,13,20,6,0,0,0,80,10,25,8,3,10,5,0,0,0,59,19,15,0,15,15,13,0,11,18,103,1184,3105,196,426,699,310,24,141,89,6175,8,32,0,0,9,0,0,0,0,51,54,414,0,4,7,3,0,0,3,491,675,1750,59,54,202,77,11,23,39,2877,15,28,4,0,3,8,0,0,0,58,75,290,9,30,33,9,0,4,6,457,45,81,0,6,16,0,0,0,0,157,1640,4057,234,322,646,386,59,161,111,7612,4,0,0,4,3,0,0,0,0,13
POA2011,39,83,3,13,19,5,0,0,0,161,9,29,0,0,12,0,0,0,3,64,454,1156,48,98,252,102,4,31,27,2171,0,3,0,0,0,0,0,0,0,5,37,42,7,23,53,15,0,14,4,202,70,70,18,54,62,35,6,7,9,331,44,27,31,41,56,23,0,8,5,234,6,4,0,0,4,4,0,0,0,27,19,17,3,4,19,6,0,3,0,82,12,21,0,5,13,8,0,4,0,54,6,10,3,7,10,9,0,4,6,54,951,2098,134,290,579,224,15,66,55,4409,12,19,0,0,0,0,0,0,0,32,41,227,4,0,3,5,0,0,6,288,495,1113,37,50,141,51,8,5,24,1922,11,27,0,0,3,3,0,0,0,47,69,167,8,18,29,10,0,0,3,305,22,53,0,6,21,9,0,0,3,108,1036,2495,142,190,447,199,35,82,64,4693,4,3,0,0,0,0,0,0,0,9
POA2015,22,70,0,5,10,0,0,0,0,117,5,23,0,0,7,0,0,0,0,33,348,884,44,73,184,77,13,20,18,1666,4,0,0,0,3,0,0,0,0,5,29,45,11,14,24,15,0,7,0,140,56,40,12,41,59,26,3,4,0,242,33,20,21,33,53,25,9,7,0,202,3,6,0,8,5,11,0,0,0,30,9,7,4,7,12,4,0,0,0,43,0,3,0,4,3,0,0,5,0,19,8,9,0,11,9,3,0,0,11,48,711,1579,108,204,423,175,27,43,41,3308,3,18,0,0,0,0,0,0,0,21,27,174,0,0,4,0,0,0,0,199,289,730,38,25,98,30,0,5,21,1228,9,13,0,4,0,0,0,0,4,27,45,123,3,13,19,7,0,0,3,206,17,50,0,0,12,0,0,0,0,77,717,1759,122,131,297,165,44,45,33,3314,4,0,0,0,3,0,0,0,0,9
POA2016,19,54,0,5,3,0,0,0,0,88,8,25,0,0,4,0,0,0,0,32,258,836,41,84,191,58,5,28,23,1529,3,0,0,0,0,0,0,0,0,3,15,38,4,8,23,8,0,4,0,113,28,31,11,34,27,17,0,8,0,158,21,21,24,33,27,7,0,14,5,146,0,3,4,6,4,0,0,4,0,26,7,5,3,9,9,3,3,0,0,31,0,4,4,0,4,0,0,0,0,21,6,9,0,7,6,6,4,3,10,50,500,1445,110,205,367,133,19,65,53,2889,0,10,0,0,0,0,0,0,0,18,21,169,0,3,4,0,0,0,6,208,262,711,24,31,106,37,5,12,22,1213,14,13,0,3,3,0,0,0,0,43,34,128,5,7,6,3,6,3,0,191,15,33,3,5,6,0,0,0,0,64,537,1739,118,149,312,124,31,68,48,3127,3,0,0,0,0,0,0,0,0,3
POA2017,36,88,0,18,13,3,0,0,0,160,17,44,3,5,4,5,0,0,0,66,566,1628,107,230,431,196,25,76,28,3281,0,0,0,0,0,0,0,0,0,6,43,59,20,18,37,30,0,14,3,221,75,106,27,100,92,51,8,25,11,500,66,59,46,71,97,42,5,18,4,400,9,5,3,14,17,4,0,7,0,55,13,15,6,11,15,12,4,10,0,86,8,31,0,12,11,5,0,8,0,72,10,19,6,11,16,5,3,9,18,92,1118,3124,264,529,940,429,42,180,84,6704,8,30,0,0,0,6,0,0,0,39,30,321,4,3,3,0,0,0,3,364,545,1817,93,62,322,150,26,29,37,3082,24,32,9,4,9,3,0,0,0,74,64,171,5,26,33,8,3,8,0,320,28,68,9,5,9,6,0,0,0,125,1253,3427,326,344,713,383,115,204,73,6839,0,0,0,0,0,0,0,0,0,11
POA2018,17,69,0,14,17,0,3,0,0,121,11,25,0,3,7,0,0,0,0,41,315,870,51,144,284,108,21,43,16,1863,0,0,0,0,0,0,0,0,0,6,28,54,18,33,56,20,3,4,0,223,45,58,13,78,82,46,3,14,3,357,47,33,43,101,73,31,6,20,3,353,10,8,0,7,23,6,0,6,0,56,13,13,8,14,45,16,0,3,0,106,7,5,0,8,20,0,0,0,0,48,6,21,4,5,4,3,0,4,18,68,652,1639,166,451,719,266,45,100,62,4099,4,18,0,3,0,0,0,0,0,26,25,197,8,6,7,0,0,5,0,246,287,779,55,51,165,59,23,17,27,1463,10,9,0,0,0,3,0,0,0,23,33,103,3,17,22,0,6,0,6,183,11,39,6,3,9,4,0,0,0,64,641,1585,155,245,446,187,89,103,36,3487,0,0,3,0,0,0,0,0,0,12
