POA_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
POA2000,3,0,7,0,0,0,17,15,0,11,0,0,0,26,34,0,70,34,28,4,172,11,0,17,6,3,0,31,58,0,114,32,94,13,308,33,6,79,20,15,0,153,67,0,174,134,40,10,434,68,9,373,462,131,48,1092,26,0,135,73,32,20,289,45,7,80,20,17,6,172,283,50,614,51,31,28,1056,52,0,79,26,27,0,192,380,43,740,60,30,25,1289,31,6,114,71,31,15,276,93,16,116,34,35,3,309,112,13,81,22,5,0,233,116,14,180,32,13,7,358,22,0,56,23,21,5,122,15,3,43,15,35,3,116,71,11,141,54,24,62,372,1543,189,3237,1182,614,253,7017,5,0,9,0,0,0,6,0,0,4,0,0,0,13,24,0,75,32,16,3,157,3,0,8,0,0,0,10,37,0,41,21,7,5,110,35,3,66,21,3,0,128,75,11,237,115,32,11,485,95,8,505,374
POA2007,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,0,24,11,15,0,65,4,0,6,0,0,0,16,7,0,31,16,16,6,71,8,0,15,5,0,0,31,19,0,59,20,14,3,120,19,8,82,57,36,11,206,25,0,43,9,13,8,98,19,5,43,5,0,0,70,45,6,82,10,7,0,154,3,0,14,3,5,0,31,106,7,154,26,11,6,302,11,3,40,12,9,6,66,21,3,26,9,12,0,63,86,4,34,0,10,0,136,27,3,39,6,4,0,86,3,0,18,7,9,0,40,3,0,11,11,7,0,34,18,0,42,8,11,14,96,441,45,774,215,175,51,1692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,17,6,0,0,24,5,0,5,0,0,0,8,11,3,12,0,4,0,29,10,0,18,3,0,0,38,25,0,57,24,17,3,116,18,0,103,68
POA2008,0,0,0,0,0,0,3,0,0,0,0,0,0,0,16,0,28,14,8,0,67,3,0,9,0,0,0,11,23,3,44,14,36,3,126,11,0,27,7,5,0,55,30,3,75,30,19,0,162,34,0,86,55,32,6,214,16,3,39,8,6,10,85,20,6,63,15,5,0,105,77,9,145,15,10,0,249,14,4,29,9,3,0,49,159,21,303,28,10,4,531,13,6,20,12,7,0,56,25,5,57,9,11,0,107,145,5,86,16,10,0,265,63,13,68,12,11,8,165,4,0,36,16,4,4,59,10,3,18,5,11,0,32,17,0,64,18,6,5,119,671,72,1195,270,206,51,2473,0,0,0,0,0,0,0,0,0,3,0,0,0,3,13,3,24,9,4,0,56,3,0,6,0,0,0,9,9,0,24,5,4,0,42,10,0,19,3,0,0,37,33,4,112,27,9,5,192,24,3,108,42
POA2009,4,0,0,0,0,0,5,0,0,3,4,0,0,8,12,0,50,8,21,0,83,8,0,10,3,3,0,26,20,0,62,27,64,4,178,12,3,35,8,10,7,80,26,5,69,19,24,4,154,19,0,74,77,49,14,229,24,4,45,24,23,12,128,36,0,63,15,5,4,122,155,19,267,29,22,12,498,19,0,41,16,20,0,94,223,33,429,57,19,17,776,10,4,52,19,9,0,91,45,11,60,30,16,0,159,69,11,51,13,7,0,146,59,9,66,11,8,0,147,17,3,41,17,29,5,105,9,0,24,15,19,0,66,28,5,64,20,16,17,137,789,116,1483,403,346,100,3243,0,0,0,0,0,0,3,0,0,3,0,0,0,7,12,3,29,9,0,0,61,5,0,0,0,0,0,12,16,0,25,7,8,4,67,24,0,32,17,3,0,72,23,6,92,32,22,3,175,23,0,112,39
POA2010,5,0,8,0,0,0,18,4,0,3,0,0,0,9,41,7,98,26,27,3,195,13,4,11,3,4,4,40,39,9,120,40,102,10,317,47,4,98,22,14,3,194,62,14,238,79,65,16,472,28,4,191,133,112,31,499,49,7,112,32,48,5,251,72,21,238,50,29,5,418,271,60,688,84,39,15,1157,27,5,95,21,22,12,176,584,94,1184,109,57,27,2046,41,3,185,42,21,17,308,120,30,202,38,63,8,466,215,27,181,26,19,3,471,234,36,331,53,33,9,698,42,18,130,31,17,0,237,26,6,67,36,78,8,224,63,3,184,49,41,27,372,1979,360,4358,876,801,196,8569,0,0,5,5,0,0,8,3,0,4,0,0,0,3,21,5,79,15,9,4,127,6,3,14,0,0,0,27,16,4,46,13,4,0,89,21,3,71,18,4,4,121,46,7,210,57,35,10,373,36,5,174,99
POA2011,3,0,5,0,0,0,13,3,0,4,0,0,0,12,18,3,53,19,19,0,116,8,5,19,0,0,0,33,25,0,85,30,76,3,225,24,0,52,12,15,0,109,34,11,99,32,43,7,227,30,8,112,70,78,12,309,24,8,76,24,33,9,163,52,9,131,37,8,10,237,166,33,388,59,26,12,685,25,0,62,30,30,9,164,361,55,669,64,45,18,1204,24,3,86,23,29,7,176,90,23,184,69,125,7,499,128,21,92,23,17,3,282,127,16,175,31,31,11,389,24,10,80,17,24,4,154,15,6,48,19,48,4,136,39,3,104,25,24,28,226,1232,212,2524,592,662,139,5353,0,0,5,0,3,0,6,0,0,0,0,0,0,0,15,0,49,13,11,0,89,0,0,9,4,0,0,12,17,0,36,10,6,5,83,12,5,34,14,6,5,80,25,0,146,45,30,8,257,14,4,71,63
POA2015,0,0,3,0,0,0,7,0,0,5,0,0,0,7,12,0,57,14,30,5,123,8,0,15,0,6,0,24,25,6,78,25,96,0,228,11,4,42,9,19,9,92,15,7,87,25,35,0,175,12,0,53,47,30,6,150,16,10,64,17,26,4,139,16,11,107,28,11,8,178,90,14,258,29,22,9,427,12,3,25,12,12,0,72,191,31,384,50,29,11,703,6,5,41,15,9,0,81,57,15,102,40,45,0,256,115,19,80,12,3,7,234,75,7,92,21,16,4,211,14,3,39,20,19,5,96,4,3,37,7,35,4,92,20,7,58,11,14,9,126,701,148,1643,386,459,72,3413,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,0,42,14,5,0,74,3,0,8,0,0,0,17,17,0,30,13,5,4,64,17,0,36,9,6,0,66,34,3,120,35,25,8,231,9,0,48,33
POA2016,0,0,7,0,0,0,4,0,0,6,0,0,0,8,18,3,40,22,24,3,111,7,0,11,0,0,0,25,22,4,78,27,70,3,204,12,5,35,5,8,3,63,18,3,69,40,29,3,174,11,3,60,56,44,7,182,17,5,49,29,30,5,133,30,13,82,16,11,0,158,82,24,189,24,25,8,345,16,4,39,12,8,0,75,194,28,455,49,16,11,750,17,0,35,15,14,7,92,58,7,84,27,26,8,214,118,22,95,23,10,4,270,92,21,129,27,14,5,294,23,0,45,11,7,0,95,14,0,31,9,25,4,82,18,3,59,20,21,15,133,758,163,1599,407,392,88,3401,0,0,7,0,0,0,5,0,0,3,0,0,0,3,15,0,29,7,10,3,59,3,0,4,0,0,0,11,10,0,28,0,7,0,45,3,0,27,4,0,0,46,17,3,86,32,21,6,165,13,5,67,33
POA2017,3,0,4,0,0,0,7,11,0,14,0,0,0,22,37,3,108,32,34,10,231,11,0,33,0,7,4,55,73,16,258,79,333,22,768,44,4,104,17,21,3,197,72,6,200,78,62,9,430,37,5,176,118,92,18,458,54,11,145,66,76,15,369,78,19,194,37,31,10,356,253,34,472,86,46,10,907,45,6,81,24,22,5,180,503,61,841,91,52,26,1575,35,4,144,31,36,9,259,68,27,140,57,102,0,394,215,27,152,25,20,5,445,128,19,203,36,31,10,425,21,3,87,17,27,3,159,16,8,51,29,79,4,186,63,3,162,44,60,44,381,1772,252,3559,869,1141,199,7792,0,0,4,0,0,0,12,0,0,5,0,0,0,10,24,3,81,10,10,0,127,13,0,18,5,3,0,35,46,0,79,26,15,0,182,43,4,98,26,10,0,184,108,15,250,77,62,14,524,51,7,190,92
POA2018,0,0,7,4,0,0,5,3,0,6,0,0,0,8,39,3,62,21,48,0,175,11,0,20,5,7,0,43,35,7,116,50,322,18,547,15,0,42,13,27,6,107,56,6,106,60,65,13,296,19,0,80,67,52,13,220,48,8,107,58,74,14,311,21,0,81,24,16,3,147,89,22,160,30,19,3,323,23,0,42,18,27,3,109,189,19,326,44,24,4,607,15,0,57,26,21,4,125,44,12,83,40,66,6,263,144,10,87,12,11,0,267,78,8,114,27,21,6,261,11,0,38,13,15,7,90,7,0,23,15,67,10,113,32,3,71,28,44,27,201,873,96,1626,547,925,140,4211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,38,17,5,0,87,3,0,9,0,3,0,18,27,6,57,27,15,3,138,24,7,48,20,17,0,118,47,4,159,65,42,4,325,19,3,82,40
