POA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
POA2000,37,222,61,16,10,587,248,42,427,112,58,12,902,36,5,108,49,35,5,233,39,10,88,39,55,6,243,141,17,249,125,53,117,693,2954,377,6061,2226,998,436,13053
POA2007,11,93,19,16,4,317,62,13,128,33,27,10,267,16,3,40,12,13,0,80,10,0,25,20,17,3,69,34,3,77,20,14,17,165,843,93,1504,438,288,84,3248
POA2008,23,205,23,18,5,546,143,28,231,31,26,8,470,18,3,68,19,9,3,126,10,0,41,12,12,0,87,48,0,122,32,14,13,239,1316,185,2380,481,341,91,4788
POA2009,32,140,28,15,7,370,152,28,208,40,47,10,482,34,6,88,44,48,11,218,24,3,57,26,39,3,154,56,5,120,33,23,28,268,1498,254,2840,761,619,187,6148
POA2010,76,356,63,45,17,964,477,89,703,132,80,29,1505,72,23,221,57,31,5,406,59,14,119,66,104,13,374,118,10,333,78,62,51,647,3422,672,7612,1507,1174,357,14745
POA2011,57,210,48,34,3,623,281,58,394,103,70,26,935,69,15,157,35,36,4,316,34,10,91,45,74,3,257,84,13,206,48,31,35,409,2236,455,4693,1124,1008,244,9768
POA2015,54,207,33,21,8,572,236,48,321,59,54,11,723,26,4,69,36,23,0,169,14,3,73,28,50,3,179,42,11,126,32,22,28,254,1454,319,3314,769,731,144,6724
POA2016,50,224,45,30,5,584,208,46,367,64,45,25,752,36,9,102,20,19,4,183,25,5,64,22,39,9,150,42,14,122,33,31,30,263,1437,295,3127,677,601,160,6293
POA2017,59,384,47,58,15,998,367,81,663,125,104,27,1366,44,8,158,41,39,6,293,39,8,140,80,126,13,412,146,10,295,82,86,81,694,3495,518,6839,1602,1682,364,14496
POA2018,43,300,55,54,8,770,226,52,431,145,131,33,1021,23,0,77,33,22,5,162,17,0,55,38,107,10,234,64,8,135,58,64,41,365,1732,269,3487,1127,1436,255,8307
POA2019,45,249,74,61,14,616,118,28,348,115,91,14,712,8,8,41,23,27,3,112,9,0,46,30,116,8,210,28,10,48,28,62,24,197,746,186,1937,945,1454,166,5425
POA2020,28,225,70,38,10,578,181,40,432,102,102,29,891,18,3,59,32,30,7,142,31,8,57,45,107,8,258,103,4,199,79,72,75,529,2052,234,4162,1565,1511,338,9871
POA2021,26,227,33,21,4,534,297,38,370,66,33,13,814,36,4,122,27,12,0,206,20,4,74,29,41,0,173,67,10,154,28,28,22,305,1852,351,4257,697,543,154,7853
POA2022,31,172,28,19,3,415,184,31,365,76,50,27,733,16,6,59,17,15,0,112,24,12,71,30,55,4,190,49,9,144,25,27,50,299,1295,232,3159,660,688,202,6236
POA2023,35,158,35,12,4,369,228,37,308,42,35,23,678,3,3,56,14,9,5,93,15,7,46,23,22,4,117,43,3,129,33,20,29,249,1053,186,2434,490,384,146,4688
POA2024,38,181,41,24,9,444,185,43,290,57,28,20,614,28,5,63,29,14,0,134,18,6,48,20,33,4,122,38,5,115,24,12,26,222,1149,231,2607,567,497,145,5191
POA2025,7,83,11,10,0,215,139,19,177,30,14,6,394,15,4,47,6,5,3,78,16,5,20,5,23,0,67,35,4,79,10,0,10,145,818,142,1764,257,195,80,3256
POA2026,101,539,106,69,23,1142,393,80,812,130,93,36,1551,61,12,202,60,28,9,380,59,15,168,67,132,13,455,180,17,512,95,71,96,977,3281,571,8795,1726,1644,497,16515
POA2027,21,85,14,6,4,222,133,23,176,29,12,18,389,15,4,31,12,5,0,60,9,0,18,14,12,6,60,48,0,75,11,17,22,178,821,141,1802,342,263,116,3486
POA2028,12,51,13,3,0,133,64,6,119,14,12,15,230,9,0,25,4,4,3,44,4,0,10,16,14,4,42,25,6,46,15,3,3,98,489,95,1241,203,150,70,2238
POA2029,32,178,45,19,5,386,143,33,257,57,44,18,544,6,4,53,18,18,7,97,14,0,41,15,39,3,116,26,8,107,42,15,26,224,786,202,2095,566,481,123,4250
