POA_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
POA2000,88,905,3488,2065,928,664,290,73,4,8507,0,0,4,6,0,0,0,0,0,15,0,0,3,4,0,0,0,0,0,13,0,14,97,35,28,13,5,0,0,193,0,0,7,5,4,0,0,0,0,10,4,8,60,31,21,11,6,0,0,131,0,16,54,43,15,13,3,0,0,148,18,99,311,91,48,29,3,6,0,611,41,304,740,257,56,21,10,0,0,1433,0,10,72,33,14,14,0,0,0,142,0,11,56,26,13,7,0,0,0,117,3,67,325,185,90,43,20,3,0,738,0,14,61,42,27,25,10,4,0,186,3,109,524,198,101,64,27,8,0,1036,0,36,186,115,30,25,3,0,0,392,0,8,62,54,35,29,7,0,0,193,8,39,155,89,55,22,16,0,0,379,5,51,251,160,62,40,31,4,0,604,4,20,50,33,14,10,4,0,0,136,3,17,56,37,19,11,0,0,0,143
POA2007,39,291,864,499,235,110,38,3,0,2087,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,16,9,0,3,0,0,0,33,0,6,4,0,0,0,0,0,0,11,0,3,11,6,3,3,0,0,0,35,3,9,16,19,5,3,0,0,0,44,18,52,61,25,12,5,0,0,0,178,24,61,130,47,17,12,0,0,0,286,0,8,19,3,7,0,0,0,0,37,0,4,22,8,5,0,0,0,0,50,0,15,43,37,19,3,0,0,0,113,0,0,12,11,5,0,0,0,0,27,0,36,151,57,22,5,6,0,0,272,0,9,56,27,9,3,0,0,0,106,0,7,23,21,14,3,0,0,0,68,4,28,84,58,17,8,7,0,0,203,0,32,92,44,24,13,3,0,0,215,0,9,21,13,4,7,0,0,0,54,0,4,18,4,5,7,5,0,0,47
POA2008,46,515,1368,595,272,174,47,3,0,3023,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,9,13,30,18,0,0,4,0,0,70,0,0,8,3,0,0,0,0,0,9,0,9,25,7,5,3,0,0,0,48,0,0,17,13,0,3,0,0,0,40,17,102,105,25,13,5,0,0,0,270,35,101,116,33,10,4,3,0,0,298,0,3,21,12,4,0,0,0,0,43,0,17,43,13,4,6,0,0,0,82,0,28,79,44,25,3,0,0,0,179,0,10,25,9,4,3,0,0,0,43,0,113,270,84,34,19,3,0,0,522,3,10,35,21,0,7,0,0,0,79,0,21,67,22,15,16,3,0,0,137,17,68,140,54,27,19,4,0,0,329,9,69,173,48,30,23,3,0,0,349,5,16,37,10,7,3,0,0,0,81,3,20,26,9,6,3,0,0,0,68
POA2009,41,242,1228,1119,573,407,190,32,0,3827,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,3,24,23,10,14,4,0,0,78,0,0,5,4,0,3,0,0,0,12,0,0,22,25,10,7,3,0,0,74,0,3,23,30,12,11,3,0,0,83,13,26,89,44,36,19,14,0,0,237,14,50,119,58,20,10,4,0,0,281,0,6,28,26,13,17,0,0,0,89,0,5,36,32,16,9,3,0,0,106,0,15,122,176,79,36,6,0,0,428,0,4,26,31,19,9,3,0,0,90,0,43,244,176,71,47,13,0,0,601,0,4,50,38,22,10,7,0,0,132,3,8,29,44,40,17,4,0,0,136,0,10,70,65,38,39,16,3,0,244,0,9,106,101,61,67,22,3,0,381,6,18,56,30,14,19,4,0,0,140,0,7,41,23,19,10,5,0,0,102
POA2010,52,692,3778,2603,1618,1007,270,37,0,10060,0,0,5,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,22,63,33,20,12,0,0,0,154,0,6,14,6,3,0,0,0,0,29,0,10,40,23,12,6,0,0,0,99,0,17,58,32,18,5,4,0,0,138,16,93,212,88,39,29,15,0,0,486,30,114,218,90,31,25,6,0,0,509,0,10,52,26,17,17,0,0,0,119,0,30,136,81,41,27,7,0,0,323,4,52,283,190,99,33,13,0,0,675,0,10,50,33,21,8,3,0,0,130,0,151,813,335,151,93,29,9,0,1574,3,17,142,71,34,19,4,0,0,289,0,22,124,86,58,46,14,0,0,356,8,55,172,127,82,65,30,4,0,535,3,77,357,181,110,102,36,6,0,870,4,20,72,43,24,21,5,0,0,197,4,17,76,32,32,17,0,0,0,188
POA2011,31,325,2178,1601,1032,719,299,65,9,6250,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,11,37,23,10,10,3,0,0,104,0,0,9,5,3,0,0,0,0,16,0,8,30,23,21,12,4,0,0,91,0,5,38,22,19,5,0,0,0,92,6,29,137,77,43,37,17,6,0,349,19,28,114,49,23,14,8,0,0,258,0,5,28,22,18,9,8,0,0,82,0,16,100,60,39,23,13,0,0,254,0,26,203,134,80,31,16,0,0,495,0,10,44,30,17,10,7,5,5,123,0,73,489,252,140,98,44,4,0,1094,0,8,65,38,26,18,6,0,0,171,7,28,131,75,65,39,13,0,0,352,0,12,83,85,72,75,28,6,0,362,0,34,211,111,97,95,44,8,0,599,0,9,62,38,23,20,16,4,0,177,0,16,49,42,17,21,9,0,0,143
POA2015,34,246,1607,1129,668,339,83,5,0,4107,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,3,25,29,19,10,0,0,0,83,0,0,11,5,3,0,0,0,0,17,0,3,36,11,6,4,5,0,0,68,0,5,36,26,19,3,0,0,0,91,21,32,119,71,45,20,6,0,0,315,19,37,63,37,14,11,4,0,0,175,0,0,30,26,16,8,7,0,0,93,0,13,85,36,23,11,0,0,0,170,0,24,139,122,55,11,4,0,0,344,0,4,33,23,15,8,0,0,0,75,0,43,323,170,75,42,11,0,0,664,0,4,54,33,19,18,3,0,0,129,3,22,109,78,62,16,9,0,0,285,0,20,117,103,63,41,16,0,0,361,4,40,237,124,86,55,7,0,0,556,0,7,34,23,8,11,4,5,0,88,0,7,35,32,10,8,0,0,0,101
POA2016,40,339,1494,997,679,434,97,18,0,4107,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,3,26,26,9,4,4,0,0,75,0,3,3,4,0,0,0,0,0,13,0,8,27,13,4,3,0,0,0,47,0,4,23,9,5,3,0,0,0,48,8,47,80,46,34,15,0,0,0,232,15,51,83,39,10,15,0,0,0,213,0,5,14,10,14,10,3,0,0,56,0,14,89,44,28,11,3,0,0,191,0,19,87,66,26,14,8,0,0,210,0,4,24,13,11,3,4,0,0,52,0,70,326,161,65,36,9,0,0,669,4,7,45,21,11,13,7,0,0,111,5,16,74,57,38,26,4,3,0,220,4,33,115,80,53,40,17,0,0,348,6,58,196,115,56,47,17,4,0,491,10,16,45,32,11,6,4,0,0,117,0,5,30,25,16,15,0,0,0,86
POA2017,60,781,4432,2468,925,460,125,10,0,9266,0,0,6,4,0,0,0,0,0,10,0,0,7,3,0,0,0,0,0,10,0,10,86,36,4,7,0,0,0,150,0,0,22,15,4,0,0,0,0,39,0,12,140,40,7,10,0,0,0,216,0,14,109,52,18,8,0,0,0,206,25,123,320,136,50,32,6,6,0,685,31,114,234,94,28,20,4,0,0,522,0,18,87,45,18,21,0,0,0,200,0,26,152,65,10,12,0,0,0,264,3,61,430,198,50,22,4,0,0,764,0,9,94,58,17,4,3,0,0,190,0,131,795,259,66,33,14,0,0,1295,0,31,211,59,21,13,3,0,0,337,0,55,165,101,34,18,3,0,0,378,8,64,314,115,57,35,11,0,0,609,5,84,562,171,106,69,24,5,0,1032,6,20,68,39,18,5,0,0,0,166,3,30,136,64,20,14,6,0,0,259
POA2018,134,457,1928,1350,862,511,167,20,0,5431,0,0,5,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,12,35,32,21,22,3,0,0,125,0,0,9,6,3,0,0,0,0,16,0,9,84,30,24,13,0,0,0,156,0,9,50,32,33,19,4,0,0,147,40,86,156,86,68,37,13,0,0,490,40,51,93,38,27,24,3,0,0,282,0,14,50,44,43,22,6,0,0,183,0,13,55,37,20,5,0,0,0,125,0,26,174,128,60,21,0,0,0,409,3,9,37,33,9,10,0,0,0,96,0,61,293,169,51,30,8,0,0,619,0,15,55,51,39,18,6,0,0,179,0,27,85,56,52,29,4,0,0,250,11,40,196,145,96,70,12,0,0,564,11,71,271,193,169,128,43,6,0,885,6,19,35,19,10,11,0,6,0,96,7,11,51,41,19,16,0,0,0,152
