POA_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
POA2000,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,9,0,4,0,6,0,3,0,0,0,0,0,7,0,14,0,26,0,3,0,5,0,3,0,9,4,7,0,31,0,5,4,0,0,12,0,19,8,8,0,60,3,11,0,3,7,12,0,13,3,12,0,69,4,3,0,11,0,12,0,4,7,13,0,58,0,7,3,5,3,8,0,7,0,10,0,52,10,17,10,15,4,26,8,4,6,16,0,112,16,5,0,14,3,9,5,0,4,3,0,61,17,7,0,12,5,20,0,4,0,8,0,74,21,6,0,10,8,11,0,0,0,0,0,54,121,13,0,62,30,83,3,15
POA2007,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,5,0,8,0,5,0,21,0,0,0,0,0,9,0,8,0,0,0,18,0,4,0,0,0,4,3,0,0,0,0,10,0,3,0,0,0,5,0,0,3,0,0,19,0,3,0,9,4,14,9,3,0,0,0,37,12,0,0,11,4,3,0,0,0,7,0,33,8,0,0,13,0,6,0,6,0,3,0,35,6,0,0,3,0,0,0,0,0,0,0,14,36,6,0,20,6,9,0,4
POA2008,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,5,0,3,0,8,0,0,0,0,0,8,0,0,0,3,0,15,0,0,0,0,0,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,10,0,4,0,6,0,7,0,6,0,6,0,31,4,0,0,8,0,4,0,0,0,0,0,18,4,4,0,8,0,0,0,0,0,0,0,25,5,4,0,6,0,3,0,0,0,0,0,19,54,7,0,24,7,19,4,3
POA2009,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,3,0,10,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,4,0,6,4,11,0,29,0,7,5,6,0,13,0,5,0,10,0,36,0,0,0,3,0,13,6,11,5,4,0,35,3,0,0,7,0,6,0,4,0,11,0,32,9,4,4,8,0,26,0,7,0,11,0,67,10,0,0,11,5,3,3,6,5,4,0,45,15,8,0,24,8,15,0,3,0,0,0,81,26,3,0,20,5,0,5,4,0,6,0,71,164,16,3,82,35,82,7,14
POA2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,12,0,0,0,0,0,0,0,3,0,6,0,11,0,0,0,0,0,5,0,4,3,8,0,23,0,5,0,0,0,4,0,7,0,11,0,25,0,7,0,4,0,3,0,3,0,0,0,19,0,0,0,4,0,9,0,0,0,3,0,24,7,8,4,8,7,14,0,11,5,9,0,62,6,8,4,13,4,0,0,6,0,3,0,41,16,3,0,18,5,11,3,4,0,3,0,72,8,0,0,14,3,6,0,0,0,0,0,41,230,23,0,121,73,69,6,15
POA2011,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,5,0,4,0,8,0,0,0,0,0,4,0,0,0,0,0,8,0,4,0,0,0,4,0,6,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,3,0,0,0,11,5,4,4,6,5,16,0,5,0,3,0,40,0,4,0,3,8,5,0,0,0,7,0,28,3,0,0,15,0,10,0,0,0,0,0,29,4,0,0,9,3,0,0,3,0,0,0,19,100,4,3,74,29,52,0,13
POA2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,5,0,0,0,8,0,4,0,3,0,4,0,0,0,4,0,21,0,0,0,6,0,5,0,0,0,0,0,17,4,6,0,5,0,5,0,6,0,0,0,31,7,8,4,16,10,14,0,0,5,6,0,67,13,6,0,19,4,4,5,0,0,0,0,46,23,7,0,32,11,14,7,6,0,0,0,92,20,4,0,19,3,8,0,0,0,0,0,59,200,11,6,136,59,45,4,8
POA2016,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,6,0,5,0,5,4,3,0,18,0,0,0,0,0,5,0,0,0,3,0,15,0,0,0,0,0,9,0,0,0,0,0,13,0,4,0,6,0,5,0,0,4,0,0,22,3,0,0,10,0,9,0,3,3,11,0,44,5,4,0,14,4,7,0,0,0,0,0,40,11,8,0,23,6,14,0,0,0,0,0,63,14,0,0,18,5,3,3,0,0,0,0,42,126,16,5,102,34,45,6,9
POA2017,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,8,0,11,0,0,0,0,0,0,0,5,0,5,0,11,0,3,0,0,0,5,0,4,3,13,0,27,0,0,0,0,0,10,0,8,0,7,0,31,0,3,0,0,0,9,5,12,5,22,0,60,6,11,5,5,0,17,0,14,6,25,0,85,0,3,0,13,3,15,6,10,4,14,0,68,3,9,0,15,5,23,3,9,0,16,0,74,8,10,8,19,15,50,4,6,12,13,0,145,26,8,3,31,11,21,8,8,0,3,0,113,30,8,6,34,17,24,7,3,4,10,0,134,25,3,0,32,23,5,8,3,0,3,0,106,177,11,13,115,59,84,10,10
POA2018,0,0,0,0,0,0,0,0,0,12,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,0,11,0,0,0,0,0,0,0,0,5,12,0,22,0,0,0,0,0,4,0,7,6,19,0,34,0,3,0,0,0,5,0,9,0,31,3,57,0,8,0,4,3,24,3,19,4,29,0,84,0,16,0,24,5,31,4,7,9,35,0,116,0,11,0,12,0,27,3,13,7,17,0,93,8,8,0,17,0,25,3,15,0,16,0,99,34,13,12,67,14,73,9,17,6,25,0,270,47,13,5,59,20,28,5,13,11,20,4,223,56,12,0,58,20,36,13,11,3,6,0,210,57,4,0,39,22,18,5,0,0,5,0,146,241,23,9,136,58,72,19,12
