POA_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
POA2000,0,0,0,0,0,7,3,3,42,0,49,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,3,15,0,19,0,0,0,4,0,0,0,4,7,0,9,0,4,0,4,0,0,0,4,8,0,14,0,6,0,10,0,0,0,10,9,0,14,0,7,9,12,0,0,0,12,13,0,23,0,4,4,10,0,7,7,18,21,0,32,6,4,0,13,0,3,7,19,16,0,33,10,9,3,22,0,0,0,22,18,0,34,3,7,5,20,0,0,0,20,15,0,38,9,3,0,13,0,0,0,16,10,0,23,17,4,5,30,0,0,0,32,22,0,56,9,3,3,16,0,0,0,13,6,0,26,7,3,0,11,0,0,0,11,5,0,16,0,0,0,4,0,0,0,4,0,0,6,43,8,0,51,0,0,0,51,7,0,64,5,3,0,6,0,0,0,6,3,0,15,0,0
POA2007,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,5,0,0,4,0,3,0,3,0,0,0,3,10,0,13,0,5,0,4,0,0,0,8,3,0,6,0,3,0,3,0,0,0,3,8,0,15,3,4,0,9,0,3,3,8,3,0,14,3,0,0,6,0,0,0,6,7,0,16,3,0,0,3,0,0,0,7,3,0,12,0,0,0,7,0,0,0,7,3,0,9,3,0,0,3,0,0,0,6,0,0,9,5,0,0,3,0,0,0,3,0,0,4,4,0,0,4,0,0,0,4,6,0,3,5,0,0,5,0,0,0,5,0,0,5,5,0,0,7,0,0,0,7,0,0,3,0,5,0,10,0,0,0,6,5,0,16,0,0
POA2008,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,5,0,5,0,3,0,4,0,0,0,4,6,0,7,0,0,0,0,0,0,0,0,3,0,3,0,3,0,5,0,0,0,5,3,0,9,6,0,0,4,0,0,4,9,0,0,10,3,3,0,7,0,0,0,7,0,0,6,0,0,0,6,0,0,0,6,5,0,3,4,0,0,10,0,0,0,10,3,0,16,9,0,0,10,0,0,0,10,3,0,18,4,0,0,4,0,0,0,4,0,0,6,5,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,3,6,0,3,8,0,0,0,8,0,0,14,0,0,0,3,0,0,0,3,3,0,9,0,0
POA2009,0,0,0,0,0,0,0,3,18,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,7,5,0,9,0,3,0,5,0,0,0,4,21,0,28,3,6,0,9,0,0,0,11,12,0,22,9,6,0,13,4,0,4,13,16,0,30,9,7,5,18,0,0,0,18,17,0,37,3,11,5,20,0,0,4,19,14,0,31,14,9,5,26,0,0,0,26,5,0,34,4,0,0,7,0,0,0,7,11,0,14,12,11,8,28,0,0,0,28,15,0,39,7,3,0,8,0,0,0,11,6,0,14,10,0,0,11,0,0,0,11,0,0,10,0,3,0,4,0,0,0,4,3,0,5,33,10,0,37,0,0,0,41,11,0,46,6,7,0,8,0,0,0,12,8,0,21,0,0
POA2010,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,3,5,0,6,0,0,0,0,0,0,0,3,4,0,8,0,0,0,0,0,0,0,0,12,0,9,0,6,0,6,0,0,0,6,9,0,21,5,0,8,4,0,0,0,8,17,0,25,5,0,0,8,0,0,0,8,11,0,23,5,4,0,10,0,0,0,10,20,0,29,3,3,0,11,0,0,0,11,12,0,22,9,0,0,12,0,0,3,19,12,0,25,13,3,0,19,0,0,0,21,4,0,26,26,8,3,36,0,0,0,36,9,0,43,3,0,0,9,0,0,0,8,13,0,18,16,0,0,21,0,0,0,21,5,0,23,0,0,0,7,0,0,0,7,3,0,3,71,5,0,76,0,0,0,76,5,0,83,10,4,3,20,0,0,0,15,16,0,33,0,0
POA2011,0,0,0,0,0,0,0,0,10,0,16,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,9,0,0,0,3,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,14,0,14,0,5,0,3,0,0,0,5,5,0,12,0,4,5,6,0,0,0,6,12,0,14,0,5,0,8,0,5,3,6,20,0,28,0,7,0,12,0,0,0,12,25,0,32,8,8,0,18,0,0,0,21,6,0,22,8,3,0,9,0,0,0,9,7,0,16,10,3,0,14,0,0,0,9,3,0,15,20,3,0,20,0,0,0,23,10,0,30,3,0,0,3,0,0,3,8,4,0,15,0,3,0,4,0,0,0,4,0,0,5,3,0,0,4,0,0,0,4,0,0,4,28,3,3,38,0,0,0,38,7,0,42,5,0,0,13,0,0,0,13,9,0,22,0,0
POA2015,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,5,0,0,0,0,0,3,3,3,10,0,10,0,0,4,4,0,0,0,5,9,0,10,0,9,0,7,0,0,0,7,10,0,17,0,10,5,9,0,0,0,16,7,0,24,0,9,3,10,0,0,0,10,10,0,18,10,3,0,12,0,0,0,12,6,0,21,16,3,0,13,0,0,0,13,7,0,18,11,7,0,17,0,0,0,17,3,0,19,31,5,3,39,0,0,0,39,10,0,50,5,6,0,8,0,0,0,8,3,0,11,5,0,0,11,0,0,0,11,0,0,11,6,0,0,4,0,0,0,4,0,0,5,25,3,0,28,0,0,0,28,3,0,36,6,0,0,7,0,0,0,7,3,0,13,0,0
POA2016,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,11,0,8,4,0,0,4,0,0,0,4,18,0,19,0,6,0,6,0,0,0,6,11,0,12,0,0,0,7,0,0,0,7,10,0,12,0,5,0,5,0,0,0,7,17,0,28,0,4,0,8,0,0,0,8,11,0,17,3,7,0,10,0,0,0,10,8,0,22,4,4,0,11,0,0,0,11,6,0,19,3,3,0,8,0,0,0,8,6,0,16,15,3,0,18,0,0,0,18,6,0,26,3,0,0,4,0,0,0,4,9,0,8,6,0,0,12,0,0,0,12,3,0,13,4,0,0,3,0,0,0,3,0,0,3,14,0,0,19,0,0,0,19,7,0,20,14,0,3,17,0,0,0,17,13,0,28,0,0
POA2017,0,0,0,0,0,0,0,5,32,0,33,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,13,0,15,0,0,0,0,0,3,0,8,16,0,24,0,4,3,3,3,3,3,9,36,0,46,0,7,0,10,0,0,0,11,23,0,40,5,8,3,17,0,0,5,27,43,0,72,10,5,0,17,4,6,7,22,42,0,66,6,13,0,22,0,4,4,29,12,0,43,11,11,3,24,0,0,0,25,30,0,53,21,5,0,30,0,0,0,30,19,0,46,18,15,4,33,0,0,0,36,4,0,40,46,20,3,65,0,0,0,71,15,0,88,3,0,0,4,0,0,0,11,7,0,10,13,4,4,18,0,0,0,23,0,0,22,7,0,0,4,0,0,0,4,0,0,7,24,4,0,25,0,0,0,29,7,0,34,7,8,0,11,0,0,0,11,18,5,37,0,0
POA2018,0,0,0,0,0,0,0,3,16,0,19,0,0,0,0,0,0,0,0,4,0,4,0,3,0,5,0,0,0,10,5,0,9,0,0,0,0,0,0,0,3,11,0,12,0,5,4,8,0,0,0,7,19,0,25,0,5,0,10,0,4,4,9,13,0,27,4,10,5,16,0,0,0,19,20,0,43,6,18,0,24,0,0,0,24,40,0,64,19,16,0,33,0,0,0,37,27,0,62,17,13,0,37,0,0,0,37,26,0,57,22,7,3,31,0,0,0,31,15,0,54,18,9,0,31,0,0,0,30,25,0,55,46,8,9,72,0,0,0,71,32,0,96,27,4,0,27,0,0,0,27,17,0,42,20,4,0,25,0,0,3,34,3,0,31,4,0,0,4,0,0,0,4,0,0,11,33,0,0,36,0,0,0,37,6,0,44,8,3,0,17,4,0,4,16,9,0,32,0,0
POA2019,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,0,0,0,3,11,0,17,0,8,0,6,0,0,0,6,5,0,16,0,8,3,12,0,0,0,13,5,0,17,0,15,0,14,0,0,0,14,19,0,35,14,15,0,28,0,0,0,28,20,0,46,9,16,4,23,0,0,0,26,18,0,50,23,5,0,32,0,0,0,32,12,0,40,26,5,0,34,0,0,0,34,9,0,42,48,18,8,75,0,0,0,78,19,0,95,18,4,5,27,0,0,0,29,4,0,39,25,0,4,30,0,0,0,30,4,0,29,8,3,3,13,0,0,0,13,4,0,15,23,0,0,31,0,0,0,31,4,0,35,19,4,3,25,0,0,0,24,4,0,32,3,0
POA2020,0,0,0,0,0,0,6,6,22,0,24,0,0,0,4,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,3,0,3,0,7,0,0,0,0,3,0,3,5,10,0,14,0,7,0,8,0,4,4,12,14,0,29,0,9,6,17,0,0,0,17,12,0,30,4,8,0,7,4,0,5,13,30,4,51,8,13,0,24,0,0,0,24,30,0,52,19,19,3,39,3,0,3,44,18,0,60,11,10,3,21,0,0,0,22,15,0,38,19,3,0,21,0,0,0,21,4,0,30,38,9,3,52,0,0,0,54,25,0,85,11,3,0,18,0,0,0,18,13,0,35,33,5,0,33,0,0,0,33,9,0,45,13,0,0,13,0,0,0,13,0,0,10,18,4,0,20,0,0,0,20,5,0,30,8,4,4,14,0,0,0,14,9,0,26,0,0
POA2021,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,0,0,0,4,6,0,4,0,0,0,0,0,0,0,0,5,0,5,0,0,0,8,6,0,4,8,7,0,14,0,6,4,8,0,0,0,8,4,0,11,0,5,0,6,0,0,0,5,9,0,13,3,0,0,9,0,0,0,5,9,0,17,8,7,4,16,0,0,0,16,5,0,20,6,3,0,10,0,0,0,10,6,0,22,14,12,4,20,0,0,0,20,11,0,24,34,9,0,49,0,0,0,49,12,0,54,13,6,0,14,0,0,0,14,3,0,21,19,5,0,32,0,0,0,32,0,0,30,5,0,0,9,0,0,0,9,0,0,9,88,15,0,106,4,0,3,112,11,0,121,15,9,0,24,0,0,0,25,3,0,30,4,0
POA2022,0,0,0,0,0,0,0,0,11,0,15,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,9,0,6,0,6,0,3,0,0,0,4,12,0,21,0,4,0,3,0,0,0,9,10,0,11,0,3,0,7,0,0,0,7,16,0,25,4,9,5,18,0,0,0,18,14,0,33,5,3,0,6,0,0,0,6,12,0,19,8,9,0,12,0,0,0,16,13,0,23,7,5,0,11,5,0,5,15,3,0,16,35,8,0,43,0,0,0,43,11,0,53,8,6,0,15,0,0,0,15,3,0,21,13,3,0,14,0,0,0,14,0,0,19,4,3,0,3,0,0,0,3,4,0,8,63,6,3,74,0,0,0,74,3,0,76,14,4,0,15,0,0,0,20,3,0,26,3,0
POA2023,0,0,0,3,0,0,0,6,14,0,17,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,7,0,8,0,5,0,5,0,0,0,5,6,0,10,0,0,0,0,0,0,0,0,9,0,9,4,0,0,3,0,0,0,3,4,0,12,4,6,0,8,0,0,0,8,8,0,18,6,4,0,12,0,0,0,12,9,0,17,8,7,0,11,0,0,0,11,10,0,16,7,3,0,7,0,0,0,7,0,0,11,9,8,0,16,0,0,0,16,8,0,24,16,17,0,28,0,0,0,28,10,0,40,4,4,0,11,0,0,0,11,7,0,17,8,7,0,19,0,0,0,19,7,0,22,4,3,0,4,0,0,0,4,0,0,4,34,7,0,43,0,0,0,43,9,0,52,12,6,3,19,0,0,0,20,7,5,32,0,0
POA2024,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,5,0,3,0,4,0,4,0,0,0,3,3,0,5,3,0,0,3,0,0,0,3,5,0,10,0,6,0,11,0,0,0,11,12,0,17,0,6,0,6,0,0,0,6,12,0,19,5,6,3,10,0,0,0,10,6,0,18,11,8,0,16,0,0,0,16,4,0,24,11,4,0,11,0,0,0,16,4,0,22,29,3,0,36,0,0,0,37,4,0,46,5,6,3,13,0,0,0,13,8,0,17,13,6,0,17,0,0,0,17,3,0,21,6,0,0,5,0,0,0,5,0,0,5,44,9,0,52,0,0,0,51,9,0,65,12,14,0,23,0,0,0,23,9,0,28,0,0
