POA_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
POA2000,0,0,0,0,0,0,0,0,3,121,77,30,234,11,13,19,254,213,3,474
POA2007,0,0,0,0,0,0,0,0,4,33,27,7,65,4,10,8,72,72,5,149
POA2008,0,0,0,0,0,0,0,0,0,41,21,9,71,0,0,4,68,68,5,139
POA2009,0,0,0,0,0,0,4,0,6,106,83,21,209,7,7,11,223,167,3,394
POA2010,0,0,0,0,0,0,6,3,9,179,49,16,238,7,3,8,250,157,9,412
POA2011,0,0,0,0,0,0,5,0,6,94,46,11,147,3,5,12,163,152,0,314
POA2015,0,0,0,0,0,0,0,0,0,118,54,15,191,3,3,4,198,85,0,280
POA2016,0,0,0,0,0,0,3,0,9,68,41,11,125,0,5,8,132,131,0,270
POA2017,3,0,0,0,0,0,5,9,14,176,106,37,317,16,21,36,350,334,17,703
POA2018,3,3,0,0,0,3,4,0,5,237,121,26,383,9,8,22,401,295,10,710
POA2019,0,4,0,0,0,4,4,3,12,216,114,32,367,3,0,8,372,160,6,539
POA2020,0,0,0,0,0,0,3,0,4,175,92,36,299,11,10,21,323,249,10,578
POA2021,0,4,0,0,0,4,0,0,8,199,90,17,308,8,3,16,322,92,0,417
POA2022,0,3,0,0,0,3,0,7,9,154,68,15,237,9,0,11,254,129,9,395
POA2023,0,0,0,0,0,0,0,0,0,104,76,16,197,0,0,0,192,118,5,311
POA2024,0,0,0,0,0,0,0,5,5,136,68,12,214,0,0,6,214,100,7,317
POA2025,0,0,0,0,0,0,4,5,6,112,46,5,170,0,10,12,181,61,5,247
POA2026,0,4,0,0,0,4,5,0,6,290,198,44,534,17,8,30,562,255,5,816
POA2027,0,0,0,0,0,0,0,5,3,82,56,16,154,4,0,10,163,80,7,241
POA2028,0,3,0,0,0,3,0,0,3,56,28,14,96,4,0,4,103,54,0,159
POA2029,0,0,0,0,0,0,0,0,4,142,83,14,238,0,6,6,251,132,5,377
POA2030,0,0,0,0,0,0,6,0,11,138,86,19,248,9,4,12,256,165,3,424
POA2031,0,0,0,0,0,0,3,0,7,440,218,46,709,18,13,30,739,309,3,1056
POA2032,0,0,0,0,0,0,0,0,0,132,92,23,247,12,5,20,265,252,3,520
POA2033,0,4,0,0,0,4,0,0,0,118,74,12,201,3,7,13,212,127,4,338
POA2034,0,3,0,0,0,3,3,4,13,234,127,33,396,6,12,20,416,223,7,644
POA2035,0,3,0,0,0,3,6,6,19,411,233,79,721,23,17,47,764,634,13,1409
POA2036,3,0,0,0,0,0,9,10,21,456,279,85,819,23,12,32,851,572,23,1443
POA2037,0,0,0,0,0,0,9,0,9,164,103,19,287,13,3,18,307,286,6,592
POA2038,0,0,0,0,0,0,0,0,3,113,69,21,199,3,0,6,210,72,0,274
POA2039,0,0,0,0,0,0,0,0,0,130,57,8,192,3,6,5,202,72,0,280
POA2040,0,0,0,0,0,3,0,0,7,360,145,35,533,18,12,27,559,288,6,862
POA2041,0,0,0,0,0,0,0,0,0,216,77,29,317,10,3,15,336,155,8,498
POA2042,0,0,0,0,0,0,0,0,0,186,86,12,287,4,4,11,300,149,0,446
POA2043,0,0,0,0,0,0,0,0,5,107,27,9,147,3,3,6,150,57,0,212
POA2044,0,0,0,0,0,0,0,0,0,88,51,15,155,5,0,11,163,129,0,296
POA2045,0,0,0,0,0,0,0,0,3,76,22,6,106,5,0,5,112,116,0,231
POA2046,0,5,0,0,0,5,9,5,18,380,183,45,608,9,13,19,625,412,17,1046
POA2047,0,0,0,0,0,0,0,0,0,210,75,19,303,10,4,15,318,130,0,443
POA2048,0,0,0,0,0,0,0,0,0,101,29,7,136,4,0,4,141,70,0,216
POA2049,0,0,0,0,0,0,0,0,0,167,57,20,247,5,5,12,257,115,5,384
POA2050,0,0,0,0,0,0,0,0,0,78,28,10,114,5,4,11,122,53,0,178
POA2060,0,0,0,0,0,0,0,0,0,184,70,21,267,4,3,8,276,115,4,399
POA2061,0,0,0,0,0,0,3,0,4,52,28,8,84,0,3,3,86,63,4,152
POA2062,0,0,0,0,0,0,0,0,0,138,59,8,208,5,5,12,217,53,0,271
