POA_CODE_2021,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
POA2000,0,5,9,11,11,20,7,16,4,88,41,225,143,116,70,87,52,141,30,905,393,1203,580,249,218,193,178,388,94,3488,474,702,250,95,148,94,96,179,52,2065,304,298,69,43,54,50,29,62,18,928,247,234,46,15,51,25,10,15,17,664,65,145,11,9,24,13,0,18,3,290,24,32,4,0,7,5,0,0,10,73,3,0,0,0,0,0,0,0,0,4,1552,2838,1105,536,584,481,369,812,223,8507,4,5,7,25,12,28,0,13,0,92,40,218,57,239,92,128,8,77,37,896,317,1017,227,560,348,311,53,346,71,3252,310,444,96,195,176,90,21,163,44,1535,153,204,20,57,122,46,3,29,16,653,107,110,10,23,93,32,0,14,3,393,38,58,0,7,41,11,0,5,4,162,8,6,0,4,9,0,0,0,0,22,5,0,0,0,0,0,0,0,0,6,971,2064,409,1108,904,644,83,646,178,7013
POA2007,0,0,0,12,0,9,0,9,0,39,9,75,39,44,25,37,27,33,6,291,83,336,105,60,66,48,54,82,23,864,84,191,60,27,26,25,25,44,17,499,45,80,39,9,14,12,11,13,4,235,26,39,9,4,16,5,9,11,5,110,7,13,4,7,0,0,0,4,0,38,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,270,745,251,161,152,136,132,197,49,2087,0,3,6,10,4,22,4,3,0,50,15,85,10,75,49,50,0,18,5,307,82,309,44,121,103,55,15,75,14,823,74,135,15,62,49,17,6,36,10,409,25,51,7,26,27,12,0,8,7,168,10,22,4,13,14,3,4,11,0,86,4,11,3,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,611,90,309,250,163,30,152,45,1865
POA2008,0,9,4,9,0,7,5,7,0,46,33,173,45,89,49,63,18,38,9,515,187,678,139,95,87,67,41,63,19,1368,125,273,53,31,36,27,6,28,11,595,70,116,26,10,21,8,4,15,5,272,43,69,10,4,19,13,3,4,0,174,10,18,8,3,4,4,0,3,0,47,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,462,1343,287,243,214,194,80,158,39,3023,0,18,3,31,6,25,0,7,0,87,20,204,34,112,133,99,10,14,11,635,132,673,52,141,145,53,15,34,29,1270,101,164,14,28,62,30,0,22,5,438,50,83,6,12,34,9,0,3,0,192,28,44,6,5,23,11,0,3,0,126,3,14,0,0,7,0,0,0,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,1198,112,329,415,222,21,86,51,2777
POA2009,0,3,4,5,0,18,0,8,0,41,14,84,26,41,13,22,17,18,3,242,179,518,153,84,66,60,53,89,23,1228,304,461,98,62,72,53,23,32,21,1119,188,202,39,30,46,26,17,18,12,573,138,136,30,15,20,26,25,15,7,407,62,82,9,8,10,8,0,8,3,190,11,14,0,0,3,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,896,1498,353,249,237,204,130,185,70,3827,0,0,0,14,3,17,0,3,0,44,13,65,8,49,35,32,3,13,3,223,177,463,36,155,146,75,5,56,22,1145,264,348,44,79,161,42,3,26,14,976,125,141,17,39,107,36,3,11,13,495,82,115,13,32,74,26,0,17,6,358,19,46,0,10,35,8,0,4,5,125,4,6,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,682,1176,127,369,563,243,12,130,75,3379
POA2010,0,5,5,9,7,16,0,13,0,52,49,292,61,69,71,75,18,43,15,692,650,1880,291,193,268,196,70,138,80,3778,732,1142,159,127,172,109,45,74,49,2603,467,650,95,82,138,84,27,60,23,1618,265,410,63,57,91,49,23,40,18,1007,58,134,9,11,11,17,3,14,9,270,8,16,4,0,5,0,0,4,0,37,0,3,0,0,0,0,0,0,0,0,2227,4535,690,545,757,548,190,375,196,10060,0,7,3,28,9,23,0,6,0,82,46,279,28,155,122,94,7,21,10,752,510,1579,98,221,316,161,22,85,46,3042,391,736,43,83,162,72,9,47,29,1570,211,352,31,43,127,39,3,18,3,836,123,219,14,33,98,30,3,16,7,546,26,70,6,11,38,9,5,0,3,170,3,16,0,0,3,0,0,0,0,30,0,0,0,0,0,0,0,0,0,3,1314,3263,235,570,875,437,42,191,107,7034
POA2011,4,0,3,8,7,3,3,3,0,31,31,96,48,53,43,23,12,22,7,325,373,1007,193,154,173,118,52,65,38,2178,464,669,120,96,112,65,24,30,26,1601,285,422,54,52,82,58,19,39,16,1032,191,280,44,40,63,47,15,32,11,719,83,134,11,4,27,13,4,13,8,299,24,27,0,3,0,5,0,4,0,65,0,3,0,0,0,0,0,0,0,9,1451,2639,477,402,505,329,124,211,114,6250,0,6,0,16,5,7,0,0,0,32,26,107,15,47,55,38,3,9,0,316,359,977,71,128,223,121,3,32,31,1939,339,478,30,75,134,53,3,18,15,1145,202,280,19,51,119,44,0,9,13,735,99,242,16,44,106,29,0,13,10,554,45,95,6,9,62,11,0,6,3,244,7,11,0,4,4,4,0,0,0,30,0,0,0,0,4,0,0,0,0,4,1068,2204,168,372,708,303,17,95,65,4998
POA2015,0,3,6,8,5,10,0,9,0,34,17,95,34,28,23,20,5,18,5,246,256,774,181,86,118,78,44,45,21,1607,313,485,74,49,85,61,23,20,12,1129,197,237,61,32,56,38,16,15,19,668,80,109,29,17,35,14,16,19,8,339,15,30,14,0,9,5,7,5,0,83,5,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,888,1736,400,218,327,226,110,132,65,4107,0,5,5,9,3,28,0,6,0,57,19,102,14,55,61,29,0,7,3,297,259,806,47,92,180,81,15,19,18,1527,287,420,39,43,131,47,0,14,14,998,149,188,20,25,100,44,5,17,4,547,61,107,8,23,43,15,0,13,4,277,9,25,3,4,17,8,0,0,0,70,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,777,1656,132,258,539,263,26,74,50,3776
POA2016,0,6,7,8,0,5,0,13,0,40,18,91,37,42,37,42,14,42,10,339,176,770,155,79,91,73,43,79,40,1494,251,431,72,37,85,40,19,34,24,997,178,266,55,37,68,34,19,18,13,679,88,166,24,28,40,18,22,26,3,434,13,47,5,4,4,0,3,14,6,97,0,5,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,730,1776,364,237,329,220,128,226,93,4107,0,8,0,18,4,14,0,0,3,55,30,113,15,79,68,46,4,17,3,368,188,705,53,107,180,55,8,38,27,1351,189,375,36,34,84,32,3,22,9,783,89,174,15,24,50,33,0,8,8,402,50,108,9,24,44,18,9,14,0,268,14,36,5,7,18,3,0,8,0,88,3,3,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,4,557,1521,133,284,454,203,21,100,52,3325
POA2017,5,4,8,12,7,13,3,17,0,60,53,301,81,78,73,82,34,50,22,781,649,1851,635,207,341,266,140,253,97,4432,632,1006,246,93,173,121,74,69,45,2468,251,320,86,45,97,45,36,26,19,925,127,121,39,37,47,24,19,41,3,460,22,44,12,4,8,9,10,8,0,125,0,3,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1738,3649,1117,467,748,565,324,467,188,9266,0,8,6,27,4,38,3,6,4,90,60,282,40,140,144,123,18,39,14,863,601,2014,169,307,559,258,35,127,59,4131,375,681,55,118,246,94,6,33,19,1628,125,191,20,49,105,37,0,20,11,561,60,88,16,36,78,31,3,15,0,329,8,32,4,12,16,7,0,9,0,90,0,5,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1240,3290,306,690,1160,595,64,242,109,7704
POA2018,3,3,20,7,3,47,7,48,0,134,27,92,75,73,33,69,42,45,8,457,277,717,324,102,149,119,92,109,35,1928,301,430,189,59,119,68,80,79,29,1350,187,201,122,45,74,48,97,69,17,862,78,99,91,29,46,23,79,55,9,511,27,33,26,11,17,8,22,18,3,167,0,0,7,0,0,0,0,5,0,20,0,0,0,0,0,0,0,0,0,0,889,1581,857,331,447,376,410,429,102,5431,3,5,6,27,22,59,5,20,3,141,35,143,30,91,81,88,9,19,7,503,264,798,73,173,285,113,24,51,39,1816,236,444,44,124,200,74,13,34,24,1193,132,206,22,84,209,66,11,41,12,769,61,96,17,68,141,39,12,36,4,468,11,26,3,17,35,12,9,11,0,121,0,3,0,0,4,0,0,3,0,15,0,0,0,0,0,0,0,0,0,4,738,1722,206,580,966,440,72,206,88,5024
