POA_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
POA2000,3,13,14,33,23,54,9,30,3,180,78,437,204,357,166,217,56,220,66,1798,709,2222,806,813,569,501,229,730,167,6747,782,1142,341,288,325,179,111,341,94,3602,458,498,93,98,182,100,35,89,31,1579,355,342,48,38,146,56,13,33,28,1059,108,200,7,11,65,18,0,18,4,452,29,38,4,3,11,3,0,0,13,102,6,0,0,0,0,0,0,0,0,11,2526,4903,1517,1647,1484,1131,457,1464,402,15520
POA2007,0,10,5,26,9,32,9,11,0,91,29,154,45,118,74,94,26,47,9,599,169,644,148,185,165,102,72,162,36,1688,163,329,76,92,75,49,31,74,27,908,78,128,52,36,42,25,12,19,10,401,32,62,9,17,29,4,14,22,6,201,12,21,4,4,8,0,0,11,4,57,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,479,1354,343,470,402,302,163,345,89,3957
POA2008,0,28,10,41,6,37,5,8,0,136,53,375,76,198,178,164,28,58,19,1148,320,1352,189,234,232,124,54,98,41,2639,230,443,73,59,105,49,11,48,14,1031,115,199,27,27,51,17,8,19,3,467,72,117,21,13,39,22,3,9,0,299,17,30,7,3,13,5,0,7,5,79,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,806,2541,397,578,622,413,99,244,94,5805
POA2009,0,3,6,16,9,37,0,11,6,83,33,151,32,88,47,55,18,25,10,463,353,983,187,244,215,134,58,149,48,2370,566,804,143,141,233,97,23,53,41,2095,309,346,53,69,154,59,20,36,30,1068,220,246,41,47,89,49,25,31,11,764,78,124,13,16,43,21,0,10,6,313,12,22,0,0,8,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,1572,2679,481,617,802,446,145,319,143,7204
POA2010,0,15,9,34,14,39,3,19,0,139,95,572,96,219,189,161,20,61,29,1442,1155,3461,390,410,586,362,94,218,128,6815,1121,1873,201,207,334,184,48,122,77,4174,679,1004,131,124,264,122,31,74,30,2454,392,631,80,87,184,83,28,55,24,1557,84,209,21,21,50,26,4,17,11,445,10,40,4,0,9,0,0,4,0,63,0,3,0,0,0,0,0,0,0,4,3538,7801,928,1116,1630,985,231,569,306,17102
POA2011,10,7,3,25,5,11,3,3,0,58,57,203,67,101,94,56,14,35,5,636,727,1979,270,276,401,234,56,102,70,4111,796,1146,153,165,246,120,28,47,35,2742,486,703,79,101,206,101,23,50,31,1762,290,525,59,86,164,73,18,49,16,1276,126,228,22,14,89,29,7,23,8,549,26,40,0,4,8,5,0,4,0,93,0,3,0,0,5,0,0,0,0,11,2522,4845,639,777,1217,631,143,308,174,11250
POA2015,0,3,10,19,7,33,0,18,0,91,33,198,47,84,84,52,6,26,10,537,515,1577,232,186,301,154,61,65,39,3136,599,909,113,88,218,110,23,38,36,2123,347,428,80,53,156,84,16,26,19,1220,141,214,35,41,83,34,18,31,14,614,23,60,16,4,26,11,9,8,0,152,3,6,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1665,3398,529,476,863,485,139,209,114,7880
POA2016,0,11,7,28,8,28,0,13,3,91,44,201,56,119,109,89,19,57,11,704,359,1471,214,185,271,128,44,114,63,2847,441,808,110,73,170,68,28,57,30,1782,260,434,66,61,117,66,22,23,23,1082,142,278,29,56,87,36,29,42,10,706,33,80,10,7,24,3,4,25,6,183,6,10,0,0,4,0,0,0,0,27,0,0,0,0,4,0,0,0,0,3,1283,3301,493,525,785,425,146,330,142,7428
POA2017,5,16,10,31,9,53,5,22,3,151,119,584,121,223,219,209,52,88,37,1651,1252,3866,805,517,898,523,173,378,153,8565,1008,1689,303,207,418,219,79,105,62,4093,376,512,108,97,204,85,41,52,24,1488,183,207,52,67,121,56,32,58,5,786,32,74,17,14,29,17,10,13,3,220,6,8,0,0,3,3,0,0,4,19,0,0,0,0,0,0,0,0,0,4,2977,6946,1418,1163,1905,1163,394,711,295,16966
POA2018,4,9,27,33,20,107,10,65,4,276,67,233,103,167,111,157,44,62,19,962,538,1511,397,278,437,227,117,163,71,3743,529,877,235,180,319,144,94,113,50,2542,316,413,153,128,278,104,106,113,26,1632,138,196,114,98,182,58,82,94,17,975,31,63,32,22,48,23,28,26,4,285,3,3,7,0,6,0,0,3,0,31,3,0,0,0,0,0,0,0,0,7,1627,3301,1060,914,1414,823,482,636,191,10450
POA2019,4,7,38,48,18,83,15,50,0,262,30,86,89,120,64,67,36,48,10,550,258,550,251,195,237,123,89,91,40,1824,441,584,203,128,275,108,63,75,38,1923,343,372,169,103,289,104,85,83,25,1563,150,173,105,90,191,53,79,71,12,927,24,45,19,23,43,14,16,21,5,212,0,3,0,0,0,6,0,4,0,20,0,0,0,0,0,0,0,0,0,0,1251,1816,871,711,1117,563,384,433,130,7271
POA2020,7,11,21,51,12,80,5,41,0,233,81,348,204,316,198,214,76,155,31,1638,611,1862,684,482,600,352,267,449,155,5452,437,804,258,165,380,168,106,147,58,2528,248,325,126,121,281,103,78,86,14,1385,125,144,102,70,178,43,87,87,12,843,29,34,27,19,31,9,16,24,3,194,4,0,4,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1536,3538,1420,1231,1672,976,635,994,279,12287
POA2021,0,18,10,40,12,35,3,28,0,141,47,291,44,108,120,74,8,19,9,711,508,1573,156,114,219,189,21,38,39,2857,582,934,72,71,178,112,13,33,37,2031,503,714,58,73,160,87,18,13,20,1652,318,488,39,40,122,53,20,25,14,1106,109,231,10,15,59,23,4,9,12,469,21,35,5,0,8,6,0,0,0,76,3,0,0,0,0,0,0,0,0,3,2082,4284,388,464,885,577,75,159,145,9055
