postcode,ato_income_year,ato_table8_state,ato_table8_individual_count,ato_official_median_taxable_income,ato_official_average_taxable_income,ato_table8_available
0800,2021-22,NT,5430,62290,73761,True
0801,2021-22,NT,408,67876,91487,True
0804,2021-22,NT,,,,False
0810,2021-22,NT,22405,64580,75210,True
0811,2021-22,NT,,,,False
0812,2021-22,NT,11116,62488,69663,True
0814,2021-22,NT,,,,False
0820,2021-22,NT,13865,69758,86116,True
0821,2021-22,NT,271,65773,84279,True
0822,2021-22,NT,7214,39596,52855,True
0828,2021-22,NT,1052,66476,85915,True
0829,2021-22,NT,517,71029,71286,True
0830,2021-22,NT,11440,64405,71173,True
0831,2021-22,NT,414,82903,89778,True
0832,2021-22,NT,12245,70906,76316,True
0834,2021-22,NT,827,70072,78977,True
0835,2021-22,NT,2770,67836,77902,True
0836,2021-22,NT,5252,68618,78068,True
0837,2021-22,NT,443,55870,68391,True
0838,2021-22,NT,577,64427,73350,True
0839,2021-22,NT,571,67551,74980,True
0840,2021-22,NT,208,42269,52820,True
0841,2021-22,NT,386,61126,70930,True
0845,2021-22,NT,310,48539,61148,True
0846,2021-22,NT,204,49887,67316,True
0850,2021-22,NT,4354,62260,68647,True
0851,2021-22,NT,673,67268,79831,True
0852,2021-22,NT,2152,37742,46612,True
0853,2021-22,NT,496,80505,78356,True
0854,2021-22,NT,450,38968,52316,True
0860,2021-22,NT,1356,62548,66374,True
0861,2021-22,NT,,,,False
0862,2021-22,NT,282,48546,49861,True
0870,2021-22,NT,13612,65697,73542,True
0871,2021-22,NT,772,66687,75670,True
0872,2021-22,NT,3837,36654,46784,True
0873,2021-22,NT,773,61525,71059,True
0874,2021-22,NT,,,,False
0875,2021-22,NT,913,60246,68068,True
0880,2021-22,NT,1495,59134,73770,True
0881,2021-22,NT,1263,66489,78041,True
0885,2021-22,NT,590,74169,93761,True
0886,2021-22,NT,644,57735,65909,True
1235,2021-22,NSW,,,,False
2000,2021-22,NSW,22833,42927,107563,True
2001,2021-22,NSW,246,50758,139381,True
2007,2021-22,NSW,5159,41108,61333,True
2008,2021-22,NSW,6773,47408,68064,True
2009,2021-22,NSW,8920,63456,105118,True
2010,2021-22,NSW,19012,72740,114577,True
2011,2021-22,NSW,12968,74032,137254,True
2015,2021-22,NSW,8369,81946,116200,True
2016,2021-22,NSW,8532,67875,95585,True
2017,2021-22,NSW,18874,66364,80942,True
2018,2021-22,NSW,12453,59079,74031,True
2019,2021-22,NSW,8498,66778,80117,True
2020,2021-22,NSW,14886,52962,65966,True
2021,2021-22,NSW,10317,84541,176804,True
2022,2021-22,NSW,9548,66897,116534,True
2023,2021-22,NSW,7193,84477,245728,True
2024,2021-22,NSW,7339,80924,177370,True
2025,2021-22,NSW,4978,86071,215123,True
2026,2021-22,NSW,22939,75296,147052,True
2027,2021-22,NSW,5703,87915,269777,True
2028,2021-22,NSW,3304,88066,354308,True
2029,2021-22,NSW,6790,75958,162055,True
2030,2021-22,NSW,9590,79934,239974,True
2031,2021-22,NSW,23035,74279,120485,True
2032,2021-22,NSW,9145,50428,77494,True
