postcode,ato_income_year,ato_state,ato_sa4_name,ato_sa4_is_state_other,ato_individual_count,ato_taxable_income_reporter_count,ato_taxable_income_or_loss_total,ato_salary_recipient_count,ato_salary_or_wages_total,ato_net_tax_count,ato_net_tax_total,ato_taxable_income_or_loss_per_reporter,ato_salary_or_wages_per_recipient,ato_salary_recipient_share,ato_net_tax_payer_share,ato_min_derived_denominator,ato_small_denominator,ato_nonpositive_taxable_income_total,ato_any_feature_missing,ato_quality_issue
0800,2021-22,NT,Darwin,False,5430,5369,400520074,4914,360949013,4583,88088853,74598.63550009312,73453.1975986976,0.9049723756906077,0.8440147329650092,4914,False,False,False,False
0801,2021-22,NT,NT other,True,408,402,37326624,312,25291138,334,9644586,92852.29850746269,81061.33974358975,0.7647058823529411,0.8186274509803921,312,False,False,False,False
0804,2021-22,NT,NT other,True,81,79,7873653,64,6292514,72,1971041,99666.49367088608,98320.53125,0.7901234567901234,0.8888888888888888,64,True,False,False,False
0810,2021-22,NT,Darwin,False,22405,22221,1685071629,19685,1485710302,18474,374302719,75832.39408667477,75474.23429006858,0.8785985271144834,0.8245480919437626,19685,False,False,False,False
0811,2021-22,NT,NT other,True,157,156,14432222,116,10581005,133,3702496,92514.2435897436,91215.56034482758,0.7388535031847133,0.8471337579617835,116,False,False,False,False
0812,2021-22,NT,Darwin,False,11116,11028,774370881,9696,694137357,9057,160580527,70218.61452665941,71590.0739480198,0.8722562072688017,0.8147715005397625,9696,False,False,False,False
0814,2021-22,NT,NT other,True,80,80,7864702,59,4988399,66,2018070,98308.775,84549.13559322034,0.7375,0.825,59,True,False,False,False
0820,2021-22,NT,Darwin,False,13865,13772,1194003468,12247,981712899,11885,290285218,86697.89921580018,80159.45937780681,0.8833032816444284,0.857194374323837,12247,False,False,False,False
0821,2021-22,NT,NT other,True,271,270,22839670,192,14747145,202,5886571,84591.37037037036,76808.046875,0.7084870848708487,0.7453874538745388,192,False,False,False,False
0822,2021-22,NT,Northern Territory - Outback,False,7214,7087,381296804,6260,318101993,4845,66636206,53802.28643996049,50815.01485623003,0.86775713889659,0.6716107568616579,6260,False,False,False,False
0828,2021-22,NT,Darwin,False,1052,1047,90382878,910,68676472,891,22383764,86325.57593123209,75468.65054945055,0.8650190114068441,0.846958174904943,910,False,False,False,False
0829,2021-22,NT,Darwin,False,517,517,36854963,503,35756197,487,6876662,71286.19535783365,71085.87872763419,0.9729206963249516,0.941972920696325,503,False,False,False,False
0830,2021-22,NT,Darwin,False,11440,11340,814219769,10290,746851124,9458,170268242,71800.68509700177,72580.28415937803,0.8994755244755245,0.8267482517482517,10290,False,False,False,False
0831,2021-22,NT,NT other,True,414,411,37168146,349,31566052,362,8877187,90433.44525547445,90447.14040114613,0.8429951690821256,0.8743961352657005,349,False,False,False,False
0832,2021-22,NT,Darwin,False,12245,12163,934488638,11456,889608548,10603,201413956,76830.4396941544,77654.37744413408,0.9355655369538587,0.8659044507962433,11456,False,False,False,False
0834,2021-22,NT,Darwin,False,827,820,65314150,716,56079429,709,14683244,79651.40243902439,78323.22486033519,0.8657799274486094,0.8573155985489722,716,False,False,False,False
0835,2021-22,NT,Darwin,False,2770,2747,215789430,2323,183372650,2281,48876158,78554.5795413178,78937.86052518296,0.8386281588447654,0.8234657039711192,2323,False,False,False,False
0836,2021-22,NT,Darwin,False,5252,5204,410014795,4529,359917670,4426,91990617,78788.39258262875,79469.56723338485,0.8623381568926123,0.8427265803503428,4529,False,False,False,False
0837,2021-22,NT,Darwin,False,443,438,30297083,321,23188920,333,6478813,69171.42237442922,72239.6261682243,0.7246049661399548,0.7516930022573364,321,False,False,False,False
0838,2021-22,NT,Darwin,False,577,569,42322864,491,38246205,466,9027740,74381.13181019333,77894.51120162933,0.8509532062391681,0.8076256499133448,491,False,False,False,False
0839,2021-22,NT,Darwin,False,571,565,42813515,509,38985832,498,9094134,75776.13274336283,76592.99017681729,0.8914185639229422,0.87215411558669,509,False,False,False,False
0840,2021-22,NT,Northern Territory - Outback,False,208,199,10986589,130,8645755,135,2047907,55208.98994974874,66505.80769230769,0.625,0.6490384615384616,130,False,False,False,False
0841,2021-22,NT,Darwin,False,386,380,27379070,324,23304649,306,5949084,72050.18421052632,71927.92901234567,0.8393782383419689,0.7927461139896373,324,False,False,False,False
0845,2021-22,NT,Northern Territory - Outback,False,310,304,18955725,249,15130930,221,3845041,62354.35855263158,60766.787148594376,0.8032258064516129,0.7129032258064516,249,False,False,False,False
0846,2021-22,NT,Northern Territory - Outback,False,204,196,13732395,152,9826694,147,3035468,70063.23979591837,64649.30263157895,0.7450980392156863,0.7205882352941176,152,False,False,False,False
0847,2021-22,NT,Northern Territory - Outback,False,161,157,8131124,133,6842424,109,1376620,51790.59872611465,51446.796992481206,0.8260869565217391,0.6770186335403726,133,False,False,False,False
0850,2021-22,NT,Northern Territory - Outback,False,4354,4309,298887483,3935,266676880,3647,61488602,69363.53747969367,67770.49047013978,0.9037666513550758,0.837620578778135,3935,False,False,False,False
0851,2021-22,NT,NT other,True,673,663,53726295,556,41180729,561,12585731,81035.13574660633,74066.05935251799,0.826151560178306,0.8335809806835067,556,False,False,False,False
0852,2021-22,NT,Northern Territory - Outback,False,2152,2116,100308109,1894,85056413,1406,15853910,47404.58837429112,44908.3489968321,0.8801115241635687,0.6533457249070632,1894,False,False,False,False
0853,2021-22,NT,Northern Territory - Outback,False,496,496,38864604,481,38574419,451,7824985,78356.05645161291,80196.2972972973,0.969758064516129,0.9092741935483871,481,False,False,False,False
0854,2021-22,NT,Northern Territory - Outback,False,450,441,23542269,381,19679073,298,4084586,53383.82993197279,51651.11023622047,0.8466666666666667,0.6622222222222223,381,False,False,False,False
0860,2021-22,NT,Northern Territory - Outback,False,1356,1346,90002672,1268,85644072,1102,17290876,66866.76968796433,67542.64353312303,0.9351032448377581,0.8126843657817109,1268,False,False,False,False
0861,2021-22,NT,NT other,True,115,113,8257100,104,7584388,93,1730588,73071.6814159292,72926.80769230769,0.9043478260869565,0.808695652173913,104,False,False,False,False
0862,2021-22,NT,Northern Territory - Outback,False,282,281,14060919,253,13025605,205,2086388,50038.857651245555,51484.604743083,0.8971631205673759,0.7269503546099291,253,False,False,False,False
0870,2021-22,NT,Northern Territory - Outback,False,13612,13525,1001058932,12434,906269086,11524,215996171,74015.44783733826,72886.3668972173,0.913458712900382,0.8466059359388775,12434,False,False,False,False
0871,2021-22,NT,NT other,True,772,767,58416979,669,50082212,659,12588587,76162.94524119947,74861.30343796712,0.866580310880829,0.8536269430051814,669,False,False,False,False
0872,2021-22,NT,Northern Territory - Outback,False,3837,3776,179509499,3391,148158134,2445,27365420,47539.59189618644,43691.575936301975,0.8837633567891582,0.63721657544957,3391,False,False,False,False
0873,2021-22,NT,Northern Territory - Outback,False,773,765,54928486,700,48073922,624,11850821,71801.94248366012,68677.03142857143,0.9055627425614489,0.8072445019404916,700,False,False,False,False
0874,2021-22,NT,Northern Territory - Outback,False,194,192,15028043,188,14692594,168,3409455,78271.05729166667,78152.09574468085,0.9690721649484536,0.865979381443299,188,False,False,False,False
0875,2021-22,NT,Northern Territory - Outback,False,913,905,62146222,839,57932190,741,12696345,68669.8585635359,69049.09415971395,0.91894852135816,0.8116100766703176,839,False,False,False,False
0880,2021-22,NT,Northern Territory - Outback,False,1495,1490,110286881,1425,102820194,1203,24134534,74018.04093959731,72154.52210526315,0.9531772575250836,0.8046822742474916,1425,False,False,False,False
0881,2021-22,NT,NT other,True,1263,1257,98565595,1192,92427094,1034,21700107,78413.36117740652,77539.50838926174,0.943784639746635,0.8186856690419636,1192,False,False,False,False
0885,2021-22,NT,Northern Territory - Outback,False,590,584,55319068,563,53737715,520,13824304,94724.43150684932,95448.87211367673,0.9542372881355933,0.8813559322033898,563,False,False,False,False
0886,2021-22,NT,Northern Territory - Outback,False,644,640,42445272,619,39880948,515,8339871,66320.7375,64428.02584814216,0.9611801242236024,0.7996894409937888,619,False,False,False,False
1240,2021-22,NSW,NSW other,True,54,49,1740171,19,1274907,27,460123,35513.69387755102,67100.36842105263,0.35185185185185186,0.5,19,True,False,False,False
1355,2021-22,NSW,NSW other,True,71,68,6647202,42,3693999,53,1919838,97752.9705882353,87952.35714285714,0.5915492957746479,0.7464788732394366,42,True,False,False,False
2000,2021-22,NSW,Sydney - City and Inner South,False,22833,22278,2455997017,18410,1398755694,16163,780989331,110243.15544483346,75978.03878326996,0.8062891429071958,0.7078789471379144,18410,False,False,False,False
2001,2021-22,NSW,NSW other,True,246,229,34287642,136,19435381,163,12238449,149727.6943231441,142907.21323529413,0.5528455284552846,0.6626016260162602,136,False,False,False,False
2002,2021-22,NSW,NSW other,True,53,45,3444320,27,2631314,29,1102673,76540.44444444444,97456.07407407407,0.5094339622641509,0.5471698113207547,27,True,False,False,False
2007,2021-22,NSW,Sydney - City and Inner South,False,5159,5042,316418589,4395,273576273,3499,71065725,62756.56267354225,62247.16109215017,0.8519092847451056,0.6782322155456484,4395,False,False,False,False
2008,2021-22,NSW,Sydney - City and Inner South,False,6773,6621,460997711,5851,403223601,4807,110216353,69626.59885213713,68915.33088360964,0.8638712535065702,0.7097298095378709,5851,False,False,False,False
2009,2021-22,NSW,Sydney - City and Inner South,False,8920,8779,937653211,7133,678744348,6984,278661650,106806.38011163003,95155.52334221225,0.7996636771300448,0.7829596412556054,7133,False,False,False,False
2010,2021-22,NSW,Sydney - City and Inner South,False,19012,18788,2178339299,16184,1634373286,15820,650142889,115943.11789440068,100986.98010380623,0.8512518409425626,0.8321060382916053,16184,False,False,False,False
