postcode,consumer_count,status,postcode_range_class
0200,145,postcode_not_in_ato,heuristic_special_range
0813,157,postcode_not_in_ato,outside_heuristic_special_range
0815,156,postcode_not_in_ato,outside_heuristic_special_range
0906,178,postcode_not_in_ato,heuristic_special_range
0907,169,postcode_not_in_ato,heuristic_special_range
0909,140,postcode_not_in_ato,heuristic_special_range
1001,162,postcode_not_in_ato,heuristic_special_range
1002,160,postcode_not_in_ato,heuristic_special_range
1003,178,postcode_not_in_ato,heuristic_special_range
1004,162,postcode_not_in_ato,heuristic_special_range
1005,155,postcode_not_in_ato,heuristic_special_range
1006,168,postcode_not_in_ato,heuristic_special_range
1007,163,postcode_not_in_ato,heuristic_special_range
1008,143,postcode_not_in_ato,heuristic_special_range
1009,157,postcode_not_in_ato,heuristic_special_range
1010,174,postcode_not_in_ato,heuristic_special_range
1020,152,postcode_not_in_ato,heuristic_special_range
1021,153,postcode_not_in_ato,heuristic_special_range
1022,157,postcode_not_in_ato,heuristic_special_range
1023,154,postcode_not_in_ato,heuristic_special_range
1025,137,postcode_not_in_ato,heuristic_special_range
1026,154,postcode_not_in_ato,heuristic_special_range
1027,160,postcode_not_in_ato,heuristic_special_range
1028,169,postcode_not_in_ato,heuristic_special_range
1029,155,postcode_not_in_ato,heuristic_special_range
1030,153,postcode_not_in_ato,heuristic_special_range
1031,145,postcode_not_in_ato,heuristic_special_range
1032,154,postcode_not_in_ato,heuristic_special_range
1033,159,postcode_not_in_ato,heuristic_special_range
1034,163,postcode_not_in_ato,heuristic_special_range
1035,170,postcode_not_in_ato,heuristic_special_range
1036,168,postcode_not_in_ato,heuristic_special_range
1037,160,postcode_not_in_ato,heuristic_special_range
1038,165,postcode_not_in_ato,heuristic_special_range
1039,144,postcode_not_in_ato,heuristic_special_range
1040,132,postcode_not_in_ato,heuristic_special_range
1041,152,postcode_not_in_ato,heuristic_special_range
1042,149,postcode_not_in_ato,heuristic_special_range
1043,133,postcode_not_in_ato,heuristic_special_range
1044,168,postcode_not_in_ato,heuristic_special_range
1045,153,postcode_not_in_ato,heuristic_special_range
1046,155,postcode_not_in_ato,heuristic_special_range
1100,162,postcode_not_in_ato,heuristic_special_range
1101,138,postcode_not_in_ato,heuristic_special_range
1105,143,postcode_not_in_ato,heuristic_special_range
1106,156,postcode_not_in_ato,heuristic_special_range
1107,156,postcode_not_in_ato,heuristic_special_range
1108,172,postcode_not_in_ato,heuristic_special_range
1109,152,postcode_not_in_ato,heuristic_special_range
1110,156,postcode_not_in_ato,heuristic_special_range
1112,148,postcode_not_in_ato,heuristic_special_range
1113,147,postcode_not_in_ato,heuristic_special_range
1114,184,postcode_not_in_ato,heuristic_special_range
1115,155,postcode_not_in_ato,heuristic_special_range
1116,143,postcode_not_in_ato,heuristic_special_range
1117,151,postcode_not_in_ato,heuristic_special_range
1118,162,postcode_not_in_ato,heuristic_special_range
1119,164,postcode_not_in_ato,heuristic_special_range
1120,163,postcode_not_in_ato,heuristic_special_range
1121,185,postcode_not_in_ato,heuristic_special_range
1122,155,postcode_not_in_ato,heuristic_special_range
1123,174,postcode_not_in_ato,heuristic_special_range
1124,142,postcode_not_in_ato,heuristic_special_range
1125,146,postcode_not_in_ato,heuristic_special_range
1126,152,postcode_not_in_ato,heuristic_special_range
1127,153,postcode_not_in_ato,heuristic_special_range
1128,149,postcode_not_in_ato,heuristic_special_range
1129,164,postcode_not_in_ato,heuristic_special_range
1130,167,postcode_not_in_ato,heuristic_special_range
1131,169,postcode_not_in_ato,heuristic_special_range
1132,185,postcode_not_in_ato,heuristic_special_range
1133,163,postcode_not_in_ato,heuristic_special_range
1134,142,postcode_not_in_ato,heuristic_special_range
1135,159,postcode_not_in_ato,heuristic_special_range
1136,137,postcode_not_in_ato,heuristic_special_range
1137,157,postcode_not_in_ato,heuristic_special_range
1138,144,postcode_not_in_ato,heuristic_special_range
1139,140,postcode_not_in_ato,heuristic_special_range
1140,156,postcode_not_in_ato,heuristic_special_range
1141,147,postcode_not_in_ato,heuristic_special_range
1142,160,postcode_not_in_ato,heuristic_special_range
1143,145,postcode_not_in_ato,heuristic_special_range
1144,169,postcode_not_in_ato,heuristic_special_range
1145,157,postcode_not_in_ato,heuristic_special_range
1146,148,postcode_not_in_ato,heuristic_special_range
1147,167,postcode_not_in_ato,heuristic_special_range
1148,177,postcode_not_in_ato,heuristic_special_range
1149,165,postcode_not_in_ato,heuristic_special_range
1150,136,postcode_not_in_ato,heuristic_special_range
1151,160,postcode_not_in_ato,heuristic_special_range
1152,144,postcode_not_in_ato,heuristic_special_range
1153,161,postcode_not_in_ato,heuristic_special_range
1154,142,postcode_not_in_ato,heuristic_special_range
1155,165,postcode_not_in_ato,heuristic_special_range
1156,155,postcode_not_in_ato,heuristic_special_range
1157,186,postcode_not_in_ato,heuristic_special_range
1158,154,postcode_not_in_ato,heuristic_special_range
1159,141,postcode_not_in_ato,heuristic_special_range
1160,135,postcode_not_in_ato,heuristic_special_range
1161,137,postcode_not_in_ato,heuristic_special_range
1162,187,postcode_not_in_ato,heuristic_special_range
1163,171,postcode_not_in_ato,heuristic_special_range
1164,158,postcode_not_in_ato,heuristic_special_range
1165,153,postcode_not_in_ato,heuristic_special_range
1166,153,postcode_not_in_ato,heuristic_special_range
1167,153,postcode_not_in_ato,heuristic_special_range
1168,155,postcode_not_in_ato,heuristic_special_range
1169,150,postcode_not_in_ato,heuristic_special_range
1170,167,postcode_not_in_ato,heuristic_special_range
1171,149,postcode_not_in_ato,heuristic_special_range
1172,166,postcode_not_in_ato,heuristic_special_range
1173,160,postcode_not_in_ato,heuristic_special_range
1174,150,postcode_not_in_ato,heuristic_special_range
1175,174,postcode_not_in_ato,heuristic_special_range
1176,145,postcode_not_in_ato,heuristic_special_range
1177,168,postcode_not_in_ato,heuristic_special_range
1178,164,postcode_not_in_ato,heuristic_special_range
1179,172,postcode_not_in_ato,heuristic_special_range
1180,155,postcode_not_in_ato,heuristic_special_range
1181,178,postcode_not_in_ato,heuristic_special_range
1182,155,postcode_not_in_ato,heuristic_special_range
1183,168,postcode_not_in_ato,heuristic_special_range
1184,154,postcode_not_in_ato,heuristic_special_range
1185,141,postcode_not_in_ato,heuristic_special_range
1186,150,postcode_not_in_ato,heuristic_special_range
1187,151,postcode_not_in_ato,heuristic_special_range
1188,152,postcode_not_in_ato,heuristic_special_range
1189,150,postcode_not_in_ato,heuristic_special_range
1190,157,postcode_not_in_ato,heuristic_special_range
1191,148,postcode_not_in_ato,heuristic_special_range
1192,166,postcode_not_in_ato,heuristic_special_range
1193,165,postcode_not_in_ato,heuristic_special_range
1194,140,postcode_not_in_ato,heuristic_special_range
1195,175,postcode_not_in_ato,heuristic_special_range
1196,185,postcode_not_in_ato,heuristic_special_range
1197,142,postcode_not_in_ato,heuristic_special_range
1198,172,postcode_not_in_ato,heuristic_special_range
1199,155,postcode_not_in_ato,heuristic_special_range
1201,147,postcode_not_in_ato,heuristic_special_range
1202,152,postcode_not_in_ato,heuristic_special_range
1203,145,postcode_not_in_ato,heuristic_special_range
1205,150,postcode_not_in_ato,heuristic_special_range
1207,163,postcode_not_in_ato,heuristic_special_range
1208,156,postcode_not_in_ato,heuristic_special_range
1209,177,postcode_not_in_ato,heuristic_special_range
1210,141,postcode_not_in_ato,heuristic_special_range
1211,181,postcode_not_in_ato,heuristic_special_range
1212,162,postcode_not_in_ato,heuristic_special_range
1213,146,postcode_not_in_ato,heuristic_special_range
1214,171,postcode_not_in_ato,heuristic_special_range
1215,166,postcode_not_in_ato,heuristic_special_range
1216,162,postcode_not_in_ato,heuristic_special_range
1217,168,postcode_not_in_ato,heuristic_special_range
1218,159,postcode_not_in_ato,heuristic_special_range
1219,154,postcode_not_in_ato,heuristic_special_range
1220,133,postcode_not_in_ato,heuristic_special_range
1221,174,postcode_not_in_ato,heuristic_special_range
1222,147,postcode_not_in_ato,heuristic_special_range
1223,163,postcode_not_in_ato,heuristic_special_range
1224,166,postcode_not_in_ato,heuristic_special_range
1225,146,postcode_not_in_ato,heuristic_special_range
1226,169,postcode_not_in_ato,heuristic_special_range
1227,166,postcode_not_in_ato,heuristic_special_range
1228,155,postcode_not_in_ato,heuristic_special_range
1229,153,postcode_not_in_ato,heuristic_special_range
1230,182,postcode_not_in_ato,heuristic_special_range
1231,154,postcode_not_in_ato,heuristic_special_range
1232,151,postcode_not_in_ato,heuristic_special_range
1233,159,postcode_not_in_ato,heuristic_special_range
1234,171,postcode_not_in_ato,heuristic_special_range
1235,141,postcode_not_in_ato,heuristic_special_range
1236,169,postcode_not_in_ato,heuristic_special_range
1237,151,postcode_not_in_ato,heuristic_special_range
1238,162,postcode_not_in_ato,heuristic_special_range
1239,154,postcode_not_in_ato,heuristic_special_range
1291,172,postcode_not_in_ato,heuristic_special_range
1292,144,postcode_not_in_ato,heuristic_special_range
1293,152,postcode_not_in_ato,heuristic_special_range
1294,165,postcode_not_in_ato,heuristic_special_range
1295,153,postcode_not_in_ato,heuristic_special_range
1296,177,postcode_not_in_ato,heuristic_special_range
1297,155,postcode_not_in_ato,heuristic_special_range
1298,149,postcode_not_in_ato,heuristic_special_range
1299,161,postcode_not_in_ato,heuristic_special_range
1300,166,postcode_not_in_ato,heuristic_special_range
1314,174,postcode_not_in_ato,heuristic_special_range
1335,154,postcode_not_in_ato,heuristic_special_range
1340,155,postcode_not_in_ato,heuristic_special_range
1350,147,postcode_not_in_ato,heuristic_special_range
1360,175,postcode_not_in_ato,heuristic_special_range
1401,149,postcode_not_in_ato,heuristic_special_range
1419,156,postcode_not_in_ato,heuristic_special_range
1420,175,postcode_not_in_ato,heuristic_special_range
1422,175,postcode_not_in_ato,heuristic_special_range
1423,173,postcode_not_in_ato,heuristic_special_range
1424,165,postcode_not_in_ato,heuristic_special_range
1425,154,postcode_not_in_ato,heuristic_special_range
1426,153,postcode_not_in_ato,heuristic_special_range
1427,161,postcode_not_in_ato,heuristic_special_range
1428,143,postcode_not_in_ato,heuristic_special_range
1429,142,postcode_not_in_ato,heuristic_special_range
1430,149,postcode_not_in_ato,heuristic_special_range
1435,140,postcode_not_in_ato,heuristic_special_range
1440,150,postcode_not_in_ato,heuristic_special_range
1441,144,postcode_not_in_ato,heuristic_special_range
1445,149,postcode_not_in_ato,heuristic_special_range
1450,146,postcode_not_in_ato,heuristic_special_range
1455,168,postcode_not_in_ato,heuristic_special_range
1460,156,postcode_not_in_ato,heuristic_special_range
1465,179,postcode_not_in_ato,heuristic_special_range
1466,151,postcode_not_in_ato,heuristic_special_range
1470,168,postcode_not_in_ato,heuristic_special_range
1475,153,postcode_not_in_ato,heuristic_special_range
1476,174,postcode_not_in_ato,heuristic_special_range
1480,132,postcode_not_in_ato,heuristic_special_range
1481,168,postcode_not_in_ato,heuristic_special_range
1484,167,postcode_not_in_ato,heuristic_special_range
1485,145,postcode_not_in_ato,heuristic_special_range
1490,158,postcode_not_in_ato,heuristic_special_range
1493,148,postcode_not_in_ato,heuristic_special_range
1495,145,postcode_not_in_ato,heuristic_special_range
1499,168,postcode_not_in_ato,heuristic_special_range
1515,180,postcode_not_in_ato,heuristic_special_range
1560,145,postcode_not_in_ato,heuristic_special_range
1565,153,postcode_not_in_ato,heuristic_special_range
1570,151,postcode_not_in_ato,heuristic_special_range
1585,147,postcode_not_in_ato,heuristic_special_range
1590,182,postcode_not_in_ato,heuristic_special_range
1595,143,postcode_not_in_ato,heuristic_special_range
1597,159,postcode_not_in_ato,heuristic_special_range
1602,183,postcode_not_in_ato,heuristic_special_range
1630,150,postcode_not_in_ato,heuristic_special_range
1635,173,postcode_not_in_ato,heuristic_special_range
1639,135,postcode_not_in_ato,heuristic_special_range
1640,147,postcode_not_in_ato,heuristic_special_range
1655,156,postcode_not_in_ato,heuristic_special_range
1658,163,postcode_not_in_ato,heuristic_special_range
1660,143,postcode_not_in_ato,heuristic_special_range
1670,157,postcode_not_in_ato,heuristic_special_range
1675,170,postcode_not_in_ato,heuristic_special_range
1680,142,postcode_not_in_ato,heuristic_special_range
1685,152,postcode_not_in_ato,heuristic_special_range
1700,155,postcode_not_in_ato,heuristic_special_range
1710,171,postcode_not_in_ato,heuristic_special_range
1715,134,postcode_not_in_ato,heuristic_special_range
1730,156,postcode_not_in_ato,heuristic_special_range
1740,150,postcode_not_in_ato,heuristic_special_range
1741,152,postcode_not_in_ato,heuristic_special_range
1750,131,postcode_not_in_ato,heuristic_special_range
1755,142,postcode_not_in_ato,heuristic_special_range
1765,156,postcode_not_in_ato,heuristic_special_range
1771,147,postcode_not_in_ato,heuristic_special_range
1781,143,postcode_not_in_ato,heuristic_special_range
1790,154,postcode_not_in_ato,heuristic_special_range
1800,150,postcode_not_in_ato,heuristic_special_range
1805,158,postcode_not_in_ato,heuristic_special_range
1811,155,postcode_not_in_ato,heuristic_special_range
1819,182,postcode_not_in_ato,heuristic_special_range
1825,164,postcode_not_in_ato,heuristic_special_range
1830,164,postcode_not_in_ato,heuristic_special_range
1831,176,postcode_not_in_ato,heuristic_special_range
1835,165,postcode_not_in_ato,heuristic_special_range
1851,145,postcode_not_in_ato,heuristic_special_range
1860,148,postcode_not_in_ato,heuristic_special_range
1871,129,postcode_not_in_ato,heuristic_special_range
1875,143,postcode_not_in_ato,heuristic_special_range
1885,163,postcode_not_in_ato,heuristic_special_range
1888,175,postcode_not_in_ato,heuristic_special_range
1890,171,postcode_not_in_ato,heuristic_special_range
1891,182,postcode_not_in_ato,heuristic_special_range
2004,168,postcode_not_in_ato,outside_heuristic_special_range
2006,158,postcode_not_in_ato,outside_heuristic_special_range
2013,140,postcode_not_in_ato,outside_heuristic_special_range
2055,144,postcode_not_in_ato,outside_heuristic_special_range
2058,172,postcode_not_in_ato,outside_heuristic_special_range
2091,155,postcode_not_in_ato,outside_heuristic_special_range
2123,149,postcode_not_in_ato,outside_heuristic_special_range
2129,144,postcode_not_in_ato,outside_heuristic_special_range
2139,177,postcode_not_in_ato,outside_heuristic_special_range
2252,171,postcode_not_in_ato,outside_heuristic_special_range
2309,159,postcode_not_in_ato,outside_heuristic_special_range
2310,151,postcode_not_in_ato,outside_heuristic_special_range
2314,173,postcode_not_in_ato,outside_heuristic_special_range
2331,156,postcode_not_in_ato,outside_heuristic_special_range
2348,161,postcode_not_in_ato,outside_heuristic_special_range
2351,161,postcode_not_in_ato,outside_heuristic_special_range
2442,161,postcode_not_in_ato,outside_heuristic_special_range
2522,158,postcode_not_in_ato,outside_heuristic_special_range
2608,153,postcode_not_in_ato,outside_heuristic_special_range
2649,149,postcode_not_in_ato,outside_heuristic_special_range
2678,143,postcode_not_in_ato,outside_heuristic_special_range
2708,166,postcode_not_in_ato,outside_heuristic_special_range
2755,171,postcode_not_in_ato,outside_heuristic_special_range
2890,166,postcode_not_in_ato,outside_heuristic_special_range
2891,143,postcode_not_in_ato,outside_heuristic_special_range
2901,185,postcode_not_in_ato,outside_heuristic_special_range
3005,156,postcode_not_in_ato,outside_heuristic_special_range
3010,145,postcode_not_in_ato,outside_heuristic_special_range
3045,154,postcode_not_in_ato,outside_heuristic_special_range
3050,141,postcode_not_in_ato,outside_heuristic_special_range
3176,147,postcode_not_in_ato,outside_heuristic_special_range
3399,157,postcode_not_in_ato,outside_heuristic_special_range
3415,151,postcode_not_in_ato,outside_heuristic_special_range
3489,141,postcode_not_in_ato,outside_heuristic_special_range
3506,155,postcode_not_in_ato,outside_heuristic_special_range
3554,160,postcode_not_in_ato,outside_heuristic_special_range
3576,152,postcode_not_in_ato,outside_heuristic_special_range
3643,165,postcode_not_in_ato,outside_heuristic_special_range
3647,166,postcode_not_in_ato,outside_heuristic_special_range
3671,156,postcode_not_in_ato,outside_heuristic_special_range
3694,146,postcode_not_in_ato,outside_heuristic_special_range
3704,153,postcode_not_in_ato,outside_heuristic_special_range
3736,159,postcode_not_in_ato,outside_heuristic_special_range
3785,130,postcode_not_in_ato,outside_heuristic_special_range
3800,160,postcode_not_in_ato,outside_heuristic_special_range
3841,147,postcode_not_in_ato,outside_heuristic_special_range
3893,157,postcode_not_in_ato,outside_heuristic_special_range
3989,151,postcode_not_in_ato,outside_heuristic_special_range
4002,181,postcode_not_in_ato,outside_heuristic_special_range
4003,157,postcode_not_in_ato,outside_heuristic_special_range
4029,159,postcode_not_in_ato,outside_heuristic_special_range
4072,164,postcode_not_in_ato,outside_heuristic_special_range
4222,180,postcode_not_in_ato,outside_heuristic_special_range
4229,158,postcode_not_in_ato,outside_heuristic_special_range
4345,166,postcode_not_in_ato,outside_heuristic_special_range
4384,187,postcode_not_in_ato,outside_heuristic_special_range
4461,165,postcode_not_in_ato,outside_heuristic_special_range
