postcode,check,difference,action
0810,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
0812,family_additivity,2.0,retain counts; ABS perturbation can break additivity
0820,family_additivity,1.0,retain counts; ABS perturbation can break additivity
0822,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
0828,family_additivity,-8.0,retain counts; ABS perturbation can break additivity
0829,family_additivity,4.0,retain counts; ABS perturbation can break additivity
0830,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
0832,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
0834,family_additivity,-7.0,retain counts; ABS perturbation can break additivity
0835,family_additivity,-8.0,retain counts; ABS perturbation can break additivity
0836,family_additivity,2.0,retain counts; ABS perturbation can break additivity
0837,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
0838,family_additivity,2.0,retain counts; ABS perturbation can break additivity
0839,family_additivity,8.0,retain counts; ABS perturbation can break additivity
0840,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
0841,family_additivity,6.0,retain counts; ABS perturbation can break additivity
0845,family_additivity,4.0,retain counts; ABS perturbation can break additivity
0846,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
0847,family_additivity,2.0,retain counts; ABS perturbation can break additivity
0850,family_additivity,2.0,retain counts; ABS perturbation can break additivity
0852,family_additivity,3.0,retain counts; ABS perturbation can break additivity
0853,family_additivity,-8.0,retain counts; ABS perturbation can break additivity
0854,family_additivity,1.0,retain counts; ABS perturbation can break additivity
0860,family_additivity,5.0,retain counts; ABS perturbation can break additivity
0862,family_additivity,4.0,retain counts; ABS perturbation can break additivity
0870,family_additivity,2.0,retain counts; ABS perturbation can break additivity
0872,family_additivity,5.0,retain counts; ABS perturbation can break additivity
0873,family_additivity,3.0,retain counts; ABS perturbation can break additivity
0874,family_additivity,11.0,retain counts; ABS perturbation can break additivity
0875,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
0880,family_additivity,2.0,retain counts; ABS perturbation can break additivity
0885,family_additivity,2.0,retain counts; ABS perturbation can break additivity
0886,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
2000,family_additivity,12.0,retain counts; ABS perturbation can break additivity
2007,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2008,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
2009,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2010,family_additivity,6.0,retain counts; ABS perturbation can break additivity
2011,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
2015,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
2016,family_additivity,3.0,retain counts; ABS perturbation can break additivity
2017,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2018,family_additivity,7.0,retain counts; ABS perturbation can break additivity
2019,family_additivity,3.0,retain counts; ABS perturbation can break additivity
2020,family_additivity,1.0,retain counts; ABS perturbation can break additivity
2021,family_additivity,1.0,retain counts; ABS perturbation can break additivity
2022,family_additivity,6.0,retain counts; ABS perturbation can break additivity
2023,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
2024,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
2025,family_additivity,4.0,retain counts; ABS perturbation can break additivity
2026,family_additivity,10.0,retain counts; ABS perturbation can break additivity
2027,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
2028,family_additivity,4.0,retain counts; ABS perturbation can break additivity
2029,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2030,family_additivity,3.0,retain counts; ABS perturbation can break additivity
2031,family_additivity,-1.0,retain counts; ABS perturbation can break additivity
2032,family_additivity,-6.0,retain counts; ABS perturbation can break additivity
2033,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
2035,family_additivity,1.0,retain counts; ABS perturbation can break additivity
2036,family_additivity,-6.0,retain counts; ABS perturbation can break additivity
2037,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
2038,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
2039,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
2040,family_additivity,3.0,retain counts; ABS perturbation can break additivity
2041,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2042,family_additivity,-7.0,retain counts; ABS perturbation can break additivity
2043,family_additivity,7.0,retain counts; ABS perturbation can break additivity
2044,family_additivity,-6.0,retain counts; ABS perturbation can break additivity
2045,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
2046,family_additivity,-4.0,retain counts; ABS perturbation can break additivity
2047,family_additivity,-5.0,retain counts; ABS perturbation can break additivity
2048,family_additivity,3.0,retain counts; ABS perturbation can break additivity
2049,family_additivity,9.0,retain counts; ABS perturbation can break additivity
2050,family_additivity,-3.0,retain counts; ABS perturbation can break additivity
2060,family_additivity,5.0,retain counts; ABS perturbation can break additivity
2061,family_additivity,-8.0,retain counts; ABS perturbation can break additivity
2062,family_additivity,1.0,retain counts; ABS perturbation can break additivity
2063,family_additivity,7.0,retain counts; ABS perturbation can break additivity
2064,family_additivity,2.0,retain counts; ABS perturbation can break additivity
2066,family_additivity,-8.0,retain counts; ABS perturbation can break additivity
2067,family_additivity,-6.0,retain counts; ABS perturbation can break additivity
2068,family_additivity,-15.0,retain counts; ABS perturbation can break additivity
2069,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
2070,family_additivity,-2.0,retain counts; ABS perturbation can break additivity
