census_postcode,census_match_status,consumer_rows
0200,postcode_not_in_census,145
0800,matched,155
0801,postcode_not_in_census,147
0804,postcode_not_in_census,156
0810,matched,150
0811,postcode_not_in_census,171
0812,matched,160
0813,postcode_not_in_census,157
0814,postcode_not_in_census,137
0815,postcode_not_in_census,156
0820,matched,144
0821,postcode_not_in_census,172
0822,matched,148
0828,matched,143
0829,matched,156
0830,matched,165
0831,postcode_not_in_census,143
0832,matched,135
0834,matched,160
0835,matched,156
0836,matched,162
0837,matched,167
0838,matched,151
0839,matched,153
0840,matched,143
0841,matched,160
0845,matched,153
0846,matched,150
0847,matched,178
0850,matched,160
0851,postcode_not_in_census,139
0852,matched,163
0853,matched,184
0854,matched,160
0860,matched,159
0861,postcode_not_in_census,168
0862,matched,160
0870,matched,160
0871,postcode_not_in_census,184
0872,matched,184
0873,matched,157
0874,matched,154
0875,matched,158
0880,matched,177
0881,postcode_not_in_census,164
0885,matched,140
0886,matched,178
0906,postcode_not_in_census,178
0907,postcode_not_in_census,169
0909,postcode_not_in_census,140
1001,postcode_not_in_census,162
1002,postcode_not_in_census,160
1003,postcode_not_in_census,178
1004,postcode_not_in_census,162
1005,postcode_not_in_census,155
1006,postcode_not_in_census,168
1007,postcode_not_in_census,163
1008,postcode_not_in_census,143
1009,postcode_not_in_census,157
1010,postcode_not_in_census,174
1020,postcode_not_in_census,152
1021,postcode_not_in_census,153
1022,postcode_not_in_census,157
1023,postcode_not_in_census,154
1025,postcode_not_in_census,137
1026,postcode_not_in_census,154
1027,postcode_not_in_census,160
1028,postcode_not_in_census,169
1029,postcode_not_in_census,155
1030,postcode_not_in_census,153
1031,postcode_not_in_census,145
1032,postcode_not_in_census,154
1033,postcode_not_in_census,159
1034,postcode_not_in_census,163
1035,postcode_not_in_census,170
1036,postcode_not_in_census,168
1037,postcode_not_in_census,160
1038,postcode_not_in_census,165
1039,postcode_not_in_census,144
1040,postcode_not_in_census,132
1041,postcode_not_in_census,152
1042,postcode_not_in_census,149
1043,postcode_not_in_census,133
1044,postcode_not_in_census,168
1045,postcode_not_in_census,153
1046,postcode_not_in_census,155
1100,postcode_not_in_census,162
1101,postcode_not_in_census,138
1105,postcode_not_in_census,143
1106,postcode_not_in_census,156
1107,postcode_not_in_census,156
1108,postcode_not_in_census,172
1109,postcode_not_in_census,152
1110,postcode_not_in_census,156
1112,postcode_not_in_census,148
1113,postcode_not_in_census,147
1114,postcode_not_in_census,184
1115,postcode_not_in_census,155
1116,postcode_not_in_census,143
1117,postcode_not_in_census,151
1118,postcode_not_in_census,162
1119,postcode_not_in_census,164
1120,postcode_not_in_census,163
1121,postcode_not_in_census,185
1122,postcode_not_in_census,155
1123,postcode_not_in_census,174
1124,postcode_not_in_census,142
1125,postcode_not_in_census,146
1126,postcode_not_in_census,152
1127,postcode_not_in_census,153
1128,postcode_not_in_census,149
1129,postcode_not_in_census,164
1130,postcode_not_in_census,167
1131,postcode_not_in_census,169
1132,postcode_not_in_census,185
1133,postcode_not_in_census,163
1134,postcode_not_in_census,142
1135,postcode_not_in_census,159
1136,postcode_not_in_census,137
1137,postcode_not_in_census,157
1138,postcode_not_in_census,144
1139,postcode_not_in_census,140
1140,postcode_not_in_census,156
1141,postcode_not_in_census,147
1142,postcode_not_in_census,160
1143,postcode_not_in_census,145
1144,postcode_not_in_census,169
1145,postcode_not_in_census,157
1146,postcode_not_in_census,148
1147,postcode_not_in_census,167
1148,postcode_not_in_census,177
1149,postcode_not_in_census,165
1150,postcode_not_in_census,136
1151,postcode_not_in_census,160
1152,postcode_not_in_census,144
1153,postcode_not_in_census,161
1154,postcode_not_in_census,142
1155,postcode_not_in_census,165
1156,postcode_not_in_census,155
1157,postcode_not_in_census,186
1158,postcode_not_in_census,154
1159,postcode_not_in_census,141
1160,postcode_not_in_census,135
1161,postcode_not_in_census,137
1162,postcode_not_in_census,187
1163,postcode_not_in_census,171
1164,postcode_not_in_census,158
1165,postcode_not_in_census,153
1166,postcode_not_in_census,153
1167,postcode_not_in_census,153
1168,postcode_not_in_census,155
1169,postcode_not_in_census,150
1170,postcode_not_in_census,167
1171,postcode_not_in_census,149
1172,postcode_not_in_census,166
1173,postcode_not_in_census,160
1174,postcode_not_in_census,150
1175,postcode_not_in_census,174
1176,postcode_not_in_census,145
1177,postcode_not_in_census,168
1178,postcode_not_in_census,164
1179,postcode_not_in_census,172
1180,postcode_not_in_census,155
1181,postcode_not_in_census,178
1182,postcode_not_in_census,155
1183,postcode_not_in_census,168
1184,postcode_not_in_census,154
1185,postcode_not_in_census,141
1186,postcode_not_in_census,150
1187,postcode_not_in_census,151
1188,postcode_not_in_census,152
1189,postcode_not_in_census,150
1190,postcode_not_in_census,157
1191,postcode_not_in_census,148
1192,postcode_not_in_census,166
1193,postcode_not_in_census,165
1194,postcode_not_in_census,140
1195,postcode_not_in_census,175
1196,postcode_not_in_census,185
1197,postcode_not_in_census,142
1198,postcode_not_in_census,172
1199,postcode_not_in_census,155
1201,postcode_not_in_census,147
1202,postcode_not_in_census,152
1203,postcode_not_in_census,145
1205,postcode_not_in_census,150
1207,postcode_not_in_census,163
1208,postcode_not_in_census,156
1209,postcode_not_in_census,177
1210,postcode_not_in_census,141
1211,postcode_not_in_census,181
1212,postcode_not_in_census,162
1213,postcode_not_in_census,146
1214,postcode_not_in_census,171
1215,postcode_not_in_census,166
1216,postcode_not_in_census,162
1217,postcode_not_in_census,168
1218,postcode_not_in_census,159
1219,postcode_not_in_census,154
1220,postcode_not_in_census,133
1221,postcode_not_in_census,174
1222,postcode_not_in_census,147
1223,postcode_not_in_census,163
1224,postcode_not_in_census,166
1225,postcode_not_in_census,146
1226,postcode_not_in_census,169
1227,postcode_not_in_census,166
1228,postcode_not_in_census,155
1229,postcode_not_in_census,153
1230,postcode_not_in_census,182
1231,postcode_not_in_census,154
1232,postcode_not_in_census,151
1233,postcode_not_in_census,159
1234,postcode_not_in_census,171
1235,postcode_not_in_census,141
1236,postcode_not_in_census,169
1237,postcode_not_in_census,151
1238,postcode_not_in_census,162
1239,postcode_not_in_census,154
1240,postcode_not_in_census,154
1291,postcode_not_in_census,172
1292,postcode_not_in_census,144
1293,postcode_not_in_census,152
1294,postcode_not_in_census,165
1295,postcode_not_in_census,153
1296,postcode_not_in_census,177
1297,postcode_not_in_census,155
1298,postcode_not_in_census,149
1299,postcode_not_in_census,161
1300,postcode_not_in_census,166
1314,postcode_not_in_census,174
1335,postcode_not_in_census,154
1340,postcode_not_in_census,155
1350,postcode_not_in_census,147
1355,postcode_not_in_census,143
1360,postcode_not_in_census,175
1401,postcode_not_in_census,149
1419,postcode_not_in_census,156
1420,postcode_not_in_census,175
1422,postcode_not_in_census,175
1423,postcode_not_in_census,173
1424,postcode_not_in_census,165
1425,postcode_not_in_census,154
1426,postcode_not_in_census,153
1427,postcode_not_in_census,161
1428,postcode_not_in_census,143
1429,postcode_not_in_census,142
1430,postcode_not_in_census,149
1435,postcode_not_in_census,140
1440,postcode_not_in_census,150
1441,postcode_not_in_census,144
1445,postcode_not_in_census,149
1450,postcode_not_in_census,146
1455,postcode_not_in_census,168
1460,postcode_not_in_census,156
1465,postcode_not_in_census,179
1466,postcode_not_in_census,151
1470,postcode_not_in_census,168
1475,postcode_not_in_census,153
1476,postcode_not_in_census,174
1480,postcode_not_in_census,132
1481,postcode_not_in_census,168
1484,postcode_not_in_census,167
1485,postcode_not_in_census,145
1490,postcode_not_in_census,158
1493,postcode_not_in_census,148
1495,postcode_not_in_census,145
1499,postcode_not_in_census,168
1515,postcode_not_in_census,180
1560,postcode_not_in_census,145
1565,postcode_not_in_census,153
1570,postcode_not_in_census,151
1585,postcode_not_in_census,147
1590,postcode_not_in_census,182
1595,postcode_not_in_census,143
1597,postcode_not_in_census,159
1602,postcode_not_in_census,183
1630,postcode_not_in_census,150
1635,postcode_not_in_census,173
1639,postcode_not_in_census,135
1640,postcode_not_in_census,147
1655,postcode_not_in_census,156
1658,postcode_not_in_census,163
1660,postcode_not_in_census,143
1670,postcode_not_in_census,157
1675,postcode_not_in_census,170
1680,postcode_not_in_census,142
1685,postcode_not_in_census,152
1700,postcode_not_in_census,155
1710,postcode_not_in_census,171
1715,postcode_not_in_census,134
1730,postcode_not_in_census,156
1740,postcode_not_in_census,150
1741,postcode_not_in_census,152
1750,postcode_not_in_census,131
1755,postcode_not_in_census,142
1765,postcode_not_in_census,156
1771,postcode_not_in_census,147
1781,postcode_not_in_census,143
1790,postcode_not_in_census,154
1800,postcode_not_in_census,150
1805,postcode_not_in_census,158
1811,postcode_not_in_census,155
1819,postcode_not_in_census,182
1825,postcode_not_in_census,164
1830,postcode_not_in_census,164
1831,postcode_not_in_census,176
1835,postcode_not_in_census,165
1851,postcode_not_in_census,145
1860,postcode_not_in_census,148
1871,postcode_not_in_census,129
1875,postcode_not_in_census,143
1885,postcode_not_in_census,163
