field,source,definition,unit
postcode,POA_CODE_2021,4-character POA-derived postcode; preserve leading zeros,string
poa_code,POA_CODE_2021,Normalised ABS POA key,string
census_population,2021Census_G01_AUST_POA.csv :: Tot_P_P,"Total persons, usual residence",count
census_age_20_24,2021Census_G01_AUST_POA.csv :: Age_20_24_yr_P,Persons aged 20–24,count
census_age_25_34,2021Census_G01_AUST_POA.csv :: Age_25_34_yr_P,Persons aged 25–34,count
census_age_35_44,2021Census_G01_AUST_POA.csv :: Age_35_44_yr_P,Persons aged 35–44,count
census_median_age,2021Census_G02_AUST_POA.csv :: Median_age_persons,Median age of persons,years
census_median_household_income_weekly,2021Census_G02_AUST_POA.csv :: Median_tot_hhd_inc_weekly,Median total household income,AUD/week
census_avg_household_size,2021Census_G02_AUST_POA.csv :: Average_household_size,Average usual residents per occupied private dwelling,persons/household
census_couple_no_children_families,2021Census_G29_AUST_POA.csv :: CF_no_children_F,Couple families without children,count
census_couple_with_children_families,2021Census_G29_AUST_POA.csv :: CF_Total_F,Couple families WITH children; excludes childless couples,count
census_single_parent_families,2021Census_G29_AUST_POA.csv :: OPF_Total_F,One-parent families,count
census_other_families,2021Census_G29_AUST_POA.csv :: Other_family_F,Other families,count
census_total_families,2021Census_G29_AUST_POA.csv :: Total_F,Total families in occupied private dwellings,count
census_households_all,2021Census_G33_AUST_POA.csv :: Tot_Tot,All households used as the income-share denominator,count
census_households_weekly_income_3000_3499,2021Census_G33_AUST_POA.csv :: HI_3000_3499_Tot,"Households with weekly income AUD 3,000–3,499",count
census_households_weekly_income_3500_3999,2021Census_G33_AUST_POA.csv :: HI_3500_3999_Tot,"Households with weekly income AUD 3,500–3,999",count
census_households_weekly_income_4000_plus,2021Census_G33_AUST_POA.csv :: HI_4000_more_Tot,"Households with weekly income AUD 4,000 or more",count
census_population_15plus_g43,2021Census_G43_AUST_POA.csv :: P_15_yrs_over_P,Persons aged 15 years and over,count
census_unemployment_rate_published_pct,2021Census_G43_AUST_POA.csv :: Percent_Unem_loyment_P,ABS-published unemployment rate,percentage points
census_labour_force_participation_rate_published_pct,2021Census_G43_AUST_POA.csv :: Percnt_LabForc_prticipation_P,ABS-published labour-force participation rate,percentage points
census_bachelor_degree_count,2021Census_G43_AUST_POA.csv :: non_sch_qual_Bchelr_Degree_P,Persons with a bachelor degree,count
census_employed_persons,2021Census_G46B_AUST_POA.csv :: P_Tot_Emp_Tot,Employed persons aged 15+,count
census_unemployed_persons,2021Census_G46B_AUST_POA.csv :: P_Tot_Unemp_Tot,Unemployed persons aged 15+,count
census_labour_force,2021Census_G46B_AUST_POA.csv :: P_Tot_LF_Tot,Persons aged 15+ in labour force,count
census_not_in_labour_force,2021Census_G46B_AUST_POA.csv :: P_Not_in_LF_Tot,Persons aged 15+ outside labour force,count
census_labour_status_not_stated,2021Census_G46B_AUST_POA.csv :: P_LFS_NS_Tot,Persons aged 15+ with labour force status not stated,count
census_population_15plus,2021Census_G46B_AUST_POA.csv :: P_Tot_Tot,"All persons aged 15+, including labour status not stated",count
census_family_households,2021Census_G42_AUST_POA.csv :: Tot_FHs_Tot,Family households,count
census_lone_person_households,2021Census_G42_AUST_POA.csv :: Tot_Lone_P_H,Lone-person households,count
census_group_households,2021Census_G42_AUST_POA.csv :: Tot_Group_H,Group households,count
census_total_households,2021Census_G42_AUST_POA.csv :: Tot_Tot,Total classified occupied private dwellings,count
census_employment_to_population_ratio,census_employed_persons / census_population_15plus,"Null for missing input, zero denominator or ratio outside [0,1]; never clipped",proportion 0-1
census_unemployment_rate,census_unemployed_persons / census_labour_force,"Null for missing input, zero denominator or ratio outside [0,1]; never clipped",proportion 0-1
census_labour_force_participation_rate,census_labour_force / census_population_15plus,"Null for missing input, zero denominator or ratio outside [0,1]; never clipped",proportion 0-1
census_couple_no_children_family_share,census_couple_no_children_families / census_total_families,"Null for missing input, zero denominator or ratio outside [0,1]; never clipped",proportion 0-1
census_couple_with_children_family_share,census_couple_with_children_families / census_total_families,"Null for missing input, zero denominator or ratio outside [0,1]; never clipped",proportion 0-1
census_couple_family_share,census_couple_families / census_total_families,"Null for missing input, zero denominator or ratio outside [0,1]; never clipped",proportion 0-1
census_single_parent_family_share,census_single_parent_families / census_total_families,"Null for missing input, zero denominator or ratio outside [0,1]; never clipped",proportion 0-1
