field,rows,missing_rows,missing_rate,zero_rows,minimum,median,p99,maximum
census_population,2641,0,0.0,1,0.0,3514.0,64078.79999999994,129888.0
census_age_20_24,2641,0,0.0,85,0.0,164.0,4280.599999999999,10827.0
census_age_25_34,2641,0,0.0,31,0.0,362.0,9604.199999999995,24770.0
census_age_35_44,2641,0,0.0,29,0.0,399.0,8797.59999999999,25580.0
census_median_age,2641,1,0.0003786444528587656,0,20.0,43.0,61.0,79.0
census_median_household_income_weekly,2641,0,0.0,6,0.0,1493.0,3176.599999999998,4184.0
census_avg_household_size,2641,4,0.0015145778114350624,0,1.0,2.4,3.3,4.2
census_couple_no_children_families,2641,0,0.0,29,0.0,425.0,5992.399999999999,12541.0
census_couple_with_children_families,2641,0,0.0,35,0.0,349.0,7707.599999999992,19923.0
census_single_parent_families,2641,0,0.0,140,0.0,129.0,3089.3999999999996,5817.0
census_other_families,2641,0,0.0,703,0.0,11.0,298.7999999999997,767.0
census_total_families,2641,0,0.0,19,0.0,951.0,17486.2,32901.0
census_households_all,2641,0,0.0,11,0.0,1288.0,22365.599999999973,44520.0
census_households_weekly_income_3000_3499,2641,0,0.0,228,0.0,65.0,1459.1999999999985,3146.0
census_households_weekly_income_3500_3999,2641,0,0.0,384,0.0,36.0,926.1999999999994,1892.0
census_households_weekly_income_4000_plus,2641,0,0.0,164,0.0,88.0,3038.9999999999986,6960.0
census_population_15plus_g43,2641,0,0.0,1,0.0,2934.0,51136.19999999998,95904.0
census_unemployment_rate_published_pct,2641,0,0.0,74,0.0,4.2,14.65999999999999,50.0
census_labour_force_participation_rate_published_pct,2641,0,0.0,1,0.0,60.2,80.09999999999995,100.0
census_bachelor_degree_count,2641,0,0.0,41,0.0,306.0,9078.8,18492.0
census_employed_persons,2641,0,0.0,4,0.0,1582.0,29629.999999999993,58728.0
census_unemployed_persons,2641,0,0.0,207,0.0,68.0,1837.3999999999992,4556.0
census_labour_force,2641,0,0.0,2,0.0,1660.0,31382.39999999999,63279.0
census_not_in_labour_force,2641,0,0.0,18,0.0,1000.0,17747.19999999999,38482.0
census_labour_status_not_stated,2641,0,0.0,46,0.0,188.0,3151.3999999999924,6966.0
census_population_15plus,2641,0,0.0,1,0.0,2934.0,51136.19999999998,95904.0
census_family_households,2641,0,0.0,18,0.0,929.0,16845.6,31480.0
census_lone_person_households,2641,0,0.0,29,0.0,330.0,6068.799999999992,13621.0
census_group_households,2641,0,0.0,368,0.0,30.0,1125.1999999999998,3823.0
census_total_households,2641,0,0.0,11,0.0,1288.0,22365.599999999973,44520.0
census_source_year,2641,0,0.0,0,2021.0,2021.0,2021.0,2021.0
census_couple_families,2641,0,0.0,24,0.0,801.0,13845.999999999995,28084.0
census_age_20_44_count,2641,0,0.0,14,0.0,911.0,21652.0,58840.0
census_households_weekly_income_3000_plus_count,2641,0,0.0,110,0.0,191.0,5335.199999999999,10844.0
census_employment_to_population_ratio,2641,5,0.001893222264293828,3,0.0,0.5757834621680068,0.7889130939932618,1.0
census_unemployment_rate,2641,2,0.0007572889057175312,205,0.0,0.041499330655957165,0.13969534650150622,0.25757575757575757
census_labour_force_participation_rate,2641,5,0.001893222264293828,1,0.0,0.6017910461045071,0.7970568025652772,1.0
census_couple_no_children_family_share,2641,23,0.00870882241575161,10,0.0,0.43902439024390244,0.7497327044025156,1.0
census_couple_with_children_family_share,2641,21,0.007951533510034078,16,0.0,0.39438137445361826,0.6278015585999812,1.0
census_couple_family_share,2641,63,0.023854600530102233,5,0.0,0.8461850998163847,0.976498127340824,1.0
census_single_parent_family_share,2641,19,0.007194244604316547,121,0.0,0.13659699318715737,0.319282945736434,0.625
census_family_household_share,2641,17,0.006436955698599016,7,0.0,0.6987565647204201,0.897663803479593,1.0
census_lone_person_household_share,2641,12,0.004543733434305188,19,0.0,0.2691768180140273,0.5139296684009271,1.0
census_group_household_share,2641,11,0.0041650889814464215,357,0.0,0.024806440846705254,0.13320287222078037,0.5
census_age_20_44_share,2641,1,0.0003786444528587656,13,0.0,0.2764482431149098,0.614578843845149,0.8428571428571429
census_households_weekly_income_3000_plus_share,2641,11,0.0041650889814464215,99,0.0,0.158248851585789,0.5,0.75
census_bachelor_degree_share,2641,1,0.0003786444528587656,40,0.0,0.1091120180129468,0.35297104112805683,0.625
census_unemployment_rate_derived_pct,2641,2,0.0007572889057175312,205,0.0,4.149933065595716,13.96953465015062,25.757575757575758
census_labour_force_participation_rate_derived_pct,2641,5,0.001893222264293828,1,0.0,60.17910461045071,79.70568025652771,100.0
