postcode,field,numerator,denominator,reason
4479,census_employment_to_population_ratio,8.0,7.0,outside_0_1_possible_perturbation
5713,census_employment_to_population_ratio,13.0,12.0,outside_0_1_possible_perturbation
5715,census_employment_to_population_ratio,23.0,21.0,outside_0_1_possible_perturbation
6182,census_employment_to_population_ratio,0.0,0.0,zero_denominator
6470,census_employment_to_population_ratio,11.0,6.0,outside_0_1_possible_perturbation
6182,census_unemployment_rate,0.0,0.0,zero_denominator
6452,census_unemployment_rate,0.0,0.0,zero_denominator
4479,census_labour_force_participation_rate,8.0,7.0,outside_0_1_possible_perturbation
5713,census_labour_force_participation_rate,13.0,12.0,outside_0_1_possible_perturbation
5715,census_labour_force_participation_rate,23.0,21.0,outside_0_1_possible_perturbation
6182,census_labour_force_participation_rate,0.0,0.0,zero_denominator
6628,census_labour_force_participation_rate,15.0,14.0,outside_0_1_possible_perturbation
2308,census_couple_no_children_family_share,0.0,0.0,zero_denominator
2331,census_couple_no_children_family_share,0.0,0.0,zero_denominator
2678,census_couple_no_children_family_share,0.0,0.0,zero_denominator
3045,census_couple_no_children_family_share,0.0,0.0,zero_denominator
3062,census_couple_no_children_family_share,0.0,0.0,zero_denominator
3506,census_couple_no_children_family_share,5.0,4.0,outside_0_1_possible_perturbation
3704,census_couple_no_children_family_share,4.0,3.0,outside_0_1_possible_perturbation
4009,census_couple_no_children_family_share,0.0,0.0,zero_denominator
5106,census_couple_no_children_family_share,0.0,0.0,zero_denominator
5111,census_couple_no_children_family_share,0.0,0.0,zero_denominator
5713,census_couple_no_children_family_share,0.0,0.0,zero_denominator
5719,census_couple_no_children_family_share,10.0,9.0,outside_0_1_possible_perturbation
5950,census_couple_no_children_family_share,0.0,0.0,zero_denominator
6068,census_couple_no_children_family_share,0.0,0.0,zero_denominator
6106,census_couple_no_children_family_share,0.0,0.0,zero_denominator
6182,census_couple_no_children_family_share,0.0,0.0,zero_denominator
6427,census_couple_no_children_family_share,0.0,0.0,zero_denominator
6434,census_couple_no_children_family_share,0.0,0.0,zero_denominator
6452,census_couple_no_children_family_share,0.0,0.0,zero_denominator
6470,census_couple_no_children_family_share,0.0,0.0,zero_denominator
6484,census_couple_no_children_family_share,9.0,7.0,outside_0_1_possible_perturbation
6712,census_couple_no_children_family_share,0.0,0.0,zero_denominator
7139,census_couple_no_children_family_share,0.0,0.0,zero_denominator
2308,census_couple_with_children_family_share,0.0,0.0,zero_denominator
2331,census_couple_with_children_family_share,0.0,0.0,zero_denominator
2678,census_couple_with_children_family_share,0.0,0.0,zero_denominator
3045,census_couple_with_children_family_share,0.0,0.0,zero_denominator
3062,census_couple_with_children_family_share,0.0,0.0,zero_denominator
3704,census_couple_with_children_family_share,4.0,3.0,outside_0_1_possible_perturbation
4009,census_couple_with_children_family_share,0.0,0.0,zero_denominator
5106,census_couple_with_children_family_share,0.0,0.0,zero_denominator
5111,census_couple_with_children_family_share,0.0,0.0,zero_denominator
5713,census_couple_with_children_family_share,0.0,0.0,zero_denominator
5950,census_couple_with_children_family_share,0.0,0.0,zero_denominator
6068,census_couple_with_children_family_share,0.0,0.0,zero_denominator
6106,census_couple_with_children_family_share,0.0,0.0,zero_denominator
6182,census_couple_with_children_family_share,0.0,0.0,zero_denominator
6427,census_couple_with_children_family_share,0.0,0.0,zero_denominator
6434,census_couple_with_children_family_share,0.0,0.0,zero_denominator
6452,census_couple_with_children_family_share,0.0,0.0,zero_denominator
6470,census_couple_with_children_family_share,0.0,0.0,zero_denominator
6616,census_couple_with_children_family_share,8.0,7.0,outside_0_1_possible_perturbation
6712,census_couple_with_children_family_share,0.0,0.0,zero_denominator
7139,census_couple_with_children_family_share,0.0,0.0,zero_denominator
0874,census_couple_family_share,127.0,125.0,outside_0_1_possible_perturbation
2308,census_couple_family_share,0.0,0.0,zero_denominator
2331,census_couple_family_share,0.0,0.0,zero_denominator
2408,census_couple_family_share,73.0,71.0,outside_0_1_possible_perturbation
2411,census_couple_family_share,30.0,25.0,outside_0_1_possible_perturbation
2678,census_couple_family_share,0.0,0.0,zero_denominator
3045,census_couple_family_share,0.0,0.0,zero_denominator
3062,census_couple_family_share,0.0,0.0,zero_denominator
3273,census_couple_family_share,37.0,36.0,outside_0_1_possible_perturbation
3413,census_couple_family_share,56.0,54.0,outside_0_1_possible_perturbation
3415,census_couple_family_share,18.0,12.0,outside_0_1_possible_perturbation
3488,census_couple_family_share,27.0,26.0,outside_0_1_possible_perturbation
3506,census_couple_family_share,9.0,4.0,outside_0_1_possible_perturbation
3596,census_couple_family_share,23.0,22.0,outside_0_1_possible_perturbation
3704,census_couple_family_share,8.0,3.0,outside_0_1_possible_perturbation
3708,census_couple_family_share,23.0,21.0,outside_0_1_possible_perturbation
3990,census_couple_family_share,41.0,37.0,outside_0_1_possible_perturbation
4009,census_couple_family_share,0.0,0.0,zero_denominator
4384,census_couple_family_share,12.0,11.0,outside_0_1_possible_perturbation
4461,census_couple_family_share,9.0,8.0,outside_0_1_possible_perturbation
4474,census_couple_family_share,21.0,19.0,outside_0_1_possible_perturbation
4482,census_couple_family_share,23.0,22.0,outside_0_1_possible_perturbation
4732,census_couple_family_share,37.0,36.0,outside_0_1_possible_perturbation
5106,census_couple_family_share,0.0,0.0,zero_denominator
5111,census_couple_family_share,0.0,0.0,zero_denominator
5150,census_couple_family_share,13.0,12.0,outside_0_1_possible_perturbation
5471,census_couple_family_share,24.0,22.0,outside_0_1_possible_perturbation
5572,census_couple_family_share,45.0,43.0,outside_0_1_possible_perturbation
5701,census_couple_family_share,6.0,5.0,outside_0_1_possible_perturbation
