field,total_rows,missing_rows,matched_but_missing_rows
census_poa_code,499999,83181,0
census_population,499999,83181,0
census_age_20_24,499999,83181,0
census_age_25_34,499999,83181,0
census_age_35_44,499999,83181,0
census_median_age,499999,83340,159
census_median_household_income_weekly,499999,83181,0
census_avg_household_size,499999,83799,618
census_couple_no_children_families,499999,83181,0
census_couple_with_children_families,499999,83181,0
census_single_parent_families,499999,83181,0
census_other_families,499999,83181,0
census_total_families,499999,83181,0
census_households_all,499999,83181,0
census_households_weekly_income_3000_3499,499999,83181,0
census_households_weekly_income_3500_3999,499999,83181,0
census_households_weekly_income_4000_plus,499999,83181,0
census_population_15plus_g43,499999,83181,0
census_unemployment_rate_published_pct,499999,83181,0
census_labour_force_participation_rate_published_pct,499999,83181,0
census_bachelor_degree_count,499999,83181,0
census_employed_persons,499999,83181,0
census_unemployed_persons,499999,83181,0
census_labour_force,499999,83181,0
census_not_in_labour_force,499999,83181,0
census_labour_status_not_stated,499999,83181,0
census_population_15plus,499999,83181,0
census_family_households,499999,83181,0
census_lone_person_households,499999,83181,0
census_group_households,499999,83181,0
census_total_households,499999,83181,0
census_source_year,499999,83181,0
census_couple_families,499999,83181,0
census_age_20_44_count,499999,83181,0
census_households_weekly_income_3000_plus_count,499999,83181,0
census_employment_to_population_ratio,499999,83995,814
census_unemployment_rate,499999,83506,325
census_labour_force_participation_rate,499999,83959,778
census_couple_no_children_family_share,499999,86851,3670
census_couple_with_children_family_share,499999,86507,3326
census_couple_family_share,499999,93221,10040
census_single_parent_family_share,499999,86203,3022
census_family_household_share,499999,85929,2748
census_lone_person_household_share,499999,85086,1905
census_group_household_share,499999,84933,1752
census_age_20_44_share,499999,83340,159
census_households_weekly_income_3000_plus_share,499999,84933,1752
census_bachelor_degree_share,499999,83340,159
census_unemployment_rate_derived_pct,499999,83506,325
census_labour_force_participation_rate_derived_pct,499999,83959,778
census_small_population,499999,83181,0
census_small_labour_force,499999,83181,0
census_small_families,499999,83181,0
census_small_households,499999,83181,0
census_nonpositive_household_income,499999,83181,0
census_zero_population,499999,83181,0
census_any_feature_missing,499999,83181,0
census_ratio_quality_issue,499999,83181,0
seifa_poa_code,499999,83181,0
seifa_irsd_score,499999,85874,2693
seifa_irsd_national_rank,499999,85874,2693
seifa_irsd_national_decile,499999,85874,2693
seifa_irsd_national_percentile,499999,85874,2693
seifa_irsd_state_rank,499999,88736,5555
seifa_irsd_state_decile,499999,88736,5555
seifa_irsd_state_percentile,499999,88736,5555
seifa_irsd_minimum_sa1_score,499999,85874,2693
seifa_irsd_maximum_sa1_score,499999,85874,2693
seifa_irsd_population_without_sa1_score_share,499999,85874,2693
seifa_irsad_score,499999,85874,2693
seifa_irsad_national_rank,499999,85874,2693
seifa_irsad_national_decile,499999,85874,2693
seifa_irsad_national_percentile,499999,85874,2693
seifa_irsad_state_rank,499999,88736,5555
seifa_irsad_state_decile,499999,88736,5555
seifa_irsad_state_percentile,499999,88736,5555
seifa_irsad_minimum_sa1_score,499999,85874,2693
seifa_irsad_maximum_sa1_score,499999,85874,2693
seifa_irsad_population_without_sa1_score_share,499999,85874,2693
seifa_ier_score,499999,85874,2693
seifa_ier_national_rank,499999,85874,2693
seifa_ier_national_decile,499999,85874,2693
seifa_ier_national_percentile,499999,85874,2693
seifa_ier_state_rank,499999,88736,5555
seifa_ier_state_decile,499999,88736,5555
seifa_ier_state_percentile,499999,88736,5555
seifa_ier_minimum_sa1_score,499999,85874,2693
seifa_ier_maximum_sa1_score,499999,85874,2693
seifa_ier_population_without_sa1_score_share,499999,85874,2693
seifa_ieo_score,499999,85402,2221
seifa_ieo_national_rank,499999,85402,2221
seifa_ieo_national_decile,499999,85402,2221
seifa_ieo_national_percentile,499999,85402,2221
seifa_ieo_state_rank,499999,88264,5083
seifa_ieo_state_decile,499999,88264,5083
seifa_ieo_state_percentile,499999,88264,5083
seifa_ieo_minimum_sa1_score,499999,85402,2221
seifa_ieo_maximum_sa1_score,499999,85402,2221
seifa_ieo_population_without_sa1_score_share,499999,85402,2221
seifa_population,499999,83181,0
seifa_state,499999,85402,2221
seifa_caution_low_sa1_representation,499999,85402,2221
seifa_cross_state_boundary,499999,85402,2221
seifa_irsd_excluded,499999,83181,0
seifa_irsd_national_percentile_scaled,499999,85874,2693
seifa_irsad_excluded,499999,83181,0
seifa_irsad_national_percentile_scaled,499999,85874,2693
seifa_ier_excluded,499999,83181,0
seifa_ier_national_percentile_scaled,499999,85874,2693
seifa_ieo_excluded,499999,83181,0
seifa_ieo_national_percentile_scaled,499999,85402,2221
seifa_score_missing_count,499999,83181,0
seifa_any_score_available,499999,83181,0
seifa_all_scores_available,499999,83181,0
seifa_any_index_excluded,499999,83181,0
seifa_source_year,499999,83181,0
ato_income_year,499999,85174,0
ato_state,499999,85174,0
ato_sa4_name,499999,85174,0
ato_sa4_is_state_other,499999,85174,0
ato_individual_count,499999,85174,0
ato_taxable_income_reporter_count,499999,85174,0
ato_taxable_income_or_loss_total,499999,85174,0
ato_salary_recipient_count,499999,85174,0
ato_salary_or_wages_total,499999,85174,0
ato_net_tax_count,499999,85174,0
ato_net_tax_total,499999,85174,0
ato_taxable_income_or_loss_per_reporter,499999,85174,0
ato_salary_or_wages_per_recipient,499999,85174,0
ato_salary_recipient_share,499999,85174,0
ato_net_tax_payer_share,499999,85174,0
ato_min_derived_denominator,499999,85174,0
ato_small_denominator,499999,85174,0
ato_nonpositive_taxable_income_total,499999,85174,0
ato_any_feature_missing,499999,85174,0
ato_quality_issue,499999,85174,0
