external_postcode,external_postcode_status,census_matched,seifa_matched,ato_matched,rows
0200,postcode_not_in_any_source,false,false,false,145
0801,matched_any_source,false,false,true,147
0804,matched_any_source,false,false,true,156
0811,matched_any_source,false,false,true,171
0813,postcode_not_in_any_source,false,false,false,157
0814,matched_any_source,false,false,true,137
0815,postcode_not_in_any_source,false,false,false,156
0821,matched_any_source,false,false,true,172
0831,matched_any_source,false,false,true,143
0851,matched_any_source,false,false,true,139
0861,matched_any_source,false,false,true,168
0871,matched_any_source,false,false,true,184
0881,matched_any_source,false,false,true,164
0906,postcode_not_in_any_source,false,false,false,178
0907,postcode_not_in_any_source,false,false,false,169
0909,postcode_not_in_any_source,false,false,false,140
1001,postcode_not_in_any_source,false,false,false,162
1002,postcode_not_in_any_source,false,false,false,160
1003,postcode_not_in_any_source,false,false,false,178
1004,postcode_not_in_any_source,false,false,false,162
1005,postcode_not_in_any_source,false,false,false,155
1006,postcode_not_in_any_source,false,false,false,168
1007,postcode_not_in_any_source,false,false,false,163
1008,postcode_not_in_any_source,false,false,false,143
1009,postcode_not_in_any_source,false,false,false,157
1010,postcode_not_in_any_source,false,false,false,174
1020,postcode_not_in_any_source,false,false,false,152
1021,postcode_not_in_any_source,false,false,false,153
1022,postcode_not_in_any_source,false,false,false,157
1023,postcode_not_in_any_source,false,false,false,154
1025,postcode_not_in_any_source,false,false,false,137
1026,postcode_not_in_any_source,false,false,false,154
1027,postcode_not_in_any_source,false,false,false,160
1028,postcode_not_in_any_source,false,false,false,169
1029,postcode_not_in_any_source,false,false,false,155
1030,postcode_not_in_any_source,false,false,false,153
1031,postcode_not_in_any_source,false,false,false,145
1032,postcode_not_in_any_source,false,false,false,154
1033,postcode_not_in_any_source,false,false,false,159
1034,postcode_not_in_any_source,false,false,false,163
1035,postcode_not_in_any_source,false,false,false,170
1036,postcode_not_in_any_source,false,false,false,168
1037,postcode_not_in_any_source,false,false,false,160
1038,postcode_not_in_any_source,false,false,false,165
1039,postcode_not_in_any_source,false,false,false,144
1040,postcode_not_in_any_source,false,false,false,132
1041,postcode_not_in_any_source,false,false,false,152
1042,postcode_not_in_any_source,false,false,false,149
1043,postcode_not_in_any_source,false,false,false,133
1044,postcode_not_in_any_source,false,false,false,168
1045,postcode_not_in_any_source,false,false,false,153
1046,postcode_not_in_any_source,false,false,false,155
1100,postcode_not_in_any_source,false,false,false,162
1101,postcode_not_in_any_source,false,false,false,138
1105,postcode_not_in_any_source,false,false,false,143
1106,postcode_not_in_any_source,false,false,false,156
1107,postcode_not_in_any_source,false,false,false,156
1108,postcode_not_in_any_source,false,false,false,172
1109,postcode_not_in_any_source,false,false,false,152
1110,postcode_not_in_any_source,false,false,false,156
1112,postcode_not_in_any_source,false,false,false,148
1113,postcode_not_in_any_source,false,false,false,147
1114,postcode_not_in_any_source,false,false,false,184
1115,postcode_not_in_any_source,false,false,false,155
1116,postcode_not_in_any_source,false,false,false,143
1117,postcode_not_in_any_source,false,false,false,151
1118,postcode_not_in_any_source,false,false,false,162
1119,postcode_not_in_any_source,false,false,false,164
1120,postcode_not_in_any_source,false,false,false,163
1121,postcode_not_in_any_source,false,false,false,185
1122,postcode_not_in_any_source,false,false,false,155
1123,postcode_not_in_any_source,false,false,false,174
1124,postcode_not_in_any_source,false,false,false,142
1125,postcode_not_in_any_source,false,false,false,146
1126,postcode_not_in_any_source,false,false,false,152
1127,postcode_not_in_any_source,false,false,false,153
1128,postcode_not_in_any_source,false,false,false,149
1129,postcode_not_in_any_source,false,false,false,164
1130,postcode_not_in_any_source,false,false,false,167
1131,postcode_not_in_any_source,false,false,false,169
1132,postcode_not_in_any_source,false,false,false,185
1133,postcode_not_in_any_source,false,false,false,163
1134,postcode_not_in_any_source,false,false,false,142
1135,postcode_not_in_any_source,false,false,false,159
1136,postcode_not_in_any_source,false,false,false,137
1137,postcode_not_in_any_source,false,false,false,157
1138,postcode_not_in_any_source,false,false,false,144
1139,postcode_not_in_any_source,false,false,false,140
1140,postcode_not_in_any_source,false,false,false,156
1141,postcode_not_in_any_source,false,false,false,147
1142,postcode_not_in_any_source,false,false,false,160
1143,postcode_not_in_any_source,false,false,false,145
1144,postcode_not_in_any_source,false,false,false,169
1145,postcode_not_in_any_source,false,false,false,157
1146,postcode_not_in_any_source,false,false,false,148
1147,postcode_not_in_any_source,false,false,false,167
1148,postcode_not_in_any_source,false,false,false,177
1149,postcode_not_in_any_source,false,false,false,165
1150,postcode_not_in_any_source,false,false,false,136
1151,postcode_not_in_any_source,false,false,false,160
1152,postcode_not_in_any_source,false,false,false,144
1153,postcode_not_in_any_source,false,false,false,161
1154,postcode_not_in_any_source,false,false,false,142
1155,postcode_not_in_any_source,false,false,false,165
1156,postcode_not_in_any_source,false,false,false,155
1157,postcode_not_in_any_source,false,false,false,186
1158,postcode_not_in_any_source,false,false,false,154
1159,postcode_not_in_any_source,false,false,false,141
1160,postcode_not_in_any_source,false,false,false,135
1161,postcode_not_in_any_source,false,false,false,137
1162,postcode_not_in_any_source,false,false,false,187
1163,postcode_not_in_any_source,false,false,false,171
1164,postcode_not_in_any_source,false,false,false,158
1165,postcode_not_in_any_source,false,false,false,153
1166,postcode_not_in_any_source,false,false,false,153
1167,postcode_not_in_any_source,false,false,false,153
1168,postcode_not_in_any_source,false,false,false,155
1169,postcode_not_in_any_source,false,false,false,150
1170,postcode_not_in_any_source,false,false,false,167
1171,postcode_not_in_any_source,false,false,false,149
1172,postcode_not_in_any_source,false,false,false,166
1173,postcode_not_in_any_source,false,false,false,160
1174,postcode_not_in_any_source,false,false,false,150
1175,postcode_not_in_any_source,false,false,false,174
1176,postcode_not_in_any_source,false,false,false,145
1177,postcode_not_in_any_source,false,false,false,168
1178,postcode_not_in_any_source,false,false,false,164
1179,postcode_not_in_any_source,false,false,false,172
1180,postcode_not_in_any_source,false,false,false,155
1181,postcode_not_in_any_source,false,false,false,178
1182,postcode_not_in_any_source,false,false,false,155
1183,postcode_not_in_any_source,false,false,false,168
1184,postcode_not_in_any_source,false,false,false,154
1185,postcode_not_in_any_source,false,false,false,141
1186,postcode_not_in_any_source,false,false,false,150
1187,postcode_not_in_any_source,false,false,false,151
1188,postcode_not_in_any_source,false,false,false,152
1189,postcode_not_in_any_source,false,false,false,150
1190,postcode_not_in_any_source,false,false,false,157
1191,postcode_not_in_any_source,false,false,false,148
1192,postcode_not_in_any_source,false,false,false,166
1193,postcode_not_in_any_source,false,false,false,165
1194,postcode_not_in_any_source,false,false,false,140
1195,postcode_not_in_any_source,false,false,false,175
1196,postcode_not_in_any_source,false,false,false,185
1197,postcode_not_in_any_source,false,false,false,142
1198,postcode_not_in_any_source,false,false,false,172
1199,postcode_not_in_any_source,false,false,false,155
1201,postcode_not_in_any_source,false,false,false,147
1202,postcode_not_in_any_source,false,false,false,152
1203,postcode_not_in_any_source,false,false,false,145
1205,postcode_not_in_any_source,false,false,false,150
1207,postcode_not_in_any_source,false,false,false,163
1208,postcode_not_in_any_source,false,false,false,156
1209,postcode_not_in_any_source,false,false,false,177
1210,postcode_not_in_any_source,false,false,false,141
1211,postcode_not_in_any_source,false,false,false,181
1212,postcode_not_in_any_source,false,false,false,162
1213,postcode_not_in_any_source,false,false,false,146
1214,postcode_not_in_any_source,false,false,false,171
1215,postcode_not_in_any_source,false,false,false,166
1216,postcode_not_in_any_source,false,false,false,162
1217,postcode_not_in_any_source,false,false,false,168
1218,postcode_not_in_any_source,false,false,false,159
1219,postcode_not_in_any_source,false,false,false,154
1220,postcode_not_in_any_source,false,false,false,133
1221,postcode_not_in_any_source,false,false,false,174
1222,postcode_not_in_any_source,false,false,false,147
1223,postcode_not_in_any_source,false,false,false,163
1224,postcode_not_in_any_source,false,false,false,166
1225,postcode_not_in_any_source,false,false,false,146
1226,postcode_not_in_any_source,false,false,false,169
1227,postcode_not_in_any_source,false,false,false,166
1228,postcode_not_in_any_source,false,false,false,155
1229,postcode_not_in_any_source,false,false,false,153
1230,postcode_not_in_any_source,false,false,false,182
1231,postcode_not_in_any_source,false,false,false,154
1232,postcode_not_in_any_source,false,false,false,151
1233,postcode_not_in_any_source,false,false,false,159
1234,postcode_not_in_any_source,false,false,false,171
1235,postcode_not_in_any_source,false,false,false,141
1236,postcode_not_in_any_source,false,false,false,169
1237,postcode_not_in_any_source,false,false,false,151
1238,postcode_not_in_any_source,false,false,false,162
1239,postcode_not_in_any_source,false,false,false,154
1240,matched_any_source,false,false,true,154
1291,postcode_not_in_any_source,false,false,false,172
1292,postcode_not_in_any_source,false,false,false,144
1293,postcode_not_in_any_source,false,false,false,152
1294,postcode_not_in_any_source,false,false,false,165
1295,postcode_not_in_any_source,false,false,false,153
1296,postcode_not_in_any_source,false,false,false,177
1297,postcode_not_in_any_source,false,false,false,155
1298,postcode_not_in_any_source,false,false,false,149
1299,postcode_not_in_any_source,false,false,false,161
1300,postcode_not_in_any_source,false,false,false,166
1314,postcode_not_in_any_source,false,false,false,174
1335,postcode_not_in_any_source,false,false,false,154
1340,postcode_not_in_any_source,false,false,false,155
1350,postcode_not_in_any_source,false,false,false,147
1355,matched_any_source,false,false,true,143
1360,postcode_not_in_any_source,false,false,false,175
