field,source,definition,unit,source_or_formula
census_poa_code,census,Normalised ABS POA key,string,POA_CODE_2021
census_population,census,"Total persons, usual residence",count,2021Census_G01_AUST_POA.csv :: Tot_P_P
census_age_20_24,census,Persons aged 20–24,count,2021Census_G01_AUST_POA.csv :: Age_20_24_yr_P
census_age_25_34,census,Persons aged 25–34,count,2021Census_G01_AUST_POA.csv :: Age_25_34_yr_P
census_age_35_44,census,Persons aged 35–44,count,2021Census_G01_AUST_POA.csv :: Age_35_44_yr_P
census_median_age,census,Median age of persons,years,2021Census_G02_AUST_POA.csv :: Median_age_persons
census_median_household_income_weekly,census,Median total household income,AUD/week,2021Census_G02_AUST_POA.csv :: Median_tot_hhd_inc_weekly
census_avg_household_size,census,Average usual residents per occupied private dwelling,persons/household,2021Census_G02_AUST_POA.csv :: Average_household_size
census_couple_no_children_families,census,Couple families without children,count,2021Census_G29_AUST_POA.csv :: CF_no_children_F
census_couple_with_children_families,census,Couple families WITH children; excludes childless couples,count,2021Census_G29_AUST_POA.csv :: CF_Total_F
census_single_parent_families,census,One-parent families,count,2021Census_G29_AUST_POA.csv :: OPF_Total_F
census_other_families,census,Other families,count,2021Census_G29_AUST_POA.csv :: Other_family_F
census_total_families,census,Total families in occupied private dwellings,count,2021Census_G29_AUST_POA.csv :: Total_F
census_households_all,census,All households used as the income-share denominator,count,2021Census_G33_AUST_POA.csv :: Tot_Tot
census_households_weekly_income_3000_3499,census,"Households with weekly income AUD 3,000–3,499",count,2021Census_G33_AUST_POA.csv :: HI_3000_3499_Tot
census_households_weekly_income_3500_3999,census,"Households with weekly income AUD 3,500–3,999",count,2021Census_G33_AUST_POA.csv :: HI_3500_3999_Tot
census_households_weekly_income_4000_plus,census,"Households with weekly income AUD 4,000 or more",count,2021Census_G33_AUST_POA.csv :: HI_4000_more_Tot
census_population_15plus_g43,census,Persons aged 15 years and over,count,2021Census_G43_AUST_POA.csv :: P_15_yrs_over_P
census_unemployment_rate_published_pct,census,ABS-published unemployment rate,percentage points,2021Census_G43_AUST_POA.csv :: Percent_Unem_loyment_P
census_labour_force_participation_rate_published_pct,census,ABS-published labour-force participation rate,percentage points,2021Census_G43_AUST_POA.csv :: Percnt_LabForc_prticipation_P
