census_poa_code,postcode,census_population,census_age_20_24,census_age_25_34,census_age_35_44,census_median_age,census_median_household_income_weekly,census_avg_household_size,census_couple_no_children_families,census_couple_with_children_families,census_single_parent_families,census_other_families,census_total_families,census_households_all,census_households_weekly_income_3000_3499,census_households_weekly_income_3500_3999,census_households_weekly_income_4000_plus,census_population_15plus_g43,census_unemployment_rate_published_pct,census_labour_force_participation_rate_published_pct,census_bachelor_degree_count,census_employed_persons,census_unemployed_persons,census_labour_force,census_not_in_labour_force,census_labour_status_not_stated,census_population_15plus,census_family_households,census_lone_person_households,census_group_households,census_total_households,census_source_year,census_couple_families,census_age_20_44_count,census_households_weekly_income_3000_plus_count,census_employment_to_population_ratio,census_unemployment_rate,census_labour_force_participation_rate,census_couple_no_children_family_share,census_couple_with_children_family_share,census_couple_family_share,census_single_parent_family_share,census_family_household_share,census_lone_person_household_share,census_group_household_share,census_age_20_44_share,census_households_weekly_income_3000_plus_share,census_bachelor_degree_share,census_unemployment_rate_derived_pct,census_labour_force_participation_rate_derived_pct,census_small_population,census_small_labour_force,census_small_families,census_small_households,census_nonpositive_household_income,census_zero_population,census_any_feature_missing,census_ratio_quality_issue,census_matched,seifa_poa_code,seifa_irsd_score,seifa_irsd_national_rank,seifa_irsd_national_decile,seifa_irsd_national_percentile,seifa_irsd_state_rank,seifa_irsd_state_decile,seifa_irsd_state_percentile,seifa_irsd_minimum_sa1_score,seifa_irsd_maximum_sa1_score,seifa_irsd_population_without_sa1_score_share,seifa_irsad_score,seifa_irsad_national_rank,seifa_irsad_national_decile,seifa_irsad_national_percentile,seifa_irsad_state_rank,seifa_irsad_state_decile,seifa_irsad_state_percentile,seifa_irsad_minimum_sa1_score,seifa_irsad_maximum_sa1_score,seifa_irsad_population_without_sa1_score_share,seifa_ier_score,seifa_ier_national_rank,seifa_ier_national_decile,seifa_ier_national_percentile,seifa_ier_state_rank,seifa_ier_state_decile,seifa_ier_state_percentile,seifa_ier_minimum_sa1_score,seifa_ier_maximum_sa1_score,seifa_ier_population_without_sa1_score_share,seifa_ieo_score,seifa_ieo_national_rank,seifa_ieo_national_decile,seifa_ieo_national_percentile,seifa_ieo_state_rank,seifa_ieo_state_decile,seifa_ieo_state_percentile,seifa_ieo_minimum_sa1_score,seifa_ieo_maximum_sa1_score,seifa_ieo_population_without_sa1_score_share,seifa_population,seifa_state,seifa_caution_low_sa1_representation,seifa_cross_state_boundary,seifa_irsd_excluded,seifa_irsd_national_percentile_scaled,seifa_irsad_excluded,seifa_irsad_national_percentile_scaled,seifa_ier_excluded,seifa_ier_national_percentile_scaled,seifa_ieo_excluded,seifa_ieo_national_percentile_scaled,seifa_score_missing_count,seifa_any_score_available,seifa_all_scores_available,seifa_any_index_excluded,seifa_source_year,seifa_matched,ato_income_year,ato_state,ato_sa4_name,ato_sa4_is_state_other,ato_individual_count,ato_taxable_income_reporter_count,ato_taxable_income_or_loss_total,ato_salary_recipient_count,ato_salary_or_wages_total,ato_net_tax_count,ato_net_tax_total,ato_taxable_income_or_loss_per_reporter,ato_salary_or_wages_per_recipient,ato_salary_recipient_share,ato_net_tax_payer_share,ato_min_derived_denominator,ato_small_denominator,ato_nonpositive_taxable_income_total,ato_any_feature_missing,ato_quality_issue,ato_matched,all_sources_matched
POA0800,0800,7149,658,2402,1286,33,2151,2.0,979,399,132,47,1557,2984,225,129,453,6545,3.4,75.9,1650,4794,165,4964,783,792,6545,1535,1146,304,2984,2021,1378,4346,807,0.7324675324675325,0.03323932312651088,0.7584415584415585,0.6287732819524727,0.25626204238921,0.8850353243416827,0.08477842003853564,0.5144101876675603,0.38404825737265413,0.10187667560321716,0.6079171912155547,0.27044235924932974,0.25210084033613445,3.323932312651088,75.84415584415585,False,False,False,False,False,False,False,False,True,POA0800,1064.3497942,2202,9,84,30,9,89,944.50071828,1116.6909437,0.0004196391,1084.2614326,2320,9,89,32,10,95,966.85032468,1164.6901627,0.0004196391,921.3952539,231,1,9,15,5,45,788.46373661,1007.9575762,0.0004196391,1089.647675,2290,9,88,32,10,95,1012.6176443,1174.0374665,0.0004196391,7149,NT,False,False,False,0.84,False,0.89,False,0.09,False,0.88,0,True,True,False,2021,True,2021-22,NT,Darwin,False,5430,5369,400520074,4914,360949013,4583,88088853,74598.63550009312,73453.1975986976,0.9049723756906077,0.8440147329650092,4914,False,False,False,False,True,True
,0801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,2021-22,NT,NT other,True,408,402,37326624,312,25291138,334,9644586,92852.29850746269,81061.33974358975,0.7647058823529411,0.8186274509803921,312,False,False,False,False,True,False
,0804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,2021-22,NT,NT other,True,81,79,7873653,64,6292514,72,1971041,99666.49367088608,98320.53125,0.7901234567901234,0.8888888888888888,64,True,False,False,False,True,False
POA0810,0810,34330,2045,6525,5583,34,2199,2.7,2982,4058,1333,176,8553,11637,860,621,1858,27348,4.1,69.7,5722,18270,788,19056,6308,1985,27348,8248,2677,712,11637,2021,7040,14153,3339,0.6680561649846424,0.04135180520570949,0.6967968407196139,0.34864959663276046,0.4744534081608792,0.8231030047936396,0.15585174792470477,0.7087737389361519,0.2300421070722695,0.06118415399157859,0.41226332653655695,0.28692962103634956,0.20922919409097557,4.135180520570949,69.67968407196139,False,False,False,False,False,False,False,False,True,POA0810,1026.802176,1681,7,65,24,8,71,684.01623271,1139.4020543,0.0056510341,1036.2668418,1975,8,76,26,8,77,813.52824634,1180.8052518,0.0056510341,992.86721781,1159,5,45,24,8,71,566.34798316,1158.6719117,0.0056510341,1047.6207941,2057,8,79,30,9,89,831.69835907,1150.7529342,0.0056510341,34330,NT,False,False,False,0.65,False,0.76,False,0.45,False,0.79,0,True,True,False,2021,True,2021-22,NT,Darwin,False,22405,22221,1685071629,19685,1485710302,18474,374302719,75832.39408667477,75474.23429006858,0.8785985271144834,0.8245480919437626,19685,False,False,False,False,True,True
,0811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,2021-22,NT,NT other,True,157,156,14432222,116,10581005,133,3702496,92514.2435897436,91215.56034482758,0.7388535031847133,0.8471337579617835,116,False,False,False,False,True,False
POA0812,0812,18634,1003,2501,2717,37,2046,2.8,1581,2174,969,89,4811,6211,482,349,782,14558,5.3,65.1,2043,8975,497,9470,3867,1222,14558,4639,1315,261,6211,2021,3755,6221,1613,0.6164995191647205,0.05248152059134108,0.6505014425058387,0.3286219081272085,0.45188110579921015,0.7805030139264186,0.20141342756183744,0.7469006601191435,0.21172113991305747,0.042022218644340685,0.33385209831490825,0.25970053131540816,0.14033521088061546,5.2481520591341075,65.05014425058387,False,False,False,False,False,False,False,False,True,POA0812,981.13716196,971,4,37,18,6,53,691.4728736,1086.8879758,0.0023076097,981.72097909,1366,6,53,20,6,59,794.29437382,1084.9607401,0.0023076097,977.77728475,895,4,35,21,7,62,668.27046117,1087.2581312,0.0023076097,978.90562564,1418,6,54,21,7,62,847.46982969,1064.2236085,0.0023076097,18634,NT,False,False,False,0.37,False,0.53,False,0.35,False,0.54,0,True,True,False,2021,True,2021-22,NT,Darwin,False,11116,11028,774370881,9696,694137357,9057,160580527,70218.61452665941,71590.0739480198,0.8722562072688017,0.8147715005397625,9696,False,False,False,False,True,True
,0814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,2021-22,NT,NT other,True,80,80,7864702,59,4988399,66,2018070,98308.775,84549.13559322034,0.7375,0.825,59,True,False,False,False,True,False
POA0820,0820,19920,1365,4540,3164,35,2308,2.4,2239,1949,637,79,4903,7581,602,394,1403,16811,3.3,73.8,3857,12004,406,12409,2972,1437,16811,4801,2114,668,7581,2021,4188,9069,2399,0.7140562726786033,0.03271818841163671,0.7381476414252572,0.45665918825209056,0.39751172751376707,0.8541709157658577,0.12992045686314502,0.6332937607175835,0.2788550323176362,0.08811502440311304,0.4552710843373494,0.3164490172800422,0.22943310927368984,3.2718188411636713,73.81476414252572,False,False,False,False,False,False,False,False,True,POA0820,1061.2508063,2164,9,83,29,9,86,215.64896426,1175.2602969,0.0062751004,1075.7218767,2271,9,87,30,9,89,504.07733826,1205.1577024,0.0062751004,981.89635565,966,4,37,22,7,65,346.9340271,1175.5397184,0.0062751004,1076.3265386,2217,9,85,31,10,92,678.72488961,1148.927285,0.0057228916,19920,NT,False,False,False,0.83,False,0.87,False,0.37,False,0.85,0,True,True,False,2021,True,2021-22,NT,Darwin,False,13865,13772,1194003468,12247,981712899,11885,290285218,86697.89921580018,80159.45937780681,0.8833032816444284,0.857194374323837,12247,False,False,False,False,True,True
,0821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,2021-22,NT,NT other,True,271,270,22839670,192,14747145,202,5886571,84591.37037037036,76808.046875,0.7084870848708487,0.7453874538745388,192,False,False,False,False,True,False
POA0822,0822,25304,2147,4262,3595,30,1347,3.8,1565,2659,1422,193,5840,5402,204,149,315,19575,18.0,38.7,814,6214,1362,7581,10219,1779,19575,4389,885,129,5402,2021,4224,10004,668,0.31744572158365264,0.17965967550455086,0.38727969348659,0.2679794520547945,0.4553082191780822,0.7232876712328767,0.24349315068493152,0.8124768604220659,0.16382821177341725,0.023880044427989633,0.3953525134366108,0.12365790447982229,0.041583652618135375,17.965967550455087,38.727969348659,False,False,False,False,False,False,False,False,True,POA0822,601.5522073,6,1,1,2,1,6,285.97393516,1065.7893032,0.0154977018,760.60445857,11,1,1,3,1,9,519.48351496,1053.3252719,0.0154977018,630.68675848,9,1,1,2,1,6,367.57055999,1105.9588957,0.0154977018,885.78989871,251,1,10,8,3,24,705.39307238,1150.7261285,0.0141084414,25304,NT,False,False,False,0.01,False,0.01,False,0.01,False,0.1,0,True,True,False,2021,True,2021-22,NT,Northern Territory - Outback,False,7214,7087,381296804,6260,318101993,4845,66636206,53802.28643996049,50815.01485623003,0.86775713889659,0.6716107568616579,6260,False,False,False,False,True,True
