external_postcode,external_postcode_status,census_matched,seifa_matched,ato_matched,rows
0200,postcode_not_in_any_source,false,false,false,2360
0801,matched_any_source,false,false,true,4728
0804,matched_any_source,false,false,true,4128
0811,matched_any_source,false,false,true,4131
0813,postcode_not_in_any_source,false,false,false,2919
0814,matched_any_source,false,false,true,4136
0815,postcode_not_in_any_source,false,false,false,2340
0821,matched_any_source,false,false,true,3531
0831,matched_any_source,false,false,true,3558
0851,matched_any_source,false,false,true,2937
0861,matched_any_source,false,false,true,5317
0871,matched_any_source,false,false,true,4142
0881,matched_any_source,false,false,true,2967
0906,postcode_not_in_any_source,false,false,false,7619
0907,postcode_not_in_any_source,false,false,false,7043
0909,postcode_not_in_any_source,false,false,false,2939
1001,postcode_not_in_any_source,false,false,false,5275
1002,postcode_not_in_any_source,false,false,false,4141
1003,postcode_not_in_any_source,false,false,false,8221
1004,postcode_not_in_any_source,false,false,false,7057
1005,postcode_not_in_any_source,false,false,false,5326
1006,postcode_not_in_any_source,false,false,false,2954
1007,postcode_not_in_any_source,false,false,false,3509
1008,postcode_not_in_any_source,false,false,false,3539
1009,postcode_not_in_any_source,false,false,false,4109
1010,postcode_not_in_any_source,false,false,false,6492
1020,postcode_not_in_any_source,false,false,false,2328
1021,postcode_not_in_any_source,false,false,false,8236
1022,postcode_not_in_any_source,false,false,false,5828
1023,postcode_not_in_any_source,false,false,false,6461
1025,postcode_not_in_any_source,false,false,false,5296
1026,postcode_not_in_any_source,false,false,false,4163
1027,postcode_not_in_any_source,false,false,false,5293
1028,postcode_not_in_any_source,false,false,false,5865
1029,postcode_not_in_any_source,false,false,false,5284
1030,postcode_not_in_any_source,false,false,false,1728
1031,postcode_not_in_any_source,false,false,false,2354
1032,postcode_not_in_any_source,false,false,false,4703
1033,postcode_not_in_any_source,false,false,false,4702
1034,postcode_not_in_any_source,false,false,false,5379
1035,postcode_not_in_any_source,false,false,false,4107
1036,postcode_not_in_any_source,false,false,false,6493
1037,postcode_not_in_any_source,false,false,false,1176
1038,postcode_not_in_any_source,false,false,false,5257
1039,postcode_not_in_any_source,false,false,false,5869
1040,postcode_not_in_any_source,false,false,false,4118
1041,postcode_not_in_any_source,false,false,false,3531
1042,postcode_not_in_any_source,false,false,false,2956
1043,postcode_not_in_any_source,false,false,false,3520
1044,postcode_not_in_any_source,false,false,false,4144
1045,postcode_not_in_any_source,false,false,false,2371
1046,postcode_not_in_any_source,false,false,false,5319
1100,postcode_not_in_any_source,false,false,false,3494
1101,postcode_not_in_any_source,false,false,false,3572
1105,postcode_not_in_any_source,false,false,false,5247
1106,postcode_not_in_any_source,false,false,false,4716
1107,postcode_not_in_any_source,false,false,false,5296
1108,postcode_not_in_any_source,false,false,false,4681
1109,postcode_not_in_any_source,false,false,false,5306
1110,postcode_not_in_any_source,false,false,false,3531
1112,postcode_not_in_any_source,false,false,false,4737
1113,postcode_not_in_any_source,false,false,false,3523
1114,postcode_not_in_any_source,false,false,false,4746
1115,postcode_not_in_any_source,false,false,false,2961
1116,postcode_not_in_any_source,false,false,false,5327
1117,postcode_not_in_any_source,false,false,false,4704
1118,postcode_not_in_any_source,false,false,false,2936
1119,postcode_not_in_any_source,false,false,false,4690
1120,postcode_not_in_any_source,false,false,false,1769
