field,all_consumer_missing,matched_geography_missing,unmatched_consumer_rows,all_consumer_rows
seifa_irsd_score,85874,2693,83181,499999
seifa_irsd_national_rank,85874,2693,83181,499999
seifa_irsd_national_decile,85874,2693,83181,499999
seifa_irsd_national_percentile,85874,2693,83181,499999
seifa_irsd_state_rank,88736,5555,83181,499999
seifa_irsd_state_decile,88736,5555,83181,499999
seifa_irsd_state_percentile,88736,5555,83181,499999
seifa_irsd_minimum_sa1_score,85874,2693,83181,499999
seifa_irsd_maximum_sa1_score,85874,2693,83181,499999
seifa_irsd_population_without_sa1_score_share,85874,2693,83181,499999
seifa_irsad_score,85874,2693,83181,499999
seifa_irsad_national_rank,85874,2693,83181,499999
seifa_irsad_national_decile,85874,2693,83181,499999
seifa_irsad_national_percentile,85874,2693,83181,499999
seifa_irsad_state_rank,88736,5555,83181,499999
seifa_irsad_state_decile,88736,5555,83181,499999
seifa_irsad_state_percentile,88736,5555,83181,499999
seifa_irsad_minimum_sa1_score,85874,2693,83181,499999
seifa_irsad_maximum_sa1_score,85874,2693,83181,499999
seifa_irsad_population_without_sa1_score_share,85874,2693,83181,499999
seifa_ier_score,85874,2693,83181,499999
seifa_ier_national_rank,85874,2693,83181,499999
seifa_ier_national_decile,85874,2693,83181,499999
seifa_ier_national_percentile,85874,2693,83181,499999
seifa_ier_state_rank,88736,5555,83181,499999
seifa_ier_state_decile,88736,5555,83181,499999
seifa_ier_state_percentile,88736,5555,83181,499999
seifa_ier_minimum_sa1_score,85874,2693,83181,499999
seifa_ier_maximum_sa1_score,85874,2693,83181,499999
seifa_ier_population_without_sa1_score_share,85874,2693,83181,499999
seifa_ieo_score,85402,2221,83181,499999
seifa_ieo_national_rank,85402,2221,83181,499999
seifa_ieo_national_decile,85402,2221,83181,499999
seifa_ieo_national_percentile,85402,2221,83181,499999
seifa_ieo_state_rank,88264,5083,83181,499999
seifa_ieo_state_decile,88264,5083,83181,499999
seifa_ieo_state_percentile,88264,5083,83181,499999
seifa_ieo_minimum_sa1_score,85402,2221,83181,499999
seifa_ieo_maximum_sa1_score,85402,2221,83181,499999
seifa_ieo_population_without_sa1_score_share,85402,2221,83181,499999
seifa_population,83181,0,83181,499999
seifa_state,85402,2221,83181,499999
seifa_caution_low_sa1_representation,85402,2221,83181,499999
seifa_cross_state_boundary,85402,2221,83181,499999
seifa_irsd_excluded,83181,0,83181,499999
seifa_irsd_national_percentile_scaled,85874,2693,83181,499999
seifa_irsad_excluded,83181,0,83181,499999
seifa_irsad_national_percentile_scaled,85874,2693,83181,499999
seifa_ier_excluded,83181,0,83181,499999
seifa_ier_national_percentile_scaled,85874,2693,83181,499999
seifa_ieo_excluded,83181,0,83181,499999
seifa_ieo_national_percentile_scaled,85402,2221,83181,499999
seifa_score_missing_count,83181,0,83181,499999
seifa_any_score_available,83181,0,83181,499999
seifa_all_scores_available,83181,0,83181,499999
seifa_any_index_excluded,83181,0,83181,499999
seifa_source_year,83181,0,83181,499999
