seifa_postcode,seifa_match_status,consumer_rows
0200,postcode_not_in_seifa,145
0800,matched_all_scores,155
0801,postcode_not_in_seifa,147
0804,postcode_not_in_seifa,156
0810,matched_all_scores,150
0811,postcode_not_in_seifa,171
0812,matched_all_scores,160
0813,postcode_not_in_seifa,157
0814,postcode_not_in_seifa,137
0815,postcode_not_in_seifa,156
0820,matched_all_scores,144
0821,postcode_not_in_seifa,172
0822,matched_all_scores,148
0828,matched_all_scores,143
0829,matched_all_scores,156
0830,matched_all_scores,165
0831,postcode_not_in_seifa,143
0832,matched_all_scores,135
0834,matched_all_scores,160
0835,matched_all_scores,156
0836,matched_all_scores,162
0837,matched_all_scores,167
0838,matched_all_scores,151
0839,matched_all_scores,153
0840,matched_all_scores,143
0841,matched_all_scores,160
0845,matched_all_scores,153
0846,matched_all_scores,150
0847,matched_all_scores,178
0850,matched_all_scores,160
0851,postcode_not_in_seifa,139
0852,matched_all_scores,163
0853,matched_all_scores,184
0854,matched_all_scores,160
0860,matched_all_scores,159
0861,postcode_not_in_seifa,168
0862,matched_all_scores,160
0870,matched_all_scores,160
0871,postcode_not_in_seifa,184
0872,matched_all_scores,184
0873,matched_all_scores,157
0874,matched_all_scores,154
0875,matched_all_scores,158
0880,matched_all_scores,177
0881,postcode_not_in_seifa,164
0885,matched_all_scores,140
0886,matched_all_scores,178
0906,postcode_not_in_seifa,178
0907,postcode_not_in_seifa,169
0909,postcode_not_in_seifa,140
1001,postcode_not_in_seifa,162
1002,postcode_not_in_seifa,160
1003,postcode_not_in_seifa,178
1004,postcode_not_in_seifa,162
1005,postcode_not_in_seifa,155
1006,postcode_not_in_seifa,168
1007,postcode_not_in_seifa,163
1008,postcode_not_in_seifa,143
1009,postcode_not_in_seifa,157
1010,postcode_not_in_seifa,174
1020,postcode_not_in_seifa,152
1021,postcode_not_in_seifa,153
1022,postcode_not_in_seifa,157
1023,postcode_not_in_seifa,154
1025,postcode_not_in_seifa,137
1026,postcode_not_in_seifa,154
1027,postcode_not_in_seifa,160
1028,postcode_not_in_seifa,169
1029,postcode_not_in_seifa,155
1030,postcode_not_in_seifa,153
1031,postcode_not_in_seifa,145
1032,postcode_not_in_seifa,154
1033,postcode_not_in_seifa,159
1034,postcode_not_in_seifa,163
1035,postcode_not_in_seifa,170
1036,postcode_not_in_seifa,168
1037,postcode_not_in_seifa,160
1038,postcode_not_in_seifa,165
1039,postcode_not_in_seifa,144
1040,postcode_not_in_seifa,132
1041,postcode_not_in_seifa,152
1042,postcode_not_in_seifa,149
1043,postcode_not_in_seifa,133
1044,postcode_not_in_seifa,168
1045,postcode_not_in_seifa,153
1046,postcode_not_in_seifa,155
1100,postcode_not_in_seifa,162
1101,postcode_not_in_seifa,138
1105,postcode_not_in_seifa,143
1106,postcode_not_in_seifa,156
1107,postcode_not_in_seifa,156
1108,postcode_not_in_seifa,172
1109,postcode_not_in_seifa,152
1110,postcode_not_in_seifa,156
1112,postcode_not_in_seifa,148
1113,postcode_not_in_seifa,147
1114,postcode_not_in_seifa,184
1115,postcode_not_in_seifa,155
1116,postcode_not_in_seifa,143
1117,postcode_not_in_seifa,151
1118,postcode_not_in_seifa,162
1119,postcode_not_in_seifa,164
1120,postcode_not_in_seifa,163
1121,postcode_not_in_seifa,185
1122,postcode_not_in_seifa,155
1123,postcode_not_in_seifa,174
1124,postcode_not_in_seifa,142
1125,postcode_not_in_seifa,146
1126,postcode_not_in_seifa,152
1127,postcode_not_in_seifa,153
1128,postcode_not_in_seifa,149
1129,postcode_not_in_seifa,164
1130,postcode_not_in_seifa,167
1131,postcode_not_in_seifa,169
1132,postcode_not_in_seifa,185
1133,postcode_not_in_seifa,163
1134,postcode_not_in_seifa,142
1135,postcode_not_in_seifa,159
1136,postcode_not_in_seifa,137
1137,postcode_not_in_seifa,157
1138,postcode_not_in_seifa,144
1139,postcode_not_in_seifa,140
1140,postcode_not_in_seifa,156
1141,postcode_not_in_seifa,147
1142,postcode_not_in_seifa,160
1143,postcode_not_in_seifa,145
1144,postcode_not_in_seifa,169
1145,postcode_not_in_seifa,157
1146,postcode_not_in_seifa,148
1147,postcode_not_in_seifa,167
1148,postcode_not_in_seifa,177
1149,postcode_not_in_seifa,165
1150,postcode_not_in_seifa,136
1151,postcode_not_in_seifa,160
1152,postcode_not_in_seifa,144
1153,postcode_not_in_seifa,161
1154,postcode_not_in_seifa,142
1155,postcode_not_in_seifa,165
1156,postcode_not_in_seifa,155
1157,postcode_not_in_seifa,186
1158,postcode_not_in_seifa,154
1159,postcode_not_in_seifa,141
1160,postcode_not_in_seifa,135
1161,postcode_not_in_seifa,137
1162,postcode_not_in_seifa,187
1163,postcode_not_in_seifa,171
1164,postcode_not_in_seifa,158
1165,postcode_not_in_seifa,153
1166,postcode_not_in_seifa,153
1167,postcode_not_in_seifa,153
1168,postcode_not_in_seifa,155
1169,postcode_not_in_seifa,150
1170,postcode_not_in_seifa,167
1171,postcode_not_in_seifa,149
1172,postcode_not_in_seifa,166
1173,postcode_not_in_seifa,160
1174,postcode_not_in_seifa,150
1175,postcode_not_in_seifa,174
1176,postcode_not_in_seifa,145
1177,postcode_not_in_seifa,168
1178,postcode_not_in_seifa,164
1179,postcode_not_in_seifa,172
1180,postcode_not_in_seifa,155
1181,postcode_not_in_seifa,178
1182,postcode_not_in_seifa,155
1183,postcode_not_in_seifa,168
1184,postcode_not_in_seifa,154
1185,postcode_not_in_seifa,141
1186,postcode_not_in_seifa,150
1187,postcode_not_in_seifa,151
1188,postcode_not_in_seifa,152
1189,postcode_not_in_seifa,150
1190,postcode_not_in_seifa,157
1191,postcode_not_in_seifa,148
1192,postcode_not_in_seifa,166
1193,postcode_not_in_seifa,165
1194,postcode_not_in_seifa,140
1195,postcode_not_in_seifa,175
1196,postcode_not_in_seifa,185
1197,postcode_not_in_seifa,142
1198,postcode_not_in_seifa,172
1199,postcode_not_in_seifa,155
1201,postcode_not_in_seifa,147
1202,postcode_not_in_seifa,152
1203,postcode_not_in_seifa,145
1205,postcode_not_in_seifa,150
1207,postcode_not_in_seifa,163
1208,postcode_not_in_seifa,156
1209,postcode_not_in_seifa,177
1210,postcode_not_in_seifa,141
1211,postcode_not_in_seifa,181
1212,postcode_not_in_seifa,162
1213,postcode_not_in_seifa,146
1214,postcode_not_in_seifa,171
1215,postcode_not_in_seifa,166
1216,postcode_not_in_seifa,162
1217,postcode_not_in_seifa,168
1218,postcode_not_in_seifa,159
1219,postcode_not_in_seifa,154
1220,postcode_not_in_seifa,133
1221,postcode_not_in_seifa,174
1222,postcode_not_in_seifa,147
1223,postcode_not_in_seifa,163
1224,postcode_not_in_seifa,166
1225,postcode_not_in_seifa,146
1226,postcode_not_in_seifa,169
1227,postcode_not_in_seifa,166
1228,postcode_not_in_seifa,155
1229,postcode_not_in_seifa,153
1230,postcode_not_in_seifa,182
1231,postcode_not_in_seifa,154
1232,postcode_not_in_seifa,151
1233,postcode_not_in_seifa,159
1234,postcode_not_in_seifa,171
1235,postcode_not_in_seifa,141
1236,postcode_not_in_seifa,169
1237,postcode_not_in_seifa,151
1238,postcode_not_in_seifa,162
1239,postcode_not_in_seifa,154
1240,postcode_not_in_seifa,154
1291,postcode_not_in_seifa,172
1292,postcode_not_in_seifa,144
1293,postcode_not_in_seifa,152
1294,postcode_not_in_seifa,165
1295,postcode_not_in_seifa,153
1296,postcode_not_in_seifa,177
1297,postcode_not_in_seifa,155
1298,postcode_not_in_seifa,149
1299,postcode_not_in_seifa,161
1300,postcode_not_in_seifa,166
1314,postcode_not_in_seifa,174
1335,postcode_not_in_seifa,154
1340,postcode_not_in_seifa,155
1350,postcode_not_in_seifa,147
1355,postcode_not_in_seifa,143
1360,postcode_not_in_seifa,175
1401,postcode_not_in_seifa,149
1419,postcode_not_in_seifa,156
1420,postcode_not_in_seifa,175
1422,postcode_not_in_seifa,175
1423,postcode_not_in_seifa,173
1424,postcode_not_in_seifa,165
1425,postcode_not_in_seifa,154
1426,postcode_not_in_seifa,153
1427,postcode_not_in_seifa,161
1428,postcode_not_in_seifa,143
1429,postcode_not_in_seifa,142
1430,postcode_not_in_seifa,149
1435,postcode_not_in_seifa,140
1440,postcode_not_in_seifa,150
1441,postcode_not_in_seifa,144
1445,postcode_not_in_seifa,149
1450,postcode_not_in_seifa,146
1455,postcode_not_in_seifa,168
1460,postcode_not_in_seifa,156
1465,postcode_not_in_seifa,179
1466,postcode_not_in_seifa,151
1470,postcode_not_in_seifa,168
1475,postcode_not_in_seifa,153
1476,postcode_not_in_seifa,174
1480,postcode_not_in_seifa,132
1481,postcode_not_in_seifa,168
1484,postcode_not_in_seifa,167
1485,postcode_not_in_seifa,145
1490,postcode_not_in_seifa,158
1493,postcode_not_in_seifa,148
1495,postcode_not_in_seifa,145
1499,postcode_not_in_seifa,168
1515,postcode_not_in_seifa,180
1560,postcode_not_in_seifa,145
1565,postcode_not_in_seifa,153
1570,postcode_not_in_seifa,151
1585,postcode_not_in_seifa,147
1590,postcode_not_in_seifa,182
1595,postcode_not_in_seifa,143
1597,postcode_not_in_seifa,159
1602,postcode_not_in_seifa,183
1630,postcode_not_in_seifa,150
1635,postcode_not_in_seifa,173
1639,postcode_not_in_seifa,135
1640,postcode_not_in_seifa,147
1655,postcode_not_in_seifa,156
1658,postcode_not_in_seifa,163
1660,postcode_not_in_seifa,143
1670,postcode_not_in_seifa,157
1675,postcode_not_in_seifa,170
1680,postcode_not_in_seifa,142
1685,postcode_not_in_seifa,152
1700,postcode_not_in_seifa,155
1710,postcode_not_in_seifa,171
1715,postcode_not_in_seifa,134
1730,postcode_not_in_seifa,156
1740,postcode_not_in_seifa,150
1741,postcode_not_in_seifa,152
1750,postcode_not_in_seifa,131
1755,postcode_not_in_seifa,142
1765,postcode_not_in_seifa,156
1771,postcode_not_in_seifa,147
1781,postcode_not_in_seifa,143
1790,postcode_not_in_seifa,154
1800,postcode_not_in_seifa,150
1805,postcode_not_in_seifa,158
1811,postcode_not_in_seifa,155
1819,postcode_not_in_seifa,182
1825,postcode_not_in_seifa,164
1830,postcode_not_in_seifa,164
1831,postcode_not_in_seifa,176
1835,postcode_not_in_seifa,165
1851,postcode_not_in_seifa,145
1860,postcode_not_in_seifa,148
1871,postcode_not_in_seifa,129
1875,postcode_not_in_seifa,143
1885,postcode_not_in_seifa,163
1888,postcode_not_in_seifa,175
1890,postcode_not_in_seifa,171
1891,postcode_not_in_seifa,182
2000,matched_all_scores,159
2001,postcode_not_in_seifa,169
2002,postcode_not_in_seifa,164
2004,postcode_not_in_seifa,168
2006,postcode_not_in_seifa,158
2007,matched_all_scores,158
2008,matched_all_scores,153
2009,matched_all_scores,169
2010,matched_all_scores,153
2011,matched_all_scores,155
2012,postcode_not_in_seifa,166
2013,postcode_not_in_seifa,140
2015,matched_all_scores,160
2016,matched_all_scores,158
2017,matched_all_scores,138
2018,matched_all_scores,157
2019,matched_all_scores,156
2020,matched_all_scores,160
2021,matched_all_scores,141
2022,matched_all_scores,155
2023,matched_all_scores,165
2024,matched_all_scores,160
2025,matched_all_scores,158
2026,matched_all_scores,162
2027,matched_all_scores,178
2028,matched_all_scores,157
2029,matched_all_scores,156
2030,matched_all_scores,155
2031,matched_all_scores,162
2032,matched_all_scores,148
2033,matched_all_scores,153
2034,matched_all_scores,178
2035,matched_all_scores,152
2036,matched_all_scores,157
2037,matched_all_scores,151
2038,matched_all_scores,151
2039,matched_all_scores,160
2040,matched_all_scores,152
2041,matched_all_scores,180
2042,matched_all_scores,150
2043,matched_all_scores,149
2044,matched_all_scores,180
2045,matched_all_scores,158
2046,matched_all_scores,160
2047,matched_all_scores,157
2048,matched_all_scores,140
2049,matched_all_scores,159
2050,matched_all_scores,161
2052,postcode_not_in_seifa,150
2055,postcode_not_in_seifa,144
2057,postcode_not_in_seifa,172
2058,postcode_not_in_seifa,172
2059,postcode_not_in_seifa,156
2060,matched_all_scores,161
2061,matched_all_scores,174
2062,matched_all_scores,190
2063,matched_all_scores,148
2064,matched_all_scores,149
2065,matched_all_scores,166
2066,matched_all_scores,152
2067,matched_all_scores,136
2068,matched_all_scores,134
2069,matched_all_scores,161
2070,matched_all_scores,157
2071,matched_all_scores,139
2072,matched_all_scores,157
2073,matched_all_scores,142
2074,matched_all_scores,156
2075,matched_all_scores,140
2076,matched_all_scores,119
2077,matched_all_scores,159
2079,matched_all_scores,160
2080,matched_all_scores,138
2081,matched_all_scores,168
2082,matched_all_scores,180
2083,matched_all_scores,142
2084,matched_all_scores,151
2085,matched_all_scores,163
2086,matched_all_scores,155
2087,matched_all_scores,165
2088,matched_all_scores,167
2089,matched_all_scores,135
2090,matched_all_scores,154
2091,postcode_not_in_seifa,155
2092,matched_all_scores,160
2093,matched_all_scores,170
2094,matched_all_scores,175
2095,matched_all_scores,150
2096,matched_all_scores,184
2097,matched_all_scores,136
2099,matched_all_scores,169
2100,matched_all_scores,146
2101,matched_all_scores,152
2102,matched_all_scores,156
