seifa_postcode,seifa_match_status,consumer_rows
0200,postcode_not_in_seifa,145
0801,postcode_not_in_seifa,147
0804,postcode_not_in_seifa,156
0811,postcode_not_in_seifa,171
0813,postcode_not_in_seifa,157
0814,postcode_not_in_seifa,137
0815,postcode_not_in_seifa,156
0821,postcode_not_in_seifa,172
0831,postcode_not_in_seifa,143
0851,postcode_not_in_seifa,139
0861,postcode_not_in_seifa,168
0871,postcode_not_in_seifa,184
0881,postcode_not_in_seifa,164
0906,postcode_not_in_seifa,178
0907,postcode_not_in_seifa,169
0909,postcode_not_in_seifa,140
1001,postcode_not_in_seifa,162
1002,postcode_not_in_seifa,160
1003,postcode_not_in_seifa,178
1004,postcode_not_in_seifa,162
1005,postcode_not_in_seifa,155
1006,postcode_not_in_seifa,168
1007,postcode_not_in_seifa,163
1008,postcode_not_in_seifa,143
1009,postcode_not_in_seifa,157
1010,postcode_not_in_seifa,174
1020,postcode_not_in_seifa,152
1021,postcode_not_in_seifa,153
1022,postcode_not_in_seifa,157
1023,postcode_not_in_seifa,154
1025,postcode_not_in_seifa,137
1026,postcode_not_in_seifa,154
1027,postcode_not_in_seifa,160
1028,postcode_not_in_seifa,169
1029,postcode_not_in_seifa,155
1030,postcode_not_in_seifa,153
1031,postcode_not_in_seifa,145
1032,postcode_not_in_seifa,154
1033,postcode_not_in_seifa,159
1034,postcode_not_in_seifa,163
1035,postcode_not_in_seifa,170
1036,postcode_not_in_seifa,168
1037,postcode_not_in_seifa,160
1038,postcode_not_in_seifa,165
1039,postcode_not_in_seifa,144
1040,postcode_not_in_seifa,132
1041,postcode_not_in_seifa,152
1042,postcode_not_in_seifa,149
1043,postcode_not_in_seifa,133
1044,postcode_not_in_seifa,168
1045,postcode_not_in_seifa,153
1046,postcode_not_in_seifa,155
1100,postcode_not_in_seifa,162
1101,postcode_not_in_seifa,138
1105,postcode_not_in_seifa,143
1106,postcode_not_in_seifa,156
1107,postcode_not_in_seifa,156
1108,postcode_not_in_seifa,172
1109,postcode_not_in_seifa,152
1110,postcode_not_in_seifa,156
1112,postcode_not_in_seifa,148
1113,postcode_not_in_seifa,147
1114,postcode_not_in_seifa,184
1115,postcode_not_in_seifa,155
1116,postcode_not_in_seifa,143
1117,postcode_not_in_seifa,151
1118,postcode_not_in_seifa,162
1119,postcode_not_in_seifa,164
1120,postcode_not_in_seifa,163
1121,postcode_not_in_seifa,185
1122,postcode_not_in_seifa,155
1123,postcode_not_in_seifa,174
1124,postcode_not_in_seifa,142
1125,postcode_not_in_seifa,146
1126,postcode_not_in_seifa,152
1127,postcode_not_in_seifa,153
1128,postcode_not_in_seifa,149
1129,postcode_not_in_seifa,164
1130,postcode_not_in_seifa,167
1131,postcode_not_in_seifa,169
1132,postcode_not_in_seifa,185
1133,postcode_not_in_seifa,163
1134,postcode_not_in_seifa,142
1135,postcode_not_in_seifa,159
1136,postcode_not_in_seifa,137
1137,postcode_not_in_seifa,157
1138,postcode_not_in_seifa,144
1139,postcode_not_in_seifa,140
1140,postcode_not_in_seifa,156
1141,postcode_not_in_seifa,147
1142,postcode_not_in_seifa,160
1143,postcode_not_in_seifa,145
1144,postcode_not_in_seifa,169
1145,postcode_not_in_seifa,157
1146,postcode_not_in_seifa,148
1147,postcode_not_in_seifa,167
1148,postcode_not_in_seifa,177
1149,postcode_not_in_seifa,165
1150,postcode_not_in_seifa,136
1151,postcode_not_in_seifa,160
1152,postcode_not_in_seifa,144
1153,postcode_not_in_seifa,161
1154,postcode_not_in_seifa,142
1155,postcode_not_in_seifa,165
1156,postcode_not_in_seifa,155
1157,postcode_not_in_seifa,186
1158,postcode_not_in_seifa,154
1159,postcode_not_in_seifa,141
1160,postcode_not_in_seifa,135
1161,postcode_not_in_seifa,137
1162,postcode_not_in_seifa,187
1163,postcode_not_in_seifa,171
1164,postcode_not_in_seifa,158
1165,postcode_not_in_seifa,153
1166,postcode_not_in_seifa,153
1167,postcode_not_in_seifa,153
1168,postcode_not_in_seifa,155
1169,postcode_not_in_seifa,150
1170,postcode_not_in_seifa,167
1171,postcode_not_in_seifa,149
1172,postcode_not_in_seifa,166
1173,postcode_not_in_seifa,160
1174,postcode_not_in_seifa,150
1175,postcode_not_in_seifa,174
1176,postcode_not_in_seifa,145
1177,postcode_not_in_seifa,168
1178,postcode_not_in_seifa,164
1179,postcode_not_in_seifa,172
1180,postcode_not_in_seifa,155
1181,postcode_not_in_seifa,178
1182,postcode_not_in_seifa,155
1183,postcode_not_in_seifa,168
1184,postcode_not_in_seifa,154
1185,postcode_not_in_seifa,141
1186,postcode_not_in_seifa,150
1187,postcode_not_in_seifa,151
1188,postcode_not_in_seifa,152
1189,postcode_not_in_seifa,150
1190,postcode_not_in_seifa,157
1191,postcode_not_in_seifa,148
1192,postcode_not_in_seifa,166
1193,postcode_not_in_seifa,165
1194,postcode_not_in_seifa,140
1195,postcode_not_in_seifa,175
1196,postcode_not_in_seifa,185
1197,postcode_not_in_seifa,142
1198,postcode_not_in_seifa,172
1199,postcode_not_in_seifa,155
1201,postcode_not_in_seifa,147
1202,postcode_not_in_seifa,152
1203,postcode_not_in_seifa,145
1205,postcode_not_in_seifa,150
1207,postcode_not_in_seifa,163
1208,postcode_not_in_seifa,156
1209,postcode_not_in_seifa,177
1210,postcode_not_in_seifa,141
1211,postcode_not_in_seifa,181
1212,postcode_not_in_seifa,162
1213,postcode_not_in_seifa,146
1214,postcode_not_in_seifa,171
1215,postcode_not_in_seifa,166
1216,postcode_not_in_seifa,162
1217,postcode_not_in_seifa,168
1218,postcode_not_in_seifa,159
1219,postcode_not_in_seifa,154
1220,postcode_not_in_seifa,133
1221,postcode_not_in_seifa,174
1222,postcode_not_in_seifa,147
1223,postcode_not_in_seifa,163
1224,postcode_not_in_seifa,166
1225,postcode_not_in_seifa,146
1226,postcode_not_in_seifa,169
1227,postcode_not_in_seifa,166
1228,postcode_not_in_seifa,155
1229,postcode_not_in_seifa,153
1230,postcode_not_in_seifa,182
1231,postcode_not_in_seifa,154
1232,postcode_not_in_seifa,151
1233,postcode_not_in_seifa,159
1234,postcode_not_in_seifa,171
1235,postcode_not_in_seifa,141
1236,postcode_not_in_seifa,169
1237,postcode_not_in_seifa,151
1238,postcode_not_in_seifa,162
1239,postcode_not_in_seifa,154
1240,postcode_not_in_seifa,154
1291,postcode_not_in_seifa,172
1292,postcode_not_in_seifa,144
1293,postcode_not_in_seifa,152
1294,postcode_not_in_seifa,165
1295,postcode_not_in_seifa,153
1296,postcode_not_in_seifa,177
1297,postcode_not_in_seifa,155
1298,postcode_not_in_seifa,149
1299,postcode_not_in_seifa,161
1300,postcode_not_in_seifa,166
1314,postcode_not_in_seifa,174
1335,postcode_not_in_seifa,154
1340,postcode_not_in_seifa,155
1350,postcode_not_in_seifa,147
1355,postcode_not_in_seifa,143
1360,postcode_not_in_seifa,175
1401,postcode_not_in_seifa,149
1419,postcode_not_in_seifa,156
1420,postcode_not_in_seifa,175
1422,postcode_not_in_seifa,175
1423,postcode_not_in_seifa,173
1424,postcode_not_in_seifa,165
1425,postcode_not_in_seifa,154
1426,postcode_not_in_seifa,153
1427,postcode_not_in_seifa,161
1428,postcode_not_in_seifa,143
1429,postcode_not_in_seifa,142
1430,postcode_not_in_seifa,149
1435,postcode_not_in_seifa,140
1440,postcode_not_in_seifa,150
1441,postcode_not_in_seifa,144
1445,postcode_not_in_seifa,149
1450,postcode_not_in_seifa,146
1455,postcode_not_in_seifa,168
1460,postcode_not_in_seifa,156
1465,postcode_not_in_seifa,179
1466,postcode_not_in_seifa,151
1470,postcode_not_in_seifa,168
1475,postcode_not_in_seifa,153
1476,postcode_not_in_seifa,174
1480,postcode_not_in_seifa,132
1481,postcode_not_in_seifa,168
1484,postcode_not_in_seifa,167
1485,postcode_not_in_seifa,145
1490,postcode_not_in_seifa,158
1493,postcode_not_in_seifa,148
1495,postcode_not_in_seifa,145
1499,postcode_not_in_seifa,168
1515,postcode_not_in_seifa,180
1560,postcode_not_in_seifa,145
1565,postcode_not_in_seifa,153
1570,postcode_not_in_seifa,151
1585,postcode_not_in_seifa,147
1590,postcode_not_in_seifa,182
1595,postcode_not_in_seifa,143
1597,postcode_not_in_seifa,159
1602,postcode_not_in_seifa,183
1630,postcode_not_in_seifa,150
1635,postcode_not_in_seifa,173
1639,postcode_not_in_seifa,135
1640,postcode_not_in_seifa,147
1655,postcode_not_in_seifa,156
1658,postcode_not_in_seifa,163
1660,postcode_not_in_seifa,143
1670,postcode_not_in_seifa,157
1675,postcode_not_in_seifa,170
1680,postcode_not_in_seifa,142
1685,postcode_not_in_seifa,152
1700,postcode_not_in_seifa,155
1710,postcode_not_in_seifa,171
