postcode,population,seifa_irsd_excluded,seifa_irsad_excluded,seifa_ier_excluded,seifa_ieo_excluded,reason,special_geography
2308,1358,True,True,True,True,ordinary_poa_without_one_or_more_index_scores,False
2624,162,True,True,True,False,ordinary_poa_without_one_or_more_index_scores,False
2678,433,True,True,True,True,ordinary_poa_without_one_or_more_index_scores,False
3062,6,True,True,True,True,ordinary_poa_without_one_or_more_index_scores,False
3852,210,True,True,True,True,ordinary_poa_without_one_or_more_index_scores,False
5111,376,True,True,True,True,ordinary_poa_without_one_or_more_index_scores,False
5160,23,True,True,True,False,ordinary_poa_without_one_or_more_index_scores,False
5950,4,True,True,True,True,ordinary_poa_without_one_or_more_index_scores,False
6068,10,True,True,True,True,ordinary_poa_without_one_or_more_index_scores,False
6090,25,True,True,True,True,ordinary_poa_without_one_or_more_index_scores,False
6106,16,True,True,True,False,ordinary_poa_without_one_or_more_index_scores,False
6182,0,True,True,True,True,ordinary_poa_without_one_or_more_index_scores,False
6427,93,True,True,True,True,ordinary_poa_without_one_or_more_index_scores,False
6434,184,True,True,True,True,ordinary_poa_without_one_or_more_index_scores,False
6484,35,True,True,True,True,ordinary_poa_without_one_or_more_index_scores,False
6712,45,True,True,True,True,ordinary_poa_without_one_or_more_index_scores,False
7139,8,True,True,True,True,ordinary_poa_without_one_or_more_index_scores,False
9494,52069,True,True,True,True,no_usual_address,True
9797,864,True,True,True,True,migratory_offshore_shipping,True
