field,rows,missing_rows,missing_rate,distinct_nonmissing
poa_code,2641,0,0.0,2641
postcode,2641,0,0.0,2641
seifa_irsd_score,2641,17,0.006436955698599016,2592
seifa_irsd_national_rank,2641,17,0.006436955698599016,2624
seifa_irsd_national_decile,2641,17,0.006436955698599016,10
seifa_irsd_national_percentile,2641,17,0.006436955698599016,100
seifa_irsd_state_rank,2641,35,0.013252555850056797,689
seifa_irsd_state_decile,2641,35,0.013252555850056797,10
seifa_irsd_state_percentile,2641,35,0.013252555850056797,100
seifa_irsd_minimum_sa1_score,2641,17,0.006436955698599016,2502
seifa_irsd_maximum_sa1_score,2641,17,0.006436955698599016,2298
seifa_irsd_population_without_sa1_score_share,2641,17,0.006436955698599016,672
seifa_irsad_score,2641,17,0.006436955698599016,2592
seifa_irsad_national_rank,2641,17,0.006436955698599016,2624
seifa_irsad_national_decile,2641,17,0.006436955698599016,10
seifa_irsad_national_percentile,2641,17,0.006436955698599016,100
seifa_irsad_state_rank,2641,35,0.013252555850056797,689
seifa_irsad_state_decile,2641,35,0.013252555850056797,10
seifa_irsad_state_percentile,2641,35,0.013252555850056797,100
seifa_irsad_minimum_sa1_score,2641,17,0.006436955698599016,2507
seifa_irsad_maximum_sa1_score,2641,17,0.006436955698599016,2282
seifa_irsad_population_without_sa1_score_share,2641,17,0.006436955698599016,672
seifa_ier_score,2641,17,0.006436955698599016,2592
seifa_ier_national_rank,2641,17,0.006436955698599016,2624
seifa_ier_national_decile,2641,17,0.006436955698599016,10
seifa_ier_national_percentile,2641,17,0.006436955698599016,100
seifa_ier_state_rank,2641,35,0.013252555850056797,689
seifa_ier_state_decile,2641,35,0.013252555850056797,10
seifa_ier_state_percentile,2641,35,0.013252555850056797,100
seifa_ier_minimum_sa1_score,2641,17,0.006436955698599016,2512
seifa_ier_maximum_sa1_score,2641,17,0.006436955698599016,2316
seifa_ier_population_without_sa1_score_share,2641,17,0.006436955698599016,661
seifa_ieo_score,2641,14,0.005301022340022719,2595
seifa_ieo_national_rank,2641,14,0.005301022340022719,2627
seifa_ieo_national_decile,2641,14,0.005301022340022719,10
seifa_ieo_national_percentile,2641,14,0.005301022340022719,100
seifa_ieo_state_rank,2641,32,0.0121166224914805,689
seifa_ieo_state_decile,2641,32,0.0121166224914805,10
seifa_ieo_state_percentile,2641,32,0.0121166224914805,100
seifa_ieo_minimum_sa1_score,2641,14,0.005301022340022719,2507
seifa_ieo_maximum_sa1_score,2641,14,0.005301022340022719,2269
seifa_ieo_population_without_sa1_score_share,2641,14,0.005301022340022719,627
seifa_population,2641,0,0.0,2302
seifa_state,2641,14,0.005301022340022719,10
seifa_caution_low_sa1_representation,2641,14,0.005301022340022719,2
seifa_cross_state_boundary,2641,14,0.005301022340022719,2
seifa_irsd_excluded,2641,0,0.0,2
seifa_irsd_national_percentile_scaled,2641,17,0.006436955698599016,100
seifa_irsad_excluded,2641,0,0.0,2
seifa_irsad_national_percentile_scaled,2641,17,0.006436955698599016,100
seifa_ier_excluded,2641,0,0.0,2
seifa_ier_national_percentile_scaled,2641,17,0.006436955698599016,100
seifa_ieo_excluded,2641,0,0.0,2
seifa_ieo_national_percentile_scaled,2641,14,0.005301022340022719,100
seifa_score_missing_count,2641,0,0.0,3
seifa_any_score_available,2641,0,0.0,2
seifa_all_scores_available,2641,0,0.0,2
seifa_any_index_excluded,2641,0,0.0,2
seifa_source_year,2641,0,0.0,1
