poa_code,postcode,seifa_irsd_score,seifa_irsd_national_rank,seifa_irsd_national_decile,seifa_irsd_national_percentile,seifa_irsd_state_rank,seifa_irsd_state_decile,seifa_irsd_state_percentile,seifa_irsd_minimum_sa1_score,seifa_irsd_maximum_sa1_score,seifa_irsd_population_without_sa1_score_share,seifa_irsad_score,seifa_irsad_national_rank,seifa_irsad_national_decile,seifa_irsad_national_percentile,seifa_irsad_state_rank,seifa_irsad_state_decile,seifa_irsad_state_percentile,seifa_irsad_minimum_sa1_score,seifa_irsad_maximum_sa1_score,seifa_irsad_population_without_sa1_score_share,seifa_ier_score,seifa_ier_national_rank,seifa_ier_national_decile,seifa_ier_national_percentile,seifa_ier_state_rank,seifa_ier_state_decile,seifa_ier_state_percentile,seifa_ier_minimum_sa1_score,seifa_ier_maximum_sa1_score,seifa_ier_population_without_sa1_score_share,seifa_ieo_score,seifa_ieo_national_rank,seifa_ieo_national_decile,seifa_ieo_national_percentile,seifa_ieo_state_rank,seifa_ieo_state_decile,seifa_ieo_state_percentile,seifa_ieo_minimum_sa1_score,seifa_ieo_maximum_sa1_score,seifa_ieo_population_without_sa1_score_share,seifa_population,seifa_state,seifa_caution_low_sa1_representation,seifa_cross_state_boundary,seifa_irsd_excluded,seifa_irsd_national_percentile_scaled,seifa_irsad_excluded,seifa_irsad_national_percentile_scaled,seifa_ier_excluded,seifa_ier_national_percentile_scaled,seifa_ieo_excluded,seifa_ieo_national_percentile_scaled,seifa_score_missing_count,seifa_any_score_available,seifa_all_scores_available,seifa_any_index_excluded,seifa_source_year
POA0800,0800,1064.3497942,2202,9,84,30,9,89,944.50071828,1116.6909437,0.0004196391,1084.2614326,2320,9,89,32,10,95,966.85032468,1164.6901627,0.0004196391,921.3952539,231,1,9,15,5,45,788.46373661,1007.9575762,0.0004196391,1089.647675,2290,9,88,32,10,95,1012.6176443,1174.0374665,0.0004196391,7149,NT,False,False,False,0.84,False,0.89,False,0.09,False,0.88,0,True,True,False,2021
POA0810,0810,1026.802176,1681,7,65,24,8,71,684.01623271,1139.4020543,0.0056510341,1036.2668418,1975,8,76,26,8,77,813.52824634,1180.8052518,0.0056510341,992.86721781,1159,5,45,24,8,71,566.34798316,1158.6719117,0.0056510341,1047.6207941,2057,8,79,30,9,89,831.69835907,1150.7529342,0.0056510341,34330,NT,False,False,False,0.65,False,0.76,False,0.45,False,0.79,0,True,True,False,2021
POA0812,0812,981.13716196,971,4,37,18,6,53,691.4728736,1086.8879758,0.0023076097,981.72097909,1366,6,53,20,6,59,794.29437382,1084.9607401,0.0023076097,977.77728475,895,4,35,21,7,62,668.27046117,1087.2581312,0.0023076097,978.90562564,1418,6,54,21,7,62,847.46982969,1064.2236085,0.0023076097,18634,NT,False,False,False,0.37,False,0.53,False,0.35,False,0.54,0,True,True,False,2021
POA0820,0820,1061.2508063,2164,9,83,29,9,86,215.64896426,1175.2602969,0.0062751004,1075.7218767,2271,9,87,30,9,89,504.07733826,1205.1577024,0.0062751004,981.89635565,966,4,37,22,7,65,346.9340271,1175.5397184,0.0062751004,1076.3265386,2217,9,85,31,10,92,678.72488961,1148.927285,0.0057228916,19920,NT,False,False,False,0.83,False,0.87,False,0.37,False,0.85,0,True,True,False,2021
POA0822,0822,601.5522073,6,1,1,2,1,6,285.97393516,1065.7893032,0.0154977018,760.60445857,11,1,1,3,1,9,519.48351496,1053.3252719,0.0154977018,630.68675848,9,1,1,2,1,6,367.57055999,1105.9588957,0.0154977018,885.78989871,251,1,10,8,3,24,705.39307238,1150.7261285,0.0141084414,25304,NT,False,False,False,0.01,False,0.01,False,0.01,False,0.1,0,True,True,False,2021
POA0828,0828,989.31979488,1105,5,43,21,7,62,881.45868377,1131.8645439,0.0288744844,999.91593027,1615,7,62,22,7,65,934.58660166,1113.6875126,0.0288744844,975.65430669,850,4,33,20,6,59,858.85048603,1177.1049154,0.012374779,985.14434625,1494,6,57,24,8,71,857.50182697,1046.665059,0.012374779,1697,NT,False,False,False,0.43,False,0.62,False,0.33,False,0.57,0,True,True,False,2021
POA0829,0829,892.68896573,198,1,8,9,3,27,892.68896573,892.68896573,0.9103413143,857.5614064,103,1,4,7,3,21,857.5614064,857.5614064,0.9103413143,873.25143639,91,1,4,10,3,30,873.25143639,873.25143639,0.9103413143,841.9890994,52,1,2,1,1,3,831.59136344,937.21047083,0.9006622517,1963,NT,False,False,False,0.08,False,0.04,False,0.04,False,0.02,0,True,True,False,2021
POA0830,0830,969.59128737,823,4,32,17,6,51,714.56196106,1116.1383711,0.0003243068,963.34138157,1105,5,43,17,6,51,771.29546872,1119.5737306,0.0003243068,956.51072627,565,3,22,19,6,56,721.37207926,1164.2882164,0.0003243068,948.90935961,1025,4,40,13,4,39,763.52400598,1069.6727354,0.0003243068,18501,NT,False,False,False,0.32,False,0.43,False,0.22,False,0.4,0,True,True,False,2021
POA0832,0832,1048.4485772,1997,8,77,26,8,77,444.87837937,1110.395642,0.0,1032.4786194,1947,8,75,25,8,74,681.83815746,1112.572935,0.0,1025.3109696,1699,7,65,29,9,86,446.7264914,1152.8758506,0.0,994.01646706,1583,7,61,25,8,74,850.24429391,1073.6317219,0.0,18727,NT,False,False,False,0.77,False,0.75,False,0.65,False,0.61,0,True,True,False,2021
POA0834,0834,1057.3890146,2109,9,81,27,8,80,1007.2577988,1090.9980756,0.0,1050.6178154,2099,8,80,28,9,83,1001.881554,1088.6384322,0.0,1077.2942162,2329,9,89,31,10,92,993.20503829,1136.3905754,0.0,983.33248986,1472,6,57,22,7,65,939.06028141,1006.4941803,0.0,1811,NT,False,False,False,0.81,False,0.8,False,0.89,False,0.57,0,True,True,False,2021
