industry_group,order_year,order_month,revenue,transactions,active_merchants,days_with_data,avg_daily_revenue,is_full_month,revenue_index
"Art, Gifts, Jewellery & Fashion",2021,2,393884.24598359736,2676,285,1,393884.24598359736,False,2.8505773230837974
"Art, Gifts, Jewellery & Fashion",2021,3,13817700.81428584,87462,566,31,445732.2843318013,True,100.0
"Art, Gifts, Jewellery & Fashion",2021,4,13923257.848379452,90118,570,30,464108.59494598175,True,100.76392618071799
"Art, Gifts, Jewellery & Fashion",2021,5,15587077.38292753,101690,573,31,502808.9478363719,True,112.80514459259652
"Art, Gifts, Jewellery & Fashion",2021,6,15161024.475793429,100462,567,30,505367.4825264476,True,109.72175964411352
"Art, Gifts, Jewellery & Fashion",2021,7,16434871.67156567,105041,572,31,530157.1506956668,True,118.94071157318726
"Art, Gifts, Jewellery & Fashion",2021,8,17338241.602354303,110241,585,31,559298.1162049775,True,125.47848470151159
"Art, Gifts, Jewellery & Fashion",2021,9,16637265.660966262,108830,580,30,554575.5220322087,True,120.40545590454043
"Art, Gifts, Jewellery & Fashion",2021,10,17998594.54136747,117037,589,31,580599.8239150797,True,130.25752101072482
"Art, Gifts, Jewellery & Fashion",2021,11,24556192.544124603,158867,604,30,818539.7514708202,True,177.71547433373613
"Art, Gifts, Jewellery & Fashion",2021,12,23798276.708001666,153620,593,31,767686.3454194085,True,172.23036616480442
"Art, Gifts, Jewellery & Fashion",2022,1,13771326.097315704,88732,577,31,444236.32571986143,True,99.6643818129121
"Art, Gifts, Jewellery & Fashion",2022,2,13328879.19425315,85250,574,28,476031.3997947554,True,96.46235197445216
"Art, Gifts, Jewellery & Fashion",2022,3,16532881.403936911,105631,580,31,533318.7549657068,True,119.65001722170668
"Art, Gifts, Jewellery & Fashion",2022,4,17183213.726602446,108628,573,30,572773.7908867482,True,124.35653338822527
"Art, Gifts, Jewellery & Fashion",2022,5,18787253.821096588,122742,587,31,606040.4458418255,True,135.9651223716816
"Art, Gifts, Jewellery & Fashion",2022,6,18493727.946821366,121155,590,30,616457.5982273788,True,133.84084802083046
"Art, Gifts, Jewellery & Fashion",2022,7,19442885.07812372,127255,585,31,627189.8412297973,True,140.70998742440648
"Art, Gifts, Jewellery & Fashion",2022,8,20241340.63918118,132556,587,31,652946.4722316511,True,146.48848539443026
"Art, Gifts, Jewellery & Fashion",2022,9,19660491.960038632,131119,589,30,655349.7320012877,True,142.28482888927547
"Art, Gifts, Jewellery & Fashion",2022,10,17717966.039397188,118238,582,26,681460.2322845072,False,128.2265861559178
"Creative, Books & Leisure",2021,2,538026.9632180508,1930,335,1,538026.9632180508,False,3.1642256440799774
"Creative, Books & Leisure",2021,3,17003432.23703587,61134,772,31,548497.8140979313,True,100.0
"Creative, Books & Leisure",2021,4,17526393.24207837,62935,783,30,584213.108069279,True,103.07562024979534
"Creative, Books & Leisure",2021,5,20076076.156318106,71079,773,31,647615.3598812292,True,118.07072758280874
"Creative, Books & Leisure",2021,6,19566020.85648651,70336,778,30,652200.695216217,True,115.07100792197096
"Creative, Books & Leisure",2021,7,20785909.8566162,73228,779,31,670513.2211811678,True,122.24537709122963
"Creative, Books & Leisure",2021,8,21592642.03947318,77151,782,31,696536.8399830058,True,126.98990261766893
"Creative, Books & Leisure",2021,9,21519721.759796873,76194,789,30,717324.0586598958,True,126.56104638052949
"Creative, Books & Leisure",2021,10,22859463.331946675,82054,792,31,737402.0429660218,True,134.4402883681069
"Creative, Books & Leisure",2021,11,31260329.693033934,111136,803,30,1042010.9897677978,True,183.84717424841165
"Creative, Books & Leisure",2021,12,29954009.574919023,107228,807,31,966258.3733844846,True,176.16448936512342
"Creative, Books & Leisure",2022,1,17522488.681228016,62006,765,31,565241.5703621941,True,103.05265688101233
"Creative, Books & Leisure",2022,2,16750547.259080945,59853,763,28,598233.8306814623,True,98.5127415781144
"Creative, Books & Leisure",2022,3,20760426.252578262,73848,779,31,669691.1694380085,True,122.09550379692831
"Creative, Books & Leisure",2022,4,21162080.130525112,75748,779,30,705402.6710175037,True,124.45769674919585
"Creative, Books & Leisure",2022,5,23958591.22273172,85513,797,31,772857.7813784427,True,140.90444146062777
"Creative, Books & Leisure",2022,6,23381533.625084095,84183,796,30,779384.4541694698,True,137.51067019372607
"Creative, Books & Leisure",2022,7,24904401.38108355,88955,791,31,803367.7864865662,True,146.46690758609464
"Creative, Books & Leisure",2022,8,25977687.717512265,92681,798,31,837989.9263713633,True,152.77908221923101
"Creative, Books & Leisure",2022,9,25410631.314195633,91530,796,30,847021.0438065211,True,149.44412963194395
"Creative, Books & Leisure",2022,10,23269160.786416717,82870,790,26,894967.7225544892,False,136.84978692556675
"Digital, Technology & Communications",2021,2,509525.9134575286,4159,496,1,509525.9134575286,False,3.0249077351797347
"Digital, Technology & Communications",2021,3,16844345.615297038,134969,820,31,543365.987590227,True,100.0
"Digital, Technology & Communications",2021,4,17452983.590020012,139026,826,30,581766.1196673338,True,103.61330732949486
"Digital, Technology & Communications",2021,5,19551903.084042672,157525,828,31,630706.5510981507,True,116.07398429468694
"Digital, Technology & Communications",2021,6,19433672.487382762,155624,830,30,647789.0829127587,True,115.37208349450067
"Digital, Technology & Communications",2021,7,20132738.392463524,162291,825,31,649443.1739504363,True,119.5222352489619
"Digital, Technology & Communications",2021,8,21127601.669068936,170572,826,31,681535.5377119011,True,125.42845030371556
"Digital, Technology & Communications",2021,9,21068286.233795244,167783,832,30,702276.2077931748,True,125.07631174856846
"Digital, Technology & Communications",2021,10,22315428.396181107,181036,827,31,719852.528909068,True,132.4802334613436
"Digital, Technology & Communications",2021,11,30594701.52804971,245707,850,30,1019823.3842683237,True,181.63187948521679
"Digital, Technology & Communications",2021,12,29337320.43801853,236742,838,31,946365.1754199526,True,174.16717222529624
"Digital, Technology & Communications",2022,1,16927504.5855816,136825,816,31,546048.5350187613,True,100.4936907148773
"Digital, Technology & Communications",2022,2,16417143.22487854,131330,814,28,586326.5437456622,True,97.46382317143542
"Digital, Technology & Communications",2022,3,20159785.23424929,162464,830,31,650315.6527177191,True,119.68280451299553
"Digital, Technology & Communications",2022,4,20800667.664180133,167098,819,30,693355.5888060045,True,123.48753783162817
"Digital, Technology & Communications",2022,5,23275527.849623136,187881,836,31,750823.4790201011,True,138.1800657692851
"Digital, Technology & Communications",2022,6,23058344.836931918,186296,824,30,768611.4945643973,True,136.8907131422885
"Digital, Technology & Communications",2022,7,24501674.920529455,195535,832,31,790376.6103396598,True,145.45934570636263
"Digital, Technology & Communications",2022,8,25585589.480321772,205010,846,31,825341.596139412,True,151.8942324306529
"Digital, Technology & Communications",2022,9,25203181.497076713,202278,834,30,840106.049902557,True,149.62398702024183
"Digital, Technology & Communications",2022,10,22807512.344032947,181900,834,26,877212.0132320364,False,135.40159329977482
"Home, Garden & Living",2021,2,639613.0767420873,4406,385,1,639613.0767420873,False,3.183274957521586
"Home, Garden & Living",2021,3,20092925.847664542,138054,749,31,648158.8983117595,True,100.0
"Home, Garden & Living",2021,4,20549912.505312145,141187,755,30,684997.0835104048,True,102.27436591919101
"Home, Garden & Living",2021,5,23431835.252159264,161168,772,31,755865.6532954602,True,116.61733801144155
"Home, Garden & Living",2021,6,22558075.81130235,157777,769,30,751935.860376745,True,112.26874563877584
"Home, Garden & Living",2021,7,24040518.68829383,165530,778,31,775500.602848188,True,119.646679983583
"Home, Garden & Living",2021,8,25224497.543006238,173411,766,31,813693.4691292335,True,125.53919590529993
"Home, Garden & Living",2021,9,24726854.10102551,171417,772,30,824228.4700341837,True,123.06248621277614
"Home, Garden & Living",2021,10,26848141.638300397,183842,779,31,866069.0851064645,True,133.6198712016898
"Home, Garden & Living",2021,11,35795244.1688105,249296,791,30,1193174.8056270168,True,178.1484908678498
"Home, Garden & Living",2021,12,35112959.34776006,242000,785,31,1132676.10799226,True,174.75284393109595
"Home, Garden & Living",2022,1,20299892.948917247,139000,755,31,654835.2564166854,True,101.03004959467742
"Home, Garden & Living",2022,2,19243841.77713431,133500,754,28,687280.0634690825,True,95.77421388518724
"Home, Garden & Living",2022,3,24317744.398231808,165871,760,31,784443.367684897,True,121.0263979601474
"Home, Garden & Living",2022,4,24782762.527213287,170025,765,30,826092.0842404428,True,123.34073551609637
"Home, Garden & Living",2022,5,27754964.16221517,192532,782,31,895321.4245875861,True,138.13301443821933
"Home, Garden & Living",2022,6,27595042.324313786,190386,784,30,919834.7441437929,True,137.337103284643
"Home, Garden & Living",2022,7,28834206.57155917,199842,785,31,930135.6958567473,True,143.50427006085152
"Home, Garden & Living",2022,8,30036531.828783914,208766,776,31,968920.3815736746,True,149.488093752534
"Home, Garden & Living",2022,9,29825595.014778007,205929,777,30,994186.5004926003,True,148.43828738981148
"Home, Garden & Living",2022,10,26854410.1555197,186868,784,26,1032861.92905845,False,133.6510688344628
"Mobility, Health & Specialist Services",2021,2,495049.8340817197,3232,421,1,495049.8340817197,False,3.15028072590954
"Mobility, Health & Specialist Services",2021,3,15714467.285730237,102342,770,31,506918.2995396851,True,100.0
"Mobility, Health & Specialist Services",2021,4,16047492.50881159,104670,770,30,534916.4169603863,True,102.11922693290252
"Mobility, Health & Specialist Services",2021,5,18066505.85492466,119070,782,31,582790.5114491826,True,114.96734522671493
"Mobility, Health & Specialist Services",2021,6,17837692.447552297,117085,771,30,594589.7482517433,True,113.51127673128371
"Mobility, Health & Specialist Services",2021,7,18620554.693110466,122410,772,31,600663.0546164666,True,118.49306982247592
"Mobility, Health & Specialist Services",2021,8,19674239.732014846,129218,777,31,634652.8945811241,True,125.19826077642695
"Mobility, Health & Specialist Services",2021,9,19133267.78147863,126229,772,30,637775.5927159543,True,121.75575177691759
"Mobility, Health & Specialist Services",2021,10,20741952.957779896,135984,773,31,669095.2567025772,True,131.99272097893478
"Mobility, Health & Specialist Services",2021,11,28285343.211724784,185544,783,30,942844.7737241595,True,179.9955588530177
"Mobility, Health & Specialist Services",2021,12,27171189.42944807,178854,792,31,876489.981595099,True,172.90557125102984
"Mobility, Health & Specialist Services",2022,1,15895346.417320719,103551,781,31,512753.11023615225,True,101.15103571951644
"Mobility, Health & Specialist Services",2022,2,15143327.372661658,99162,768,28,540833.120452202,True,96.36551527529532
"Mobility, Health & Specialist Services",2022,3,18970512.651409037,123271,778,31,611952.0210131948,True,120.72004927991102
"Mobility, Health & Specialist Services",2022,4,19230431.74953224,125801,772,30,641014.3916510748,True,122.37406079297853
"Mobility, Health & Specialist Services",2022,5,21785829.076658122,142624,780,31,702768.6798921975,True,138.63549225395047
"Mobility, Health & Specialist Services",2022,6,21454635.106887992,141407,781,30,715154.5035629331,True,136.5279186165617
"Mobility, Health & Specialist Services",2022,7,22431167.126862984,147689,776,31,723586.0363504188,True,142.74214148660292
"Mobility, Health & Specialist Services",2022,8,23525370.68309893,154336,786,31,758882.9252612558,True,149.70517457159687
"Mobility, Health & Specialist Services",2022,9,23368296.70776521,152819,791,30,778943.2235921737,True,148.7056244597305
"Mobility, Health & Specialist Services",2022,10,21206183.828934528,137577,782,26,815622.4549590203,False,134.94688329773118
Unclassified,2021,2,207989.45999377497,704,97,1,207989.45999377497,False,2.733570828295526
Unclassified,2021,3,7608709.3789870255,22372,298,31,245442.23803183954,True,100.0
Unclassified,2021,4,7611813.921227355,22744,299,30,253727.13070757847,True,100.04080248154703
Unclassified,2021,5,9287515.6330242,26134,309,31,299597.27848465164,True,122.06427096129515
Unclassified,2021,6,9055021.339640083,25864,313,30,301834.0446546694,True,119.00863718947312
Unclassified,2021,7,9603615.012433795,26779,317,31,309794.0326591547,True,126.21871245281231
Unclassified,2021,8,9498673.074894568,28229,312,31,306408.8088675667,True,124.83947804771012
Unclassified,2021,9,9787212.295264965,28071,316,30,326240.4098421655,True,128.63170095961755
Unclassified,2021,10,10468210.558785578,29666,308,31,337684.2115737283,True,137.58194770450345
Unclassified,2021,11,14313168.961282466,40676,324,30,477105.63204274885,True,188.11559554122474
Unclassified,2021,12,13992125.31674046,39203,333,31,451358.88118517614,True,183.896172396629
Unclassified,2022,1,7910971.483296774,22364,297,31,255192.62849344432,True,103.97258048972809
Unclassified,2022,2,7278643.81792261,21673,302,28,259951.5649258075,True,95.66200330931343
Unclassified,2022,3,9528312.48403465,26883,311,31,307364.9188398274,True,125.22902386505908
Unclassified,2022,4,9614817.508659337,27732,306,30,320493.9169553112,True,126.36594499472645
Unclassified,2022,5,10754852.102650326,31387,312,31,346930.71298872016,True,141.34922977018945
Unclassified,2022,6,11194705.033678537,30757,327,30,373156.83445595123,True,147.13014357724
Unclassified,2022,7,11129202.221446596,32197,326,31,359006.52327247086,True,146.26925102675256
Unclassified,2022,8,11903034.966310319,33795,319,31,383968.869880978,True,156.43960589667063
Unclassified,2022,9,11376330.821123645,33421,320,30,379211.02737078816,True,149.5172210485744
Unclassified,2022,10,10523228.351523,30179,315,26,404739.5519816539,False,138.3050373902439
