transaction_date,transaction_count,total_amount,average_amount,active_users,active_merchants,transaction_count_7d_ma,total_amount_7d_ma
2021-02-28,17107,2784089.4934767457,162.74563006235726,12259,2019,17107.0,2784089.4934767457
2021-03-01,15170,2435135.556606997,160.52310854363856,11248,1906,16138.5,2609612.5250418712
2021-03-02,15417,2543122.2863270147,164.9557168273344,11332,1944,15898.0,2587449.112136919
2021-03-03,16093,2688663.3637337848,167.07036374409898,11715,2006,15946.75,2612752.6750361356
2021-03-04,16988,2915739.9411914316,171.63526849490415,12181,1978,16155.0,2673350.1282671946
2021-03-05,17697,3018162.3881836995,170.54655524573087,12551,2048,16412.0,2730818.8382532788
2021-03-06,16924,2954777.959991407,174.5909926726192,12186,2010,16485.14285714286,2762812.998501583
2021-03-07,16798,2835638.439838306,168.80809857353887,12126,2010,16441.0,2770177.1336960914
2021-03-08,16262,2632684.411956135,161.8917975621778,11824,1998,16597.0,2798398.3987459685
2021-03-09,15972,2615274.2737861793,163.74118919272348,11634,1949,16676.285714285714,2808705.825525849
2021-03-10,15945,2619319.363558736,164.272145723345,11671,1953,16655.14285714286,2798799.5397865563
2021-03-11,17169,2882075.5229552425,167.86507792854812,12288,2014,16681.0,2793990.3371813865
2021-03-12,17555,2798006.492488676,159.38516049494027,12542,2056,16660.714285714286,2762539.4949392406
2021-03-13,18002,3137184.0780980308,174.26864115642877,12685,2059,16814.714285714286,2788597.511811615
2021-03-14,18441,3120018.2117290716,169.18920946418694,12844,2051,17049.428571428572,2829223.1935102963
2021-03-15,16904,2904572.963894135,171.8275534722039,12172,2042,17141.14285714286,2868064.4152157246
2021-03-16,16297,2668410.5083310474,163.73630167092392,11835,2003,17187.571428571428,2875655.305864991
2021-03-17,18687,3036720.8465201054,162.50446013378848,13068,2093,17579.285714285714,2935284.0891451873
2021-03-18,20525,3448480.4611664615,168.01366436864612,13792,2158,18058.714285714286,3016199.0803182186
2021-03-19,21007,3545789.127018592,168.7908376740416,14003,2175,18551.85714285714,3123025.170965349
2021-03-20,20679,3477760.7420258103,168.1783810641622,13905,2134,18934.285714285714,3171678.980097889
2021-03-21,20573,3454982.9416462067,167.93773108667705,13862,2129,19238.85714285714,3219531.084371765
2021-03-22,18238,2958303.1339747603,162.2054575049216,12875,2062,19429.428571428572,3227206.8229547115
2021-03-23,16268,2699106.1071565817,165.91505453384445,11826,2013,19425.285714285714,3231591.9085012167
2021-03-24,16457,2842921.9810865056,172.7484949314277,11881,2008,19106.714285714286,3203906.356296417
2021-03-25,18436,3060174.415554624,165.9890657167837,12869,2065,18808.285714285714,3148434.0640661544
2021-03-26,19087,3036334.3798160884,159.07865981118502,13162,2078,18534.0,3075654.814465796
2021-03-27,18136,3065047.403944017,169.00349602690875,12722,2044,18170.714285714286,3016695.766168398
2021-03-28,18695,3103529.2948222444,166.00852071795904,13012,2084,17902.428571428572,2966488.102336403
2021-03-29,17101,2949264.560448971,172.46152625279055,12263,2016,17740.0,2965196.8775470043
2021-03-30,16635,2664806.60556038,160.1927625825296,12074,1979,17792.428571428572,2960296.948747547
2021-03-31,18175,2969573.415589475,163.3878082855282,12833,2041,18037.85714285714,2978390.0108194
2021-04-01,18489,3189437.3978881114,172.50459180529566,12976,2107,18045.428571428572,2996856.151152755
2021-04-02,18095,2946520.0757904532,162.83614676929832,12688,2092,17903.714285714286,2984025.5362919504
2021-04-03,18383,2996952.0163599234,163.02845108850153,12843,2068,17939.0,2974297.6237799367
2021-04-04,17225,2891267.7657720693,167.8529907559982,12300,2024,17729.0,2943974.5482013407
2021-04-05,17559,3001625.770177089,170.9451432414767,12506,2072,17794.428571428572,2951454.721019643
2021-04-06,16503,2830554.8309784746,171.5175926182194,11973,1979,17775.571428571428,2975133.038936514
2021-04-07,17547,2751245.7727242,156.792943108463,12463,2053,17685.85714285714,2943943.375670046
2021-04-08,18063,2921454.6288621253,161.736955592212,12641,2065,17625.0,2905660.1229520477
2021-04-09,18702,3055517.477863482,163.3791828608428,12889,2050,17711.714285714286,2921231.180391052
