merchant_category,merchant_count
"digital goods: books, movies, music",195
artist supply and craft shops,193
"computer programming , data processing, and integrated systems design services",191
shoe shops,185
"furniture, home furnishings and equipment shops, and manufacturers, except appliances",182
"gift, card, novelty, and souvenir shops",182
"computers, computer peripheral equipment, and software",181
"florists supplies, nursery stock, and flowers",180
tent and awning shops,178
"cable, satellite, and other pay television and radio services",175
"watch, clock, and jewelry repair shops",170
bicycle shops - sales and service,170
"music shops - musical instruments, pianos, and sheet music",167
"books, periodicals, and newspapers",164
health and beauty spas,164
"stationery, office supplies and printing and writing paper",161
"lawn and garden supply outlets, including nurseries",153
motor vehicle supplies and new parts,151
"opticians, optical goods, and eyeglasses",151
"hobby, toy and game shops",142
"equipment, tool, furniture, and appliance rent al and leasing",134
"antique shops - sales, repairs, and restoration services",129
telecom,125
art dealers and galleries,112
"jewelry, watch, clock, and silverware shops",91
