broad_category,merchant_category,merchant_count
"1. Digital, Technology & Communications","cable, satellite, and other pay television and radio services",175
"1. Digital, Technology & Communications","computer programming , data processing, and integrated systems design services",191
"1. Digital, Technology & Communications","computers, computer peripheral equipment, and software",181
"1. Digital, Technology & Communications","digital goods: books, movies, music",195
"1. Digital, Technology & Communications",telecom,125
"2. Home, Garden & Living","equipment, tool, furniture, and appliance rent al and leasing",134
"2. Home, Garden & Living","florists supplies, nursery stock, and flowers",180
"2. Home, Garden & Living","furniture, home furnishings and equipment shops, and manufacturers, except appliances",182
"2. Home, Garden & Living","lawn and garden supply outlets, including nurseries",153
"2. Home, Garden & Living",tent and awning shops,178
"3. Mobility, Health & Specialist Services",bicycle shops - sales and service,170
"3. Mobility, Health & Specialist Services",health and beauty spas,164
"3. Mobility, Health & Specialist Services",motor vehicle supplies and new parts,151
"3. Mobility, Health & Specialist Services","opticians, optical goods, and eyeglasses",151
"3. Mobility, Health & Specialist Services","watch, clock, and jewelry repair shops",170
"4. Creative, Books & Leisure",artist supply and craft shops,193
"4. Creative, Books & Leisure","books, periodicals, and newspapers",164
"4. Creative, Books & Leisure","hobby, toy and game shops",142
"4. Creative, Books & Leisure","music shops - musical instruments, pianos, and sheet music",167
"4. Creative, Books & Leisure","stationery, office supplies and printing and writing paper",161
"5. Art, Gifts, Jewellery & Fashion","antique shops - sales, repairs, and restoration services",129
"5. Art, Gifts, Jewellery & Fashion",art dealers and galleries,112
"5. Art, Gifts, Jewellery & Fashion","gift, card, novelty, and souvenir shops",182
"5. Art, Gifts, Jewellery & Fashion","jewelry, watch, clock, and silverware shops",91
"5. Art, Gifts, Jewellery & Fashion",shoe shops,185
