transaction_date,transaction_count,total_amount,active_users,active_merchants
2021-02-01,17107,2784089.4934767457,12259,2019
2021-03-01,546333,91081581.17900072,14003,2175
2021-04-01,560680,93111853.6158288,14223,2182
2021-05-01,636666,106000913.36339629,14654,2215
2021-06-01,627148,103611507.4181573,14551,2207
2021-07-01,655279,109618208.3144837,14918,2251
2021-08-01,688822,114455895.6608122,16009,2310
2021-09-01,678524,112872607.8323277,15304,2265
2021-10-01,729619,121231791.42436105,15704,2302
2021-11-01,991226,164804980.10702625,22230,2878
2021-12-01,957647,159365880.8148878,20388,2684
2022-01-01,552478,92327530.21366009,13367,2135
2022-02-01,530768,88162382.6459312,14019,2173
2022-03-01,657968,110269662.4244399,15588,2306
2022-04-01,675032,112773973.3067129,15734,2313
2022-05-01,762679,126317018.23497497,16205,2342
2022-06-01,754184,125177988.87371781,16300,2343
2022-07-01,791473,131243537.29960541,16647,2351
2022-08-01,827144,137269555.31520852,17750,2437
2022-09-01,817096,134844527.31497774,16966,2382
2022-10-01,737632,122378461.50582412,17218,2423
