table,column_name,column_type,null
tbl_consumer,name,VARCHAR,YES
tbl_consumer,address,VARCHAR,YES
tbl_consumer,state,VARCHAR,YES
tbl_consumer,postcode,BIGINT,YES
tbl_consumer,gender,VARCHAR,YES
tbl_consumer,consumer_id,BIGINT,YES
consumer_user_details,user_id,BIGINT,YES
consumer_user_details,consumer_id,BIGINT,YES
tbl_merchants,name,VARCHAR,YES
tbl_merchants,tags,VARCHAR,YES
tbl_merchants,merchant_abn,BIGINT,YES
transactions,user_id,BIGINT,YES
transactions,merchant_abn,BIGINT,YES
transactions,dollar_value,DOUBLE,YES
transactions,order_id,VARCHAR,YES
transactions,order_datetime,DATE,YES
consumer_fraud_probability,user_id,BIGINT,YES
consumer_fraud_probability,order_datetime,DATE,YES
consumer_fraud_probability,fraud_probability,DOUBLE,YES
merchant_fraud_probability,merchant_abn,BIGINT,YES
merchant_fraud_probability,order_datetime,DATE,YES
merchant_fraud_probability,fraud_probability,DOUBLE,YES
