log10_amount_bin,transaction_count
0.0,12694
0.05,14742
0.1,17107
0.15,19905
0.2,22070
0.25,25320
0.3,28683
0.35,32795
0.4,37373
0.45,42281
0.5,47722
0.55,54501
0.6,67576
0.65,76337
0.7,86188
0.75,97817
0.8,110077
0.85,123705
0.9,139954
0.95,157072
1.0,176187
1.05,196975
1.1,219279
1.15,243765
1.2,269240
1.25,296230
1.3,325600
1.35,354023
1.4,384766
1.45,416588
1.5,452613
1.55,479237
1.6,504104
1.65,526772
1.7,541282
1.75,487951
1.8,492564
1.85,491789
1.9,490553
1.95,482600
2.0,468127
2.05,453623
2.1,435798
2.15,424261
2.2,342075
2.25,320374
2.3,297534
2.35,270394
2.4,248043
2.45,229713
2.5,213436
2.55,197332
2.6,178891
2.65,160259
2.7,142867
2.75,124383
2.8,105163
2.85,89829
2.9,74404
2.95,63277
3.0,53037
3.05,44096
3.1,35779
3.15,29531
3.2,25116
3.25,20779
3.3,17630
3.35,15062
3.4,12839
3.45,10208
3.5,8676
3.55,7631
3.6,6163
3.65,5230
3.7,3603
3.75,2802
3.8,2184
3.85,1723
3.9,1266
3.95,1046
4.0,821
4.05,779
4.1,719
4.15,619
4.2,497
4.25,433
4.3,394
4.35,331
4.4,232
4.45,166
4.5,119
4.55,80
4.6,48
4.65,23
4.7,10
4.75,6
4.8,3
4.85,3
5.0,1
