merchant_abn,transaction_count,total_dollar_value,first_order_datetime,last_order_datetime
32234779638,116773,8745123.70819313,2021-02-28,2022-10-26
11240426404,54716,7002465.70897068,2021-02-28,2022-10-26
33604812025,39419,8458364.913510108,2021-02-28,2022-10-26
29323795999,33100,1365641.682425753,2021-02-28,2022-10-26
20562405782,26972,2817859.301930688,2021-02-28,2022-10-26
67202032418,25504,6847856.830166509,2021-02-28,2022-10-26
29566626791,24260,1206349.1226934814,2021-02-28,2022-10-26
91848160033,18523,510917.9907840047,2021-02-28,2022-10-26
79953723663,13012,1013358.9078127722,2021-02-28,2022-10-26
74648589246,12262,7728416.30026017,2021-02-28,2022-10-26
75342681786,10546,215426.76174856848,2021-02-28,2022-10-26
67330176930,10405,890413.9084727169,2021-02-28,2022-10-26
47856542678,8185,1036155.0256599856,2021-02-28,2022-10-26
80788167198,7681,655460.891660589,2021-02-28,2022-10-26
87700253779,7632,1145488.5712653042,2021-02-28,2022-10-26
89295426212,6738,1450541.343921998,2021-02-28,2022-10-26
95492562735,6647,627009.6006074804,2021-02-28,2022-10-26
42211422632,6371,632142.2664948051,2021-02-28,2022-10-26
58692398254,6103,980500.9848967544,2021-02-28,2022-10-26
91418529927,5681,2806252.336081902,2021-02-28,2022-10-26
76224940587,5528,484013.60125897196,2021-02-28,2022-10-26
63966446164,4649,1374302.9963929178,2021-02-28,2022-10-26
24406529929,4184,280125.2308976637,2021-02-28,2022-10-26
77698107389,3742,975252.946832652,2021-03-01,2022-10-26
43820812476,3684,685221.7607772802,2021-02-28,2022-10-26
60892515210,3623,5427953.675205,2021-02-28,2022-10-26
24745648258,3489,744455.3794742079,2021-02-28,2022-10-26
83740063335,3315,1210255.2216022369,2021-02-28,2022-10-26
20290993541,3020,646756.7374220727,2021-02-28,2022-10-26
87802246756,2966,215580.21570110673,2021-02-28,2022-10-26
25810287809,2960,901075.3905767332,2021-02-28,2022-10-26
63344521351,2660,1259970.551995257,2021-02-28,2022-10-26
70765550736,2611,3708488.758085957,2021-02-28,2022-10-26
31584328627,2549,752741.7654693226,2021-02-28,2022-10-26
21328457653,2459,467370.0269368337,2021-02-28,2022-10-26
55282987193,2245,232039.24606047102,2021-02-28,2022-10-26
17135205181,2049,197987.7507779201,2021-02-28,2022-10-26
24786876262,1996,299558.64798426523,2021-02-28,2022-10-26
11137507330,1988,225523.8651253929,2021-02-28,2022-10-26
70186619026,1907,1252372.986733172,2021-02-28,2022-10-26
83324551496,1889,713709.7497663891,2021-02-28,2022-10-26
84682880992,1830,195090.7648843782,2021-02-28,2022-10-26
40515399744,1664,1486911.241200417,2021-02-28,2022-10-26
32461318592,1633,230263.03645235603,2021-02-28,2022-10-26
43632438086,1556,248868.21451665598,2021-02-28,2022-10-26
53938467553,1510,433034.61860816285,2021-02-28,2022-10-26
14827550074,1439,6840721.238625599,2021-02-28,2022-10-26
66000151638,1436,918528.2076133989,2021-02-28,2022-10-26
90827737722,1421,3495305.5335389534,2021-02-28,2022-10-26
27130058170,1335,1361155.2441433796,2021-02-28,2022-10-25
33286410763,1252,204761.2886432587,2021-03-01,2022-10-26
28898261035,1218,152070.32191761877,2021-02-28,2022-10-26
31761538646,1188,1468012.2682085251,2021-02-28,2022-10-26
44417671872,981,1248878.3938899739,2021-02-28,2022-10-25
61806746966,938,119020.25837544174,2021-02-28,2022-10-26
70893541900,925,43567.3514994172,2021-03-03,2022-10-26
41438041864,919,200795.70420210253,2021-02-28,2022-10-26
42754691415,899,614754.0302867135,2021-03-02,2022-10-26
13868849576,863,792900.0677280813,2021-02-28,2022-10-26
64485980706,858,791542.573011257,2021-03-01,2022-10-26
30195713177,854,223101.06396280508,2021-02-28,2022-10-26
23633724513,846,2355630.6128825583,2021-02-28,2022-10-26
96567541302,844,273837.29450055,2021-02-28,2022-10-25
40576714979,842,191926.89354235068,2021-03-01,2022-10-25
39872028975,837,1487317.148057071,2021-03-01,2022-10-26
64593163168,832,17258.76319822347,2021-03-06,2022-10-26
31641177052,813,1063946.727471735,2021-02-28,2022-10-25
57959696529,759,842112.321676046,2021-03-03,2022-10-26
11839682616,746,1483212.6103837017,2021-03-04,2022-10-25
67564575132,721,46514.83646638829,2021-02-28,2022-10-26
48540087213,712,1402026.3742840944,2021-02-28,2022-10-26
53997373109,704,630354.0260914831,2021-02-28,2022-10-26
88116434496,668,248475.44838425022,2021-03-01,2022-10-26
98914698548,666,893788.5545858634,2021-03-01,2022-10-26
46572791797,656,1137462.012306939,2021-03-01,2022-10-25
