merchant_category,industry_group,matched_anzsic_division,gdp_growth_fy21_22_pct,gdp_growth_fy22_23_pct
"antique shops - sales, repairs, and restoration services","Art, Gifts, Jewellery & Fashion",Retail trade,12.4,14.4
art dealers and galleries,"Art, Gifts, Jewellery & Fashion",Retail trade,12.4,14.4
artist supply and craft shops,"Creative, Books & Leisure",Retail trade,12.4,14.4
bicycle shops - sales and service,"Mobility, Health & Specialist Services",Retail trade,12.4,14.4
"books, periodicals, and newspapers","Creative, Books & Leisure",Retail trade,12.4,14.4
"cable, satellite, and other pay television and radio services","Digital, Technology & Communications",Information media and telecommunications,13.9,6.2
"computer programming , data processing, and integrated systems design services","Digital, Technology & Communications","Professional, scientific and technical services",14.3,12.5
"computers, computer peripheral equipment, and software","Digital, Technology & Communications",Retail trade,12.4,14.4
"digital goods: books, movies, music","Digital, Technology & Communications",Information media and telecommunications,13.9,6.2
"equipment, tool, furniture, and appliance rent al and leasing","Home, Garden & Living","Rental, hiring and real estate services",15.4,3.4
"florists supplies, nursery stock, and flowers","Home, Garden & Living",Retail trade,12.4,14.4
"furniture, home furnishings and equipment shops, and manufacturers, except appliances","Home, Garden & Living",Retail trade,12.4,14.4
"gift, card, novelty, and souvenir shops","Art, Gifts, Jewellery & Fashion",Retail trade,12.4,14.4
health and beauty spas,"Mobility, Health & Specialist Services",Other services,17.1,17.6
"hobby, toy and game shops","Creative, Books & Leisure",Retail trade,12.4,14.4
"jewelry, watch, clock, and silverware shops","Art, Gifts, Jewellery & Fashion",Retail trade,12.4,14.4
"lawn and garden supply outlets, including nurseries","Home, Garden & Living",Retail trade,12.4,14.4
motor vehicle supplies and new parts,"Mobility, Health & Specialist Services",Retail trade,12.4,14.4
"music shops - musical instruments, pianos, and sheet music","Creative, Books & Leisure",Retail trade,12.4,14.4
"opticians, optical goods, and eyeglasses","Mobility, Health & Specialist Services",Retail trade,12.4,14.4
shoe shops,"Art, Gifts, Jewellery & Fashion",Retail trade,12.4,14.4
"stationery, office supplies and printing and writing paper","Creative, Books & Leisure",Retail trade,12.4,14.4
telecom,"Digital, Technology & Communications",Information media and telecommunications,13.9,6.2
tent and awning shops,"Home, Garden & Living",Retail trade,12.4,14.4
"watch, clock, and jewelry repair shops","Mobility, Health & Specialist Services",Other services,17.1,17.6
