merchant_category,industry_group
"antique shops - sales, repairs, and restoration services","Art, Gifts, Jewellery & Fashion"
art dealers and galleries,"Art, Gifts, Jewellery & Fashion"
artist supply and craft shops,"Creative, Books & Leisure"
bicycle shops - sales and service,"Mobility, Health & Specialist Services"
"books, periodicals, and newspapers","Creative, Books & Leisure"
"cable, satellite, and other pay television and radio services","Digital, Technology & Communications"
"computer programming , data processing, and integrated systems design services","Digital, Technology & Communications"
"computers, computer peripheral equipment, and software","Digital, Technology & Communications"
"digital goods: books, movies, music","Digital, Technology & Communications"
"equipment, tool, furniture, and appliance rent al and leasing","Home, Garden & Living"
"florists supplies, nursery stock, and flowers","Home, Garden & Living"
"furniture, home furnishings and equipment shops, and manufacturers, except appliances","Home, Garden & Living"
"gift, card, novelty, and souvenir shops","Art, Gifts, Jewellery & Fashion"
health and beauty spas,"Mobility, Health & Specialist Services"
"hobby, toy and game shops","Creative, Books & Leisure"
"jewelry, watch, clock, and silverware shops","Art, Gifts, Jewellery & Fashion"
"lawn and garden supply outlets, including nurseries","Home, Garden & Living"
motor vehicle supplies and new parts,"Mobility, Health & Specialist Services"
"music shops - musical instruments, pianos, and sheet music","Creative, Books & Leisure"
"opticians, optical goods, and eyeglasses","Mobility, Health & Specialist Services"
shoe shops,"Art, Gifts, Jewellery & Fashion"
"stationery, office supplies and printing and writing paper","Creative, Books & Leisure"
telecom,"Digital, Technology & Communications"
tent and awning shops,"Home, Garden & Living"
"watch, clock, and jewelry repair shops","Mobility, Health & Specialist Services"
