model,config_id,parameters,best_iteration,fit_seconds,train_mae,train_rmse,train_r2,train_spearman,validation_mae,validation_rmse,validation_r2,validation_spearman,validation_minus_train_mae,selected_within_model
KNN,knn_02,"{""n_neighbors"": 15, ""p"": 2, ""weights"": ""distance""}",,0.493859570000005,2.9993382640067126e-09,1.027967778141554e-08,0.9999999999999878,0.9999999999999999,0.03154819248242424,0.04431375721617189,0.7796032384109459,0.6169931499732151,0.03154818948308598,True
KNN,knn_01,"{""n_neighbors"": 15, ""p"": 2, ""weights"": ""uniform""}",,0.6669880289999988,0.025797722936816456,0.03652940372457473,0.8455407622917933,0.7605435501693538,0.03168535775236727,0.04457611051725078,0.7769858579620514,0.6146355233658923,0.005887634815550814,False
KNN,knn_04,"{""n_neighbors"": 35, ""p"": 2, ""weights"": ""distance""}",,0.35754346899999945,7.033292216120838e-09,2.3792241085717477e-08,0.9999999999999345,0.9999999999798491,0.032811443478290965,0.046704039932321854,0.7551856003244191,0.6833281257807502,0.032811436444998746,False
KNN,knn_03,"{""n_neighbors"": 35, ""p"": 2, ""weights"": ""uniform""}",,0.445081990999995,0.028153087385328263,0.03996229669529246,0.8151456816763145,0.7609238688404694,0.03299967291200032,0.04707203938125733,0.7513124237132263,0.6810068389195306,0.004846585526672061,False
KNN,knn_06,"{""n_neighbors"": 75, ""p"": 2, ""weights"": ""distance""}",,0.41741634999999633,1.5032427243827347e-08,5.1198380086001235e-08,0.9999999999996966,0.9999999999261139,0.03466202776580118,0.05022525875551277,0.7168787763346509,0.7259303217720786,0.03466201273337394,False
KNN,knn_05,"{""n_neighbors"": 75, ""p"": 2, ""weights"": ""uniform""}",,0.43185393100000624,0.030274045395262846,0.04360361159343525,0.7799235126631745,0.774401335861214,0.03491645337100641,0.05074932843333533,0.7109395595187602,0.7228451229855342,0.004642407975743567,False
Linear Regression,linear_regression_01,"{""fit_intercept"": true}",,0.06007581000000073,0.023915772693487256,0.035146019654979384,0.8570181157897072,0.816236054649404,0.04278242853780116,0.04826722673938558,0.7385234452395265,0.8107361771171787,0.018866655844313907,True
Mean Baseline,mean_baseline_01,{},,0.04682184600000028,0.05909047037210103,0.09294705624006455,0.0,0.0,0.059187605073108135,0.09439690829853983,-0.00010040201086947143,0.0,9.713470100710525e-05,True
Median Baseline,median_baseline_01,{},,0.08584941599999851,0.05193924794388944,0.09832260970070941,-0.11901398728012991,0.0,0.05153059852047201,0.09938964173341922,-0.10869046159837592,0.0,-0.0004086494234174301,True
Random Forest,random_forest_02,"{""max_depth"": 10, ""max_features"": 0.7, ""min_samples_leaf"": 20, ""n_estimators"": 300}",,3.4690354909999996,0.013708708348876953,0.0221257649575264,0.9433336408464554,0.9165723458479967,0.013280753201184313,0.020476682302493325,0.9529405068441624,0.9354252461588097,-0.00042795514769264006,True
Random Forest,random_forest_06,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 50, ""n_estimators"": 400}",,6.812926691000001,0.015032819053094585,0.025348079170481853,0.9256263954031195,0.9075154579983513,0.013720467896104763,0.021957078696584947,0.9458900443688315,0.9315800805800951,-0.001312351156989822,False
Random Forest,random_forest_04,"{""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 50, ""n_estimators"": 400}",,5.148330726999994,0.015172596471278887,0.025623800961369726,0.9239996092595785,0.9050211003079078,0.014008306324476926,0.022154753040798846,0.9449113807144037,0.932010147715201,-0.0011642901468019613,False
Random Forest,random_forest_01,"{""max_depth"": 6, ""max_features"": 0.7, ""min_samples_leaf"": 20, ""n_estimators"": 300}",,2.5489070150000046,0.015641314423867368,0.024247594128958223,0.9319440613003511,0.8897720409770343,0.014239391704178048,0.02171620907822937,0.9470707074215883,0.9180358039052039,-0.0014019227196893202,False
Random Forest,random_forest_03,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 300}",,1.6575788889999998,0.014571993350154177,0.022893667702717228,0.9393320290138706,0.9118892558420649,0.01453767191829761,0.023124409173235463,0.9399836814854762,0.9237388799761826,-3.4321431856566484e-05,False
Random Forest,random_forest_05,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 400}",,2.3746990719999985,0.016157438477253667,0.026093453316257474,0.9211880924482194,0.9011041794907281,0.0152660707554499,0.025164594251998094,0.9289264635242226,0.920671576427884,-0.0008913677218037666,False
XGBoost,xgboost_04,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 30, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""subsample"": 0.8}",489.0,1.0442348319999937,0.013278106124550958,0.020157334450142655,0.9529678400569475,0.9116373820134295,0.012290121338577263,0.018696136616693705,0.9607687806495748,0.9406926106243447,-0.000987984785973695,True
XGBoost,xgboost_06,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 30, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""subsample"": 0.7}",291.0,0.6495171089999943,0.013352180651361317,0.020299531759855424,0.9523019349587201,0.9109273919969904,0.012317689534363394,0.018693673771649565,0.9607791158383063,0.9410605459445552,-0.0010344911169979237,False
XGBoost,xgboost_03,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.8}",315.0,0.609420968000002,0.013846027216990305,0.02099493796930916,0.9489779490145802,0.9059308802510496,0.012403291693098192,0.018871826197268238,0.9600279964469792,0.9400060784758519,-0.0014427355238921125,False
XGBoost,xgboost_01,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 20, ""n_estimators"": 1000, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0, ""subsample"": 0.8}",868.0,1.5207881919999977,0.01461563719608738,0.022556611631998378,0.9411052686534003,0.9003871851397887,0.012470538560546248,0.018960976487679124,0.9596494498567958,0.9392165271578712,-0.0021450986355411317,False
XGBoost,xgboost_02,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 20, ""n_estimators"": 1000, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""subsample"": 0.8}",489.0,0.9045341829999956,0.014103002761287344,0.021600535017997004,0.9459920444971579,0.904702055773881,0.012490545279149057,0.019036167083844556,0.9593287915174938,0.9397428681493987,-0.001612457482138287,False
