outer_fold,fit_merchants,validation_merchants,selected_parameters,selected_features,mae,rmse,r2,spearman
1,38,10,"{""n_features"": 5, ""n_neighbors"": 5, ""p"": 2, ""transformer"": ""robust"", ""weights"": ""distance""}",log_total_revenue|avg_transaction_value|active_days|log_sales_90d|high_value_transaction_ratio_90d,0.055050233109425674,0.08436867314683039,0.7473207205753727,0.8666666666666665
2,38,10,"{""n_features"": 5, ""n_neighbors"": 5, ""p"": 2, ""transformer"": ""standard"", ""weights"": ""uniform""}",log_total_revenue|avg_transaction_value|active_days|log_sales_90d|high_value_transaction_ratio_90d,0.041718671522649284,0.05635289042049067,0.8783298362551156,0.731720919982925
3,38,10,"{""n_features"": 14, ""n_neighbors"": 8, ""p"": 2, ""transformer"": ""power"", ""weights"": ""uniform""}",log_total_revenue|avg_transaction_value|unique_consumers|repeat_consumer_share|active_days|days_since_last_transaction|order_count_90d|log_sales_90d|avg_order_value_90d|unique_consumers_90d|high_value_transaction_ratio_90d|sales_growth_log|transaction_value_cv|merchant_take_rate_pct,0.17302906897639897,0.24493852268761843,-0.029823144836608195,0.5045616012544536
4,39,9,"{""n_features"": 14, ""n_neighbors"": 5, ""p"": 1, ""transformer"": ""robust"", ""weights"": ""uniform""}",log_total_revenue|avg_transaction_value|unique_consumers|repeat_consumer_share|active_days|days_since_last_transaction|order_count_90d|log_sales_90d|avg_order_value_90d|unique_consumers_90d|high_value_transaction_ratio_90d|sales_growth_log|transaction_value_cv|merchant_take_rate_pct,0.16230930279207367,0.1786539537627972,-0.6259613375315001,0.7196715715299219
5,39,9,"{""n_features"": 5, ""n_neighbors"": 8, ""p"": 2, ""transformer"": ""power"", ""weights"": ""distance""}",log_total_revenue|unique_consumers|active_days|order_count_90d|log_sales_90d,0.11900501056333107,0.17399790688356243,-0.5053091256884341,0.5833333333333334
6,38,10,"{""n_features"": 8, ""n_neighbors"": 8, ""p"": 2, ""transformer"": ""power"", ""weights"": ""distance""}",log_total_revenue|unique_consumers|active_days|days_since_last_transaction|order_count_90d|log_sales_90d|unique_consumers_90d|high_value_transaction_ratio_90d,0.08574880442933122,0.11945561805723633,0.5146100259396109,0.6
7,38,10,"{""n_features"": 8, ""n_neighbors"": 11, ""p"": 2, ""transformer"": ""power"", ""weights"": ""distance""}",log_total_revenue|avg_transaction_value|unique_consumers|repeat_consumer_share|active_days|order_count_90d|log_sales_90d|unique_consumers_90d,0.11063618137931816,0.1657416269745176,0.03202543702360028,0.7575757575757575
8,38,10,"{""n_features"": 5, ""n_neighbors"": 5, ""p"": 1, ""transformer"": ""standard"", ""weights"": ""distance""}",log_total_revenue|avg_transaction_value|active_days|order_count_90d|log_sales_90d,0.062165803892021476,0.1261292194383583,0.5982136399346016,0.8787878787878788
9,39,9,"{""n_features"": 11, ""n_neighbors"": 8, ""p"": 2, ""transformer"": ""robust"", ""weights"": ""uniform""}",log_total_revenue|avg_transaction_value|unique_consumers|repeat_consumer_share|active_days|days_since_last_transaction|log_sales_90d|avg_order_value_90d|unique_consumers_90d|high_value_transaction_ratio_90d|transaction_value_cv,0.13821885327526917,0.18434678107297212,0.1273957341569284,0.5
10,39,9,"{""n_features"": 11, ""n_neighbors"": 11, ""p"": 2, ""transformer"": ""standard"", ""weights"": ""uniform""}",log_total_revenue|avg_transaction_value|unique_consumers|repeat_consumer_share|active_days|days_since_last_transaction|log_sales_90d|avg_order_value_90d|unique_consumers_90d|high_value_transaction_ratio_90d|transaction_value_cv,0.14017606306883448,0.16616544168263178,0.22826080120002723,0.45
11,38,10,"{""n_features"": 5, ""n_neighbors"": 5, ""p"": 1, ""transformer"": ""robust"", ""weights"": ""distance""}",log_total_revenue|avg_transaction_value|active_days|log_sales_90d|high_value_transaction_ratio_90d,0.15177989766392674,0.1907346369250514,0.2053995981788671,0.6363636363636362
12,38,10,"{""n_features"": 5, ""n_neighbors"": 8, ""p"": 2, ""transformer"": ""power"", ""weights"": ""distance""}",log_total_revenue|unique_consumers|active_days|log_sales_90d|unique_consumers_90d,0.08740319569946527,0.1390956417492072,0.2794293611705111,0.7212121212121211
13,38,10,"{""n_features"": 5, ""n_neighbors"": 11, ""p"": 2, ""transformer"": ""standard"", ""weights"": ""distance""}",log_total_revenue|active_days|log_sales_90d|high_value_transaction_ratio_90d|transaction_value_cv,0.051874925296130615,0.07438356982205857,0.6794132838087561,0.709090909090909
14,39,9,"{""n_features"": 11, ""n_neighbors"": 5, ""p"": 1, ""transformer"": ""standard"", ""weights"": ""uniform""}",log_total_revenue|avg_transaction_value|unique_consumers|repeat_consumer_share|active_days|order_count_90d|log_sales_90d|avg_order_value_90d|unique_consumers_90d|high_value_transaction_ratio_90d|transaction_value_cv,0.1678060110342634,0.23443988765695065,0.13596857371911908,0.3277310924369748
15,39,9,"{""n_features"": 5, ""n_neighbors"": 5, ""p"": 1, ""transformer"": ""robust"", ""weights"": ""uniform""}",log_total_revenue|avg_transaction_value|active_days|log_sales_90d|high_value_transaction_ratio_90d,0.07368012836648832,0.09970490940270209,0.6516050901398589,0.7
