model,feature,importance
Random Forest,log_total_revenue,0.2602670377748699
Random Forest,transaction_value_cv,0.16186302894153212
Random Forest,log_sales_90d,0.13148575817765568
Random Forest,order_count_90d,0.06445054361904975
Random Forest,avg_transaction_value,0.06132689174062586
Random Forest,unique_consumers_90d,0.05075359288936517
Random Forest,sales_growth_log,0.0453529470653128
Random Forest,days_since_last_transaction,0.04464423587778061
Random Forest,active_days,0.04274109648856122
Random Forest,unique_consumers,0.04216810956158109
Random Forest,repeat_consumer_share,0.03286533294075924
Random Forest,avg_order_value_90d,0.027085592033256275
Random Forest,merchant_take_rate_pct,0.018269298599221374
Random Forest,high_value_transaction_ratio_90d,0.016726534290428884
XGBoost,log_total_revenue,0.13005726039409637
XGBoost,order_count_90d,0.12068405747413635
XGBoost,log_sales_90d,0.11484877020120621
XGBoost,transaction_value_cv,0.11155922710895538
XGBoost,unique_consumers_90d,0.11095666140317917
XGBoost,avg_transaction_value,0.06608465313911438
XGBoost,unique_consumers,0.06352369487285614
XGBoost,repeat_consumer_share,0.06200546771287918
XGBoost,high_value_transaction_ratio_90d,0.04795367643237114
XGBoost,active_days,0.04500850662589073
XGBoost,days_since_last_transaction,0.04329267889261246
XGBoost,avg_order_value_90d,0.033236369490623474
XGBoost,sales_growth_log,0.028731228783726692
XGBoost,merchant_take_rate_pct,0.022057831287384033
