final_rank,merchant_abn,merchant_name,merchant_category,final_score,balanced_score,risk_safety_score,value_score,customer_score,growth_score,stability_score,market_score,knn_confidence_score,knn_out_of_distribution
1,38090089066,Interdum Feugiat Sed Inc.,"furniture, home furnishings and equipment shops, and manufacturers, except appliances",85.08448530432625,86.80076393217661,69.63797765367309,98.6835568802782,99.2548435171386,61.607365016173176,93.9288380194078,59.71187282662692,0.918032786885246,False
2,90568944804,Diam Eu Dolor LLC,tent and awning shops,84.83461718475695,87.16886301493639,63.82640471314191,99.23000496770987,93.16939890710384,75.16795222692213,82.48320477730779,67.01440635866865,0.3278688524590164,False
3,84703983173,Amet Consulting,"computer programming , data processing, and integrated systems design services",84.63059932299431,85.76512373478832,74.41987961684835,96.57228017883756,99.00645802285146,68.84797213237124,89.52475740233889,48.43517138599106,0.4590163934426229,False
4,86578477987,Leo In Consulting,"watch, clock, and jewelry repair shops",84.5394300711481,85.65004721116672,74.54387581098042,99.92548435171386,99.97516145057128,55.11321224185121,95.17292858920128,53.80029806259314,0.639344262295082,False
5,27326652377,Tellus Aenean Corporation,"music shops - musical instruments, pianos, and sheet music",84.36400940559766,86.25331556626146,67.36025395962342,99.40387481371089,89.19523099850969,75.2674794725056,86.16571286389649,61.54992548435171,0.2459016393442623,False
6,40515428545,Elit Sed Consequat Associates,artist supply and craft shops,84.27644832786432,84.65980952126678,80.8261975872421,99.652260307998,94.5851962245405,50.684249813386415,94.70017417267977,67.75956284153006,0.5573770491803278,False
7,17488304283,Posuere Cubilia Curae Corporation,"cable, satellite, and other pay television and radio services",84.27383117863528,85.08022684597887,77.0162701725429,97.91356184798808,98.55936413313464,64.17019158994775,93.48096541428217,42.10134128166915,0.3770491803278688,False
8,49212265466,Auctor Company,"florists supplies, nursery stock, and flowers",84.2464974017163,85.55224179187606,72.49479789027842,99.05613512170888,98.78291107799303,60.01492908683752,94.57576511570042,49.50322901142573,0.8852459016393442,False
9,86772484982,Posuere Cubilia Curae LLC,"digital goods: books, movies, music",84.23775832678002,85.78525012895156,70.31033210723616,95.03229011425732,95.3551912568306,59.44264742473252,98.283155013685,68.05762543467462,0.0655737704918032,False
10,96680767841,Ornare Limited,motor vehicle supplies and new parts,84.21601349491526,85.7237662212291,70.6462389580906,99.85096870342772,98.43517138599104,63.77208260761383,90.09703906444388,48.90710382513661,0.9672131147540984,False
11,63123845164,Odio Phasellus Institute,artist supply and craft shops,83.88240371398092,84.85389413944964,75.13898988476244,99.8012916045703,93.61649279682068,57.32769345608361,87.16098531973128,69.6969696969697,0.4918032786885246,False
12,48534649627,Dignissim Maecenas Foundation,"opticians, optical goods, and eyeglasses",83.841207964684,85.32718933056061,70.46737567179449,99.97516145057128,99.4287133631396,59.11918387658621,89.99751181886042,51.53999006458023,0.7868852459016393,False
13,76314317957,Semper Corp.,"florists supplies, nursery stock, and flowers",83.77553493183643,85.14845745747935,71.41923220105019,98.73323397913562,98.53452558370591,62.527992037820354,90.61955710375716,47.96323894684551,0.6229508196721312,False
14,94472466107,Eu Dolor Egestas PC,"cable, satellite, and other pay television and radio services",83.77528551283936,85.30433032514334,70.01388220210352,95.7029309488326,97.64033780427222,59.84075640706643,91.86364767355064,64.35668156979632,0.2131147540983606,False
15,57900494384,Porttitor Tellus Corporation,tent and awning shops,83.72399184186844,84.83084879855954,73.7622792316485,95.926477893691,99.4535519125683,56.38218462304055,95.29733764618064,56.18479880774962,0.1967213114754098,False
16,22227727512,Malesuada Integer Id Foundation,motor vehicle supplies and new parts,83.69422267795998,85.06934043546507,71.31816286041432,97.86388474913063,95.86438152011922,53.94376710624533,91.5650659368002,72.20566318926974,0.360655737704918,False
17,94493496784,Dictum Phasellus In Institute,"gift, card, novelty, and souvenir shops",83.64972093401127,84.91075643302361,72.30040144290022,99.70193740685544,99.6274217585693,55.56108484697686,93.25702911171932,49.92548435171386,0.7213114754098361,False
18,49322182190,Gravida Mauris Incorporated,"watch, clock, and jewelry repair shops",83.6480247570464,85.03347394708715,71.17898204667965,99.67709885742671,99.2796820665673,55.088330430455336,88.23090320975368,60.58122205663189,0.7868852459016393,False
19,68559320474,Aliquam Auctor Associates,"antique shops - sales, repairs, and restoration services",83.61426102913425,84.96805999866258,71.43007030337922,98.88226527570792,98.6835568802782,61.63224682756905,90.59467529236127,47.168405365126674,0.8688524590163934,False
20,49891706470,Non Vestibulum Industries,tent and awning shops,83.59099935556037,84.78501892463852,72.84482323385704,99.4287133631396,99.85096870342772,55.063448619059464,92.75939288380194,50.670640834575266,0.4754098360655737,False
