preliminary_rank,merchant_abn,merchant_name,merchant_category,preliminary_score,value_score,customer_score,growth_score,stability_score,market_score
1,90568944804,Diam Eu Dolor LLC,tent and awning shops,87.16886301493639,99.23000496770989,93.16939890710383,75.16795222692213,82.48320477730779,67.01440635866865
2,38090089066,Interdum Feugiat Sed Inc.,"furniture, home furnishings and equipment shops, and manufacturers, except appliances",86.80076393217661,98.68355688027819,99.2548435171386,61.607365016173176,93.9288380194078,59.71187282662692
3,27326652377,Tellus Aenean Corporation,"music shops - musical instruments, pianos, and sheet music",86.25331556626146,99.40387481371089,89.19523099850969,75.2674794725056,86.16571286389649,61.54992548435171
4,86772484982,Posuere Cubilia Curae LLC,"digital goods: books, movies, music",85.78525012895156,95.03229011425732,95.3551912568306,59.44264742473252,98.28315501368499,68.05762543467462
5,84703983173,Amet Consulting,"computer programming , data processing, and integrated systems design services",85.76512373478832,96.57228017883756,99.00645802285146,68.84797213237124,89.52475740233889,48.43517138599106
6,96680767841,Ornare Limited,motor vehicle supplies and new parts,85.7237662212291,99.85096870342772,98.43517138599105,63.77208260761383,90.09703906444389,48.90710382513661
7,86578477987,Leo In Consulting,"watch, clock, and jewelry repair shops",85.65004721116672,99.92548435171386,99.97516145057128,55.11321224185121,95.17292858920129,53.80029806259314
8,49212265466,Auctor Company,"florists supplies, nursery stock, and flowers",85.55224179187606,99.05613512170889,98.78291107799303,60.01492908683752,94.57576511570042,49.50322901142573
9,57699602880,Tellus Id Institute,"stationery, office supplies and printing and writing paper",85.49028308406406,97.44162940884252,82.10382513661202,66.85742722070167,97.88504603135108,76.775956284153
10,48534649627,Dignissim Maecenas Foundation,"opticians, optical goods, and eyeglasses",85.32718933056061,99.97516145057128,99.4287133631396,59.11918387658621,89.99751181886042,51.53999006458023
11,94472466107,Eu Dolor Egestas PC,"cable, satellite, and other pay television and radio services",85.30433032514334,95.70293094883259,97.64033780427222,59.84075640706643,91.86364767355063,64.35668156979632
12,76314317957,Semper Corp.,"florists supplies, nursery stock, and flowers",85.14845745747935,98.73323397913562,98.53452558370591,62.527992037820354,90.61955710375716,47.96323894684551
13,17488304283,Posuere Cubilia Curae Corporation,"cable, satellite, and other pay television and radio services",85.08022684597887,97.91356184798808,98.55936413313464,64.17019158994775,93.48096541428215,42.10134128166915
14,22227727512,Malesuada Integer Id Foundation,motor vehicle supplies and new parts,85.06934043546507,97.86388474913065,95.86438152011922,53.94376710624533,91.5650659368002,72.20566318926974
15,63290521567,Vehicula Pellentesque Corporation,artist supply and craft shops,85.04117828540959,98.65871833084948,99.77645305514157,58.02438417516795,90.04727544165215,53.87481371087929
16,49322182190,Gravida Mauris Incorporated,"watch, clock, and jewelry repair shops",85.03347394708715,99.67709885742673,99.2796820665673,55.088330430455336,88.23090320975368,60.58122205663189
17,68559320474,Aliquam Auctor Associates,"antique shops - sales, repairs, and restoration services",84.96805999866258,98.88226527570791,98.68355688027819,61.63224682756905,90.59467529236129,47.168405365126674
18,78760357380,Nibh Aliquam Corp.,"computers, computer peripheral equipment, and software",84.91499208862227,96.4729259811227,97.0193740685544,64.02090072157253,93.4560836028863,48.95678092399404
19,94493496784,Dictum Phasellus In Institute,"gift, card, novelty, and souvenir shops",84.91075643302361,99.70193740685544,99.6274217585693,55.56108484697686,93.25702911171933,49.92548435171386
20,63123845164,Odio Phasellus Institute,artist supply and craft shops,84.85389413944964,99.8012916045703,93.61649279682067,57.32769345608361,87.16098531973128,69.6969696969697
